Station	Date	Tmin	Tmax	Tavg	I
613500	01/01/2018	4.3	7.4	5.7	0.9
613500	02/01/2018	2.8	5.7	4.4	2.3
613500	03/01/2018	0.8	6	3.3	0.7
613500	04/01/2018	0.1	4.4	3	2
613500	05/01/2018	0.3	3.5	2.4	1
613500	06/01/2018	-1.5	2.7	0.4	1.4
613500	07/01/2018	-4.5	1.5	-1.8	3.1
613500	08/01/2018	-4.9	3	-1.7	2.9
613500	09/01/2018	0.1	4.3	2.3	2.4
613500	10/01/2018	1.2	3.4	2	0.8
613500	11/01/2018	1.7	3.4	2.6	0.5
613500	12/01/2018	0.7	2.3	1.7	0.8
613500	13/01/2018	-1	1.9	0.6	0.8
613500	14/01/2018	-2.2	0.1	-0.9	1.1
613500	15/01/2018	-1.7	2.4	0.3	1.5
613500	16/01/2018	0.8	3.7	2.3	1.4
613500	17/01/2018	0.9	2.1	1.3	1.1
613500	18/01/2018	0.2	2.1	1.1	0.6
613500	19/01/2018	0.1	2.7	1.5	1.4
613500	20/01/2018	0.3	2	1.4	0.7
613500	21/01/2018	-2.6	2.4	-0.2	2.7
613500	22/01/2018	-1.1	0.3	-0.2	1.1
613500	23/01/2018	-0.3	5	1.5	1.1
613500	24/01/2018	4.9	10.5	7.7	0.8
613500	25/01/2018	4.4	6.3	5.5	1.4
613500	26/01/2018	2.4	4.9	3.5	1.7
613500	27/01/2018	3.25	6.4	4.95	1.4
613500	28/01/2018	3.25	6.4	4.95	1.4
613500	29/01/2018	4.1	7.9	6.4	1.1
613500	30/01/2018	3.2	5.8	4.4	3.8
613500	31/01/2018	2.2	6.1	3.7	0.7
613500	01/02/2018	1.6	3.5	2.7	1.3
613500	02/02/2018	-2.3	3.1	1.9	0.7
613500	03/02/2018	-3.4	-0.9	-2	1.4
613500	04/02/2018	-3.2	0.9	-0.8	4.9
613500	05/02/2018	-5.3	-1.2	-3.2	5.7
613500	06/02/2018	-6.8	-1.9	-3.9	3.6
613500	07/02/2018	-5.5	-0.5	-2.4	3.9
613500	08/02/2018	-3.9	1.4	-1.5	5.8
613500	09/02/2018	-3.5	0	-1.8	5.4
613500	10/02/2018	-4.6	0.8	-1.7	4.4
613500	11/02/2018	-0.5	2.8	0.9	1.4
613500	12/02/2018	0.9	3.1	2	3.7
613500	13/02/2018	-0.6	1.4	0.6	2.4
613500	14/02/2018	-1.9	3.4	0.4	7.1
613500	15/02/2018	-1.3	0.8	-0.4	3.5
613500	16/02/2018	0.4	4.8	2.4	5.9
613500	17/02/2018	1	4.2	2.3	3.5
613500	18/02/2018	0.2	3.3	1.7	5.4
613500	19/02/2018	-0.2	3.5	1	4.1
613500	20/02/2018	-0.7	3.5	1	5.8
613500	21/02/2018	-0.5	3.1	0.8	5.4
613500	22/02/2018	-2.3	2.1	-0.2	7.5
613500	23/02/2018	-4.1	1.9	-1.2	8.3
613500	24/02/2018	-3.8	-0.5	-1.8	8.5
613500	25/02/2018	-6.2	-2	-4	7.7
613500	26/02/2018	-7.7	-0.8	-4.4	9.5
613500	27/02/2018	-8.3	-4.1	-6.2	6.4
613500	28/02/2018	-9.4	-5.5	-7.6	6.5
613500	01/03/2018	-7.9	-3.4	-5.6	5
613500	02/03/2018	-6.2	-2.6	-4.4	5.2
613500	03/03/2018	-4.7	-0.5	-2.9	5.9
613500	04/03/2018	-4.8	-0.7	-2.7	8.8
613500	05/03/2018	-2.5	2.5	-0.5	3.7
613500	06/03/2018	-3.2	6.4	1.7	10.6
613500	07/03/2018	-0.3	2	0.4	3.7
613500	08/03/2018	-1.1	2	0.2	4.9
