Date	Tmax	Tmin	Tavg	Rain
01/01/2012	32	22.7	27.35	0
02/01/2012	32.5	25	28.75	0
03/01/2012	33	25	29	2.8
04/01/2012	33	24.5	28.75	0
05/01/2012	33.1	24.5	28.8	0
06/01/2012	33	23.2	28.1	0
07/01/2012	32.7	22.7	27.7	0
08/01/2012	32.5	20.7	26.6	0
09/01/2012	30	20.5	25.25	0
10/01/2012	31.3	21.8	26.55	0
11/01/2012	31	23.4	27.2	0
12/01/2012	31.5	22.6	27.05	0
13/01/2012	31	23.5	27.25	1.2
14/01/2012	33.6	22.8	28.2	0
15/01/2012	33.5	25	29.25	0
16/01/2012	32.4	24.2	28.3	0
17/01/2012	32	25	28.5	0
18/01/2012	32.7	24	28.35	0
19/01/2012	32.5	22	27.25	0.6
20/01/2012	33.7	25	29.35	0
21/01/2012	32.5	24.5	28.5	16.8
22/01/2012	33.5	24	28.75	0
23/01/2012	34.2	23.5	28.85	0
24/01/2012	34	23.4	28.7	0
25/01/2012	34	24	29	0
26/01/2012	32.3	23.6	27.95	0.5
27/01/2012	32.6	24.2	28.4	0
28/01/2012	32.5	25	28.75	0
29/01/2012	33.5	24	28.75	0
30/01/2012	33	24	28.5	0
31/01/2012	29.6	24	26.8	0
01/02/2012	33	22.5	27.75	0
02/02/2012	32.8	24.2	28.5	0
03/02/2012	32.8	23.8	28.3	98
04/02/2012	31	22.5	26.75	2.5
05/02/2012	33	24.6	28.8	0
06/02/2012	33.5	25	29.25	0
07/02/2012	35	24.2	29.6	0
08/02/2012	35	24.5	29.75	0
09/02/2012	31.8	24.5	28.15	1.1
10/02/2012	34	24.5	29.25	0
11/02/2012	34.5	24	29.25	0
12/02/2012	33.4	24.4	28.9	0
13/02/2012	34.2	24.5	29.35	0
14/02/2012	34.3	25	29.65	0
15/02/2012	34.6	25.2	29.9	0
16/02/2012	35	25.5	30.25	0
17/02/2012	35.5	25.5	30.5	1
18/02/2012	29.8	25	27.4	0
19/02/2012	31.5	23	27.25	0
20/02/2012	31.5	22	26.75	0
21/02/2012	34	21.5	27.75	0
22/02/2012	35.8	22.5	29.15	0
23/02/2012	36	24.2	30.1	0
24/02/2012	36.2	24.3	30.25	0
25/02/2012	36.5	26	31.25	0
26/02/2012	36	25.5	30.75	0
27/02/2012	35.2	25.6	30.4	0
28/02/2012	35	26.5	30.75	0
29/02/2012	35.4	25	30.2	0
01/03/2012	35.2	25.5	30.35	0
02/03/2012	35	25	30	1.2
03/03/2012	35.6	25	30.3	0
04/03/2012	35.5	25	30.25	0
05/03/2012	35	25	30	0
06/03/2012	36	25	30.5	0
07/03/2012	36	24.8	30.4	0
08/03/2012	33.3	27	30.15	0
09/03/2012	35.5	25.5	30.5	0
10/03/2012	33.8	25.4	29.6	2.2
11/03/2012	35	25	30	1.2
12/03/2012	35.7	25	30.35	0
13/03/2012	35.8	25.2	30.5	0
14/03/2012	35.8	26.5	31.15	0
15/03/2012	35.7	25	30.35	0.4
16/03/2012	36.4	25	30.7	0
17/03/2012	36.5	25.5	31	0
18/03/2012	36.5	25	30.75	1
19/03/2012	34.4	23.8	29.1	3.8
20/03/2012	36	24.7	30.35	0
21/03/2012	36.4	24.7	30.55	0
22/03/2012	36.5	22.7	29.6	0
23/03/2012	36.2	22.8	29.5	0
24/03/2012	35.8	26	30.9	0
25/03/2012	36	25.5	30.75	0
26/03/2012	34.7	25.3	30	0
27/03/2012	36	26	31	0
28/03/2012	35.6	25.8	30.7	0
29/03/2012	36.7	26.5	31.6	0
30/03/2012	37.5	26.2	31.85	0
31/03/2012	36.7	27	31.85	5.6
01/04/2012	34.5	24.5	29.5	0
02/04/2012	34.2	24	29.1	0
03/04/2012	35.8	24.5	30.15	0
04/04/2012	36	26	31	0
05/04/2012	34.8	25.8	30.3	4.3
06/04/2012	34.5	25	29.75	8.6
07/04/2012	34.5	25	29.75	1.5
08/04/2012	34.4	23.3	28.85	0
09/04/2012	34.8	24.5	29.65	3.7
10/04/2012	36.5	24	30.25	0
11/04/2012	36.5	24	30.25	0
12/04/2012	36.2	24	30.1	0
13/04/2012	36.7	25.5	31.1	0
14/04/2012	36.8	25.7	31.25	0
15/04/2012	37	25.2	31.1	0
16/04/2012	37	26.5	31.75	0
17/04/2012	36.6	26.6	31.6	0
18/04/2012	37.2	26.3	31.75	0
19/04/2012	38	26.5	32.25	0
20/04/2012	38.2	26.6	32.4	0
21/04/2012	38.5	28.5	33.5	0
22/04/2012	38.5	27.5	33	0
23/04/2012	37.6	27.3	32.45	0
24/04/2012	38.2	27	32.6	0
25/04/2012	38.2	26.7	32.45	0
26/04/2012	39	28	33.5	0
27/04/2012	38.5	28	33.25	0
28/04/2012	38.5	26.5	32.5	0
29/04/2012	38.5	26.5	32.5	0
30/04/2012	38.8	26.6	32.7	0
01/05/2012	39	27.5	33.25	0
02/05/2012	38.6	28.4	33.5	0
03/05/2012	38.5	26.5	32.5	0
04/05/2012	38.5	26.5	32.5	0.1
05/05/2012	34	26.5	30.25	0.5
06/05/2012	35	25.5	30.25	0
07/05/2012	37	25.5	31.25	0
08/05/2012	35.4	25.7	30.55	0
09/05/2012	36.5	24.5	30.5	0
10/05/2012	36.5	26	31.25	0
11/05/2012	38	26.2	32.1	0
12/05/2012	38	27.5	32.75	1
13/05/2012	38	27.5	32.75	0
14/05/2012	37.8	27	32.4	0
15/05/2012	37.5	27.2	32.35	19
16/05/2012	34.6	24.4	29.5	45.8
17/05/2012	34.5	25	29.75	12
18/05/2012	33.8	24.8	29.3	1
19/05/2012	35.5	26.5	31	9.2
20/05/2012	35.5	24.5	30	0.2
21/05/2012	35.7	26.2	30.95	4.2
22/05/2012	36	26.8	31.4	0
23/05/2012	36	27	31.5	2
24/05/2012	36	26.4	31.2	5.1
25/05/2012	36	25.5	30.75	2.6
26/05/2012	34.3	25.6	29.95	0
27/05/2012	34.5	27	30.75	0
28/05/2012	34.5	26	30.25	4.2
29/05/2012	33.4	26	29.7	0
30/05/2012	34.5	26.5	30.5	8
31/05/2012	34	25	29.5	6
01/06/2012	35	25.3	30.15	8.5
02/06/2012	34	25	29.5	0
03/06/2012	34	25	29.5	11.6
04/06/2012	35.2	25.2	30.2	0
05/06/2012	32.7	26.2	29.45	0
06/06/2012	34.5	27	30.75	0.4
07/06/2012	34.7	26	30.35	0
08/06/2012	32.8	26.3	29.55	9.6
09/06/2012	34	26	30	3
10/06/2012	34	25	29.5	3
11/06/2012	33.6	25.3	29.45	0.6
12/06/2012	34.3	25.4	29.85	6.6
13/06/2012	34.5	26.4	30.45	0
14/06/2012	34.6	26.2	30.4	0.4
15/06/2012	35	26	30.5	0
16/06/2012	33.7	26.2	29.95	0
17/06/2012	33.5	27	30.25	2.8
18/06/2012	33.5	25.5	29.5	0
19/06/2012	32.8	26.4	29.6	0
20/06/2012	34	26.5	30.25	1.2
21/06/2012	33.8	27	30.4	0.4
22/06/2012	34.5	26	30.25	0
23/06/2012	34.4	25.8	30.1	0
24/06/2012	34.5	26.6	30.55	0
25/06/2012	35.6	27	31.3	4
