	-16	74	166	258	349	439
-85	5.1	0	0	0	5.1	0
-75	5.1	0.3	0	0.2	5.1	0.3
-65	3.8	1	0	0.9	3.8	1
-55	5.8	2.5	0.3	2.8	5.8	2.5
-45	9.6	5.6	1.4	6.2	9.6	5.6
-35	16.6	10.9	4.4	11.5	16.6	10.9
-25	23.6	15.7	9.1	19.6	23.6	15.7
-15	22.7	15.1	12.2	25.8	22.7	15.1
-5	21.4	18.1	17.4	28.8	21.4	18.1
5	17.2	21.6	20.9	25.5	17.2	21.6
15	15.1	22.5	25.6	23.8	15.1	22.5
25	12.6	24.2	33.6	26.1	12.6	24.2
35	4.7	15.9	38.2	22.1	4.7	15.9
45	0.7	6.7	30	11.7	0.7	6.7
55	0.1	2.1	20.3	4.8	0.1	2.1
65	0	0.6	15.5	1.6	0	0.6
75	0	0.1	8.3	0.6	0	0.1
85	0	0	5.9	0.1	0	0
