Date	Tavg	RHmax
01/01/2014	2.5	98.2
02/01/2014	1.6	97.9
03/01/2014	2.7	98.8
04/01/2014	4.1	97.7
05/01/2014	2.8	97.5
06/01/2014	2.1	100
07/01/2014	6.1	100
08/01/2014	4.4	99.6
09/01/2014	1.4	99.9
10/01/2014	-0.5	96.1
11/01/2014	-4.9	97.3
12/01/2014	-11.1	92.8
13/01/2014	-14.2	90.2
14/01/2014	-7.9	91.7
15/01/2014	-7	92.6
16/01/2014	-5.7	92.5
17/01/2014	-6.9	88
18/01/2014	-7.1	89.6
19/01/2014	-5.8	87.2
20/01/2014	-5.6	82.1
21/01/2014	-6.6	83.2
22/01/2014	-9	89.5
23/01/2014	-8.8	91
24/01/2014	-8.2	91.6
25/01/2014	-6.5	86.3
26/01/2014	-6.8	90.4
27/01/2014	-4.2	92.1
28/01/2014	-2.2	94.9
29/01/2014	-4.3	90
30/01/2014	-6.2	92.9
31/01/2014	-5.1	94.8
01/02/2014	-4.4	95.9
02/02/2014	1.4	98.9
03/02/2014	2.2	99.8
04/02/2014	0.4	99.9
05/02/2014	-0.7	98.4
06/02/2014	-0.7	99.1
07/02/2014	1.2	99.8
08/02/2014	1	99.8
09/02/2014	1.9	99.4
10/02/2014	2.5	98.4
11/02/2014	1.2	99.5
12/02/2014	1.1	99.4
13/02/2014	0.8	97.3
14/02/2014	1.7	99.4
15/02/2014	1.8	98.3
16/02/2014	2.5	99.5
17/02/2014	1.1	99.8
18/02/2014	-3.4	97.5
19/02/2014	-3.9	95.7
20/02/2014	-3.1	97.4
21/02/2014	0.6	99.6
22/02/2014	2.1	99
23/02/2014	3.9	96.9
24/02/2014	5.3	98.1
25/02/2014	3.7	93.2
26/02/2014	1.6	99
27/02/2014	3.3	99.4
28/02/2014	2	99.5
01/03/2014	1.1	99.7
02/03/2014	0.6	99.7
03/03/2014	1.2	98.9
04/03/2014	1.4	99.5
05/03/2014	1.8	99.4
06/03/2014	4	99
07/03/2014	4.9	98.4
08/03/2014	4.1	83.5
09/03/2014	5.6	93
10/03/2014	5.3	98.6
11/03/2014	3.2	94.5
12/03/2014	4.9	93.4
13/03/2014	4.1	98.2
14/03/2014	3.6	94.3
15/03/2014	4	91.8
16/03/2014	1	98.6
17/03/2014	3.1	99.7
18/03/2014	1.6	87.1
19/03/2014	-1.3	95.2
20/03/2014	2.9	94.7
21/03/2014	6.1	91.7
22/03/2014	3.6	95.9
23/03/2014	3.2	96.2
24/03/2014	3.4	96.1
25/03/2014	3.1	88.3
26/03/2014	2.8	81.1
27/03/2014	4.2	85
28/03/2014	6.3	89.8
29/03/2014	5.7	95.7
30/03/2014	5.7	96.7
31/03/2014	5	77.8
01/04/2014	2	95.5
02/04/2014	3.5	92.1
03/04/2014	3.8	88.2
04/04/2014	3.6	93.1
05/04/2014	1.2	98.2
06/04/2014	4.4	99.1
07/04/2014	8.1	99.7
08/04/2014	4.7	98.4
09/04/2014	1.9	97.2
10/04/2014	2.6	96.5
11/04/2014	6.4	98.3
12/04/2014	3.6	94.8
13/04/2014	6.8	96.2
14/04/2014	5.2	87.7
15/04/2014	4.5	88.3
16/04/2014	4.7	94.2
17/04/2014	5.1	98.1
18/04/2014	6.5	92.9
19/04/2014	7.2	98.8
20/04/2014	8.5	98.9
21/04/2014	11.4	98.8
22/04/2014	12.4	76.6
23/04/2014	10.4	62.9
24/04/2014	6.3	86.1
25/04/2014	7.9	94.1
26/04/2014	10.2	96.3
27/04/2014	12.7	91.8
28/04/2014	12.7	96.7
29/04/2014	6.1	96.2
30/04/2014	3.9	88.7
01/05/2014	4.7	71.2
02/05/2014	5.2	84.6
03/05/2014	5.1	84.4
04/05/2014	4.7	88.9
05/05/2014	4.9	84
06/05/2014	4.8	98.5
07/05/2014	2.4	98.4
08/05/2014	3.1	97.1
09/05/2014	5.3	96.7
10/05/2014	7.6	98.8
11/05/2014	7.8	97.8
12/05/2014	7.9	97.8
13/05/2014	9.5	97
14/05/2014	8.1	74.8
15/05/2014	8.2	91
16/05/2014	14.1	88.6
17/05/2014	14	94.4
18/05/2014	15.4	95.9
19/05/2014	15.7	98.6
20/05/2014	14.7	99.9
21/05/2014	14.8	99.3
22/05/2014	19.4	97.9
23/05/2014	19	99
24/05/2014	18.6	99.9
25/05/2014	14.8	98.2
26/05/2014	15.3	99.2
27/05/2014	11.7	71.2
28/05/2014	11.3	89.6
29/05/2014	14.1	93.9
30/05/2014	16.4	85.6
31/05/2014	15.4	75.2
01/06/2014	15.7	77.2
02/06/2014	16.5	93.4
03/06/2014	16.3	92.6
04/06/2014	13.4	96.6
05/06/2014	14.2	98.4
06/06/2014	16.2	98.5
07/06/2014	14.7	99.8
08/06/2014	17.4	99.3
09/06/2014	18.7	98.9
10/06/2014	19.7	93.2
11/06/2014	18.9	95.3
12/06/2014	16	86.1
13/06/2014	13.3	81.1
14/06/2014	14.4	72.9
15/06/2014	16.3	95
16/06/2014	14	69.9
17/06/2014	14	82.5
18/06/2014	17.8	89.4
19/06/2014	14.1	78.6
20/06/2014	11.3	76.6
21/06/2014	10.9	74.5
22/06/2014	12.2	79.2
23/06/2014	11.9	89.9
24/06/2014	13.9	96.4
25/06/2014	14.1	93.6
26/06/2014	11.7	98.3
27/06/2014	10.4	98.7
28/06/2014	9.8	98.9
29/06/2014	10.5	95.9
30/06/2014	12.8	96.9
01/07/2014	13.2	98.6
02/07/2014	15.8	99.9
03/07/2014	15.9	95
04/07/2014	15	96.4
05/07/2014	19.6	99.2
06/07/2014	19.6	97.2
07/07/2014	19.8	98.3
08/07/2014	20.7	99.6
09/07/2014	23	97.2
10/07/2014	22.3	97.2
11/07/2014	21.9	97
12/07/2014	20.4	92.4
13/07/2014	17.9	93.4
14/07/2014	18.8	95.5
15/07/2014	16.8	99.9
16/07/2014	19	99.8
17/07/2014	15.9	98.9
18/07/2014	16.4	99.9
19/07/2014	18.8	99.8
20/07/2014	19.9	96.6
21/07/2014	21.4	98.4
22/07/2014	22.7	94.2
23/07/2014	23.3	98.9
24/07/2014	21.2	97.9
25/07/2014	22.9	99.5
26/07/2014	23.2	98.7
27/07/2014	18	99.8
28/07/2014	19.2	99.9
29/07/2014	21.1	99.4
30/07/2014	19.2	99
31/07/2014	17.3	91.7
01/08/2014	17.5	97.5
02/08/2014	18.5	98.7
03/08/2014	18.3	98.9
04/08/2014	19.2	99.9
05/08/2014	17.1	99.9
06/08/2014	17.8	99.9
07/08/2014	17.7	99.9
08/08/2014	18.4	99.6
09/08/2014	17.6	99.9
10/08/2014	16.1	96
11/08/2014	14.4	97.4
12/08/2014	12.8	97.8
13/08/2014	13.1	99.8
14/08/2014	13	99.9
15/08/2014	14.7	99.9
16/08/2014	12.7	99.4
17/08/2014	13.5	99.2
18/08/2014	12	99.2
19/08/2014	12.6	99.2
20/08/2014	12.7	99.9
21/08/2014	12.4	99.9
22/08/2014	11.9	99.8
23/08/2014	12.2	99.8
24/08/2014	11.1	99.9
25/08/2014	11.4	99.9
26/08/2014	12.1	99.9
27/08/2014	13.6	96.8
28/08/2014	13.1	98.6
29/08/2014	13.3	99.6
30/08/2014	13.2	87.7
31/08/2014	12.9	97.7
01/09/2014	11.4	99.7
02/09/2014	14.7	99.1
03/09/2014	15.9	98.4
04/09/2014	16.1	98.3
05/09/2014	13.8	99.5
06/09/2014	13.7	99.9
07/09/2014	15.7	94.2
08/09/2014	13.5	99.2
09/09/2014	12.9	99.1
10/09/2014	14	99.6
11/09/2014	12.2	99.9
12/09/2014	12.5	99.8
13/09/2014	11.5	99.9
14/09/2014	10.9	99.9
15/09/2014	11	99.9
16/09/2014	10.9	99.9
17/09/2014	11.6	99.9
18/09/2014	9.5	99.9
19/09/2014	9.2	99.9
20/09/2014	9.4	99.9
21/09/2014	10.3	99.8
22/09/2014	7.7	93.5
23/09/2014	4.3	99.2
24/09/2014	6.4	95.6
25/09/2014	9.2	99.4
26/09/2014	10	99.9
27/09/2014	12.2	77.1
28/09/2014	12.6	91.2
29/09/2014	10.1	98.3
30/09/2014	5.3	99.8
01/10/2014	7.7	99.8
02/10/2014	10.9	99.5
03/10/2014	11	99.9
04/10/2014	12.9	98.8
05/10/2014	11.5	99.8
06/10/2014	9.2	93.9
07/10/2014	6.7	96.5
08/10/2014	8.9	99.9
09/10/2014	9.4	99.9
10/10/2014	9.9	98.3
11/10/2014	8.8	99.8
12/10/2014	7.7	99.9
13/10/2014	2.9	99.9
14/10/2014	5.5	99.9
15/10/2014	5.2	99.1
16/10/2014	0.9	99.2
17/10/2014	2.9	97.6
18/10/2014	6.8	99.7
19/10/2014	11.9	99.5
20/10/2014	10.4	99.6
21/10/2014	7.4	98.7
22/10/2014	4.6	97.7
23/10/2014	5.2	98.1
24/10/2014	10.8	98.8
25/10/2014	10	99.6
26/10/2014	11	85.8
27/10/2014	12.5	90.5
28/10/2014	13.3	93.7
29/10/2014	7	97.4
30/10/2014	1.5	98.7
31/10/2014	0.2	99.8
01/11/2014	7.1	99.9
02/11/2014	10.4	97.9
03/11/2014	8.3	99.9
04/11/2014	6.3	99.7
05/11/2014	1.7	94.5
06/11/2014	-0.9	88.7
07/11/2014	-1.1	97.1
08/11/2014	3.7	99
09/11/2014	7.5	99.9
10/11/2014	6.9	99.4
11/11/2014	6.1	99.9
12/11/2014	4.6	97.8
13/11/2014	4.6	97.5
14/11/2014	4.7	99
15/11/2014	4.5	99.2
16/11/2014	3.9	98.1
17/11/2014	2.9	95.6
18/11/2014	2.8	98.4
19/11/2014	2.2	95.8
20/11/2014	1	98.6
21/11/2014	1	98.7
22/11/2014	0.6	99.8
23/11/2014	3.3	99.2
24/11/2014	4.7	98.9
25/11/2014	-0.1	99.9
26/11/2014	-2	99.9
27/11/2014	-3	99.2
28/11/2014	-0.9	99.5
29/11/2014	-0.6	97.1
30/11/2014	-0.6	96.1
01/12/2014	-1.9	97.8
02/12/2014	-1.3	98.9
03/12/2014	-2.3	99.8
04/12/2014	-1.7	99.9
05/12/2014	0	99.8
06/12/2014	-3.3	99.8
07/12/2014	3.6	99.9
08/12/2014	-1.4	99.4
09/12/2014	-4.3	98.8
10/12/2014	2.3	97.6
11/12/2014	1.4	95.6
12/12/2014	0.2	99.8
13/12/2014	-1.5	98.7
14/12/2014	0.5	96.6
15/12/2014	2.3	96.6
16/12/2014	-1.1	98.7
17/12/2014	-5.5	96.9
18/12/2014	-2.6	99.9
19/12/2014	-1.1	99.8
20/12/2014	-6.2	97
21/12/2014	-7.9	99.3
22/12/2014	-3.4	99.9
23/12/2014	-4.2	99.4
24/12/2014	-9.2	94.9
25/12/2014	-16.2	93.7
26/12/2014	-17.2	89.5
27/12/2014	-16.9	88.7
28/12/2014	-16.7	88.3
29/12/2014	-10.6	94.7
30/12/2014	-8.1	97.1
31/12/2014	-3.8	99.2
