Date	Tavg	RHmax
01/01/2006	-4.6	98.8
02/01/2006	-11.5	98.4
03/01/2006	-8.6	96.3
04/01/2006	-10.3	96.6
05/01/2006	-6.8	96.7
06/01/2006	-7.4	95.7
07/01/2006	-8.9	93.8
08/01/2006	-8.7	91.4
09/01/2006	-7.1	97
10/01/2006	-0.4	99.6
11/01/2006	3.6	98.6
12/01/2006	0.6	94.7
13/01/2006	2.1	87.8
14/01/2006	0.3	92
15/01/2006	0.3	98.2
16/01/2006	-1.9	93.8
17/01/2006	-4.4	92.1
18/01/2006	-2.8	94
19/01/2006	-8.7	93.6
20/01/2006	-9.2	93.8
21/01/2006	-10	93.2
22/01/2006	-8.8	95.7
23/01/2006	-5.6	98.9
24/01/2006	-2.1	99.9
25/01/2006	-3.3	100
26/01/2006	-9.9	99.2
27/01/2006	-9.9	97.4
28/01/2006	-6.1	98.7
29/01/2006	-7	100
30/01/2006	-2.7	100
31/01/2006	-2	99.3
01/02/2006	-4.4	100
02/02/2006	-1.9	99.8
03/02/2006	-3.9	97.6
04/02/2006	-9.8	91
05/02/2006	-9.2	94.8
06/02/2006	-8.5	97
07/02/2006	-7.5	100
08/02/2006	-3.2	100
09/02/2006	-4.8	99.3
10/02/2006	-11.9	99.2
11/02/2006	-16.1	91.6
12/02/2006	-16	91.5
13/02/2006	-13.2	92.3
14/02/2006	-10.1	95.2
15/02/2006	-3.5	99.2
16/02/2006	-2.2	100
17/02/2006	-4.7	92.6
18/02/2006	-7.6	95.8
19/02/2006	-10.5	94.2
20/02/2006	-14.6	94.3
21/02/2006	-10.4	96.6
22/02/2006	-6	96.4
23/02/2006	5.8	93.3
24/02/2006	1.1	100
25/02/2006	-2.5	100
26/02/2006	-7	93
27/02/2006	-7.4	86
28/02/2006	-6.5	85.8
01/03/2006	-7.2	91.1
02/03/2006	-5.4	90.3
03/03/2006	-8.5	88.7
04/03/2006	-12.8	92.4
05/03/2006	-14.3	91
06/03/2006	-13.7	91.3
07/03/2006	-13.7	92.3
08/03/2006	-12.6	92.3
09/03/2006	-10	89.3
10/03/2006	-16.2	91.2
11/03/2006	-12.5	90.8
12/03/2006	-6.5	93.3
13/03/2006	-12.9	91.4
14/03/2006	-13.5	91.4
15/03/2006	-8.3	92.6
16/03/2006	-7.2	92.1
17/03/2006	-6.9	87.3
18/03/2006	-2.2	88.7
19/03/2006	0	94.2
20/03/2006	-4.7	91.7
21/03/2006	-5.9	91.9
22/03/2006	-6.1	95.7
23/03/2006	-8.9	92.3
24/03/2006	-8.6	92.8
25/03/2006	-10.3	87.2
26/03/2006	-7.2	75.4
27/03/2006	-1.6	99.9
28/03/2006	0.6	100
29/03/2006	1	99.9
30/03/2006	0.3	98.3
31/03/2006	-0.8	98
01/04/2006	-1	100
02/04/2006	0	93.2
03/04/2006	1.3	99.7
04/04/2006	1	100
05/04/2006	-0.1	98.6
06/04/2006	-1.1	97.4
07/04/2006	1.8	97.8
08/04/2006	2.1	97.5
09/04/2006	1.2	100
10/04/2006	2.1	93.3
11/04/2006	0.2	89.2
12/04/2006	1.5	98.7
13/04/2006	2.3	99.1
14/04/2006	4	100
15/04/2006	3.7	84.7
16/04/2006	2.6	99
17/04/2006	2.6	100
18/04/2006	2.1	100
19/04/2006	2.9	97.9
20/04/2006	3.6	96
21/04/2006	3.2	94.9
22/04/2006	4.8	87.6
23/04/2006	5.6	99.2
24/04/2006	5.4	100
25/04/2006	6	94.8
26/04/2006	6.4	97.2
27/04/2006	5.6	99.4
28/04/2006	5.9	77.8
29/04/2006	6.6	88.8
30/04/2006	10	62.5
01/05/2006	4.3	96.9
02/05/2006	4.3	99.2
03/05/2006	8.1	99.2
04/05/2006	12.5	93
05/05/2006	12.9	88.6
06/05/2006	12.1	85
07/05/2006	12.7	85.1
08/05/2006	14.2	89.3
09/05/2006	14.7	84.8
10/05/2006	13.6	88.2
11/05/2006	12.1	85.6
12/05/2006	10.2	80.4
13/05/2006	8.3	90.5
14/05/2006	7.2	72.8
15/05/2006	6	85.7
16/05/2006	8.3	66.7
17/05/2006	7.3	95.8
18/05/2006	6.5	98.4
19/05/2006	9.8	98.5
20/05/2006	9.6	97.2
21/05/2006	9.9	98.3
22/05/2006	8.7	99.4
23/05/2006	9.8	98.7
24/05/2006	8.8	87.7
25/05/2006	7.4	96.4
26/05/2006	9.2	96.4
27/05/2006	9.7	80.9
28/05/2006	10	90.8
29/05/2006	11.5	93.5
30/05/2006	10.1	63.5
31/05/2006	9.3	63.4
01/06/2006	11.7	100
02/06/2006	13.1	78.4
03/06/2006	12.5	74.3
04/06/2006	10.9	84
05/06/2006	11.3	64.6
06/06/2006	11.6	84.9
07/06/2006	14.4	81.1
08/06/2006	16.3	87.5
09/06/2006	19.3	87.2
10/06/2006	20.1	66.2
11/06/2006	19.6	78.5
12/06/2006	21.5	91.9
13/06/2006	20.9	77.4
14/06/2006	15.5	56.4
15/06/2006	15.6	73.9
16/06/2006	18	79.3
17/06/2006	18.5	89.9
18/06/2006	17.5	84.1
19/06/2006	16	94
20/06/2006	16.6	94.2
21/06/2006	14.4	94.4
22/06/2006	11.4	94.9
23/06/2006	12.9	95.9
24/06/2006	13.4	97.4
25/06/2006	13.3	93.4
26/06/2006	14.9	97.2
27/06/2006	12.1	94.7
28/06/2006	13.9	93
29/06/2006	16.7	75.6
30/06/2006	17.9	90.9
01/07/2006	18.6	90.4
02/07/2006	18.7	86.2
