Date	Tavg	RHmax
01/01/2015	5.3	96
02/01/2015	6.4	89.5
03/01/2015	3	86.9
04/01/2015	0.5	88.4
05/01/2015	-1.7	92.4
06/01/2015	3.4	99.5
07/01/2015	1.8	100
08/01/2015	3.6	99.3
09/01/2015	-1.2	97.9
10/01/2015	1.7	99.8
11/01/2015	-0.4	96.3
12/01/2015	1	99.1
13/01/2015	3.2	85.6
14/01/2015	0.3	95.4
15/01/2015	3.1	99
16/01/2015	4.3	98
17/01/2015	3.1	80.2
18/01/2015	0.1	98.2
19/01/2015	-1.7	100
20/01/2015	-1.2	100
21/01/2015	-1.1	100
22/01/2015	-2.5	100
23/01/2015	-9.2	100
24/01/2015	-0.2	100
25/01/2015	-7.5	100
26/01/2015	1.7	100
27/01/2015	-0.9	94.9
28/01/2015	3.2	97.7
29/01/2015	0.6	100
30/01/2015	0.1	100
31/01/2015	-0.4	100
01/02/2015	-1.8	97.5
02/02/2015	-2.9	96.8
03/02/2015	-3.9	98.4
04/02/2015	-9	98.3
05/02/2015	-10.6	97.4
06/02/2015	-7.2	98.6
07/02/2015	-1.5	100
08/02/2015	-0.5	91.4
09/02/2015	3.7	92.7
10/02/2015	4.3	93.5
11/02/2015	-2.2	99.8
12/02/2015	-3.1	100
13/02/2015	-0.6	100
14/02/2015	2.2	99.2
15/02/2015	1.1	89
16/02/2015	-0.1	96.7
17/02/2015	2.5	97.5
18/02/2015	5.7	91.2
19/02/2015	5.7	96.8
20/02/2015	3.7	96.3
21/02/2015	-0.2	99.7
22/02/2015	-0.5	97.2
23/02/2015	1.7	99.8
24/02/2015	2.8	98.5
25/02/2015	3.3	100
26/02/2015	1.6	100
27/02/2015	2.5	98.8
28/02/2015	1.9	97.8
01/03/2015	2.9	98.1
02/03/2015	3.1	99.3
03/03/2015	0.6	100
04/03/2015	0.3	95.2
05/03/2015	1.4	95.5
06/03/2015	5.7	98.2
07/03/2015	6.4	93
08/03/2015	7.8	93.5
09/03/2015	5.4	88.9
10/03/2015	7.8	95.7
11/03/2015	5.5	95.2
12/03/2015	2.3	99.3
13/03/2015	1.3	100
14/03/2015	2.7	92.8
15/03/2015	3.4	86.9
16/03/2015	4.5	86.2
17/03/2015	4.9	92.9
18/03/2015	4.1	98.4
19/03/2015	2.9	100
20/03/2015	3.7	100
21/03/2015	0.9	90.7
22/03/2015	0.7	96.1
23/03/2015	5.8	93.7
24/03/2015	5.4	92.1
25/03/2015	2	100
26/03/2015	-0.7	100
27/03/2015	1.5	100
28/03/2015	0.6	100
29/03/2015	3.4	100
30/03/2015	2.5	100
31/03/2015	1.3	99.2
01/04/2015	3.8	92.4
02/04/2015	5.3	58.4
03/04/2015	4.2	79.6
04/04/2015	3.8	83.9
05/04/2015	3.4	89.2
06/04/2015	4.8	94.3
07/04/2015	10.8	97.6
08/04/2015	9.7	68.6
09/04/2015	8.2	89.3
10/04/2015	8.3	98
11/04/2015	5.8	99.7
12/04/2015	8	92.8
13/04/2015	5.8	89.4
14/04/2015	4.5	97.5
15/04/2015	6.1	91
16/04/2015	7.3	79.7
17/04/2015	8.4	77.7
18/04/2015	7.6	93.6
19/04/2015	11.6	80
20/04/2015	14.6	65.4
21/04/2015	10.4	80.1
22/04/2015	12.7	72.5
23/04/2015	11.6	72.1
24/04/2015	8.2	87.9
25/04/2015	7.5	97
26/04/2015	6.7	93.3
27/04/2015	4.2	95.9
28/04/2015	4.4	99.3
29/04/2015	4.9	99.4
30/04/2015	6.8	96.9
01/05/2015	6.5	98.9
02/05/2015	7.8	87.6
03/05/2015	8.7	75.7
04/05/2015	6.9	97.9
05/05/2015	8.7	99
06/05/2015	10.7	98.8
07/05/2015	9.2	98.2
08/05/2015	8.5	73.3
09/05/2015	5	96
10/05/2015	8.7	95.8
11/05/2015	9.3	96.8
12/05/2015	9.2	98.4
13/05/2015	10.1	98.7
14/05/2015	9.9	87.8
15/05/2015	9.1	96.9
16/05/2015	8.5	97.1
17/05/2015	8.1	96.7
18/05/2015	7.5	99.8
19/05/2015	8.4	97.3
20/05/2015	9.1	98.4
21/05/2015	9.3	99.5
22/05/2015	9.9	98.7
23/05/2015	11.4	82.5
24/05/2015	8	96.3
25/05/2015	10.5	98.6
26/05/2015	10.1	98.4
27/05/2015	12.4	85.1
28/05/2015	7.9	95.9
29/05/2015	10.2	95.5
30/05/2015	7.8	98
31/05/2015	10.6	99.7
01/06/2015	10.9	98
02/06/2015	8.4	96.9
03/06/2015	12.9	85.6
04/06/2015	12.8	84.9
05/06/2015	11.9	91
06/06/2015	13.3	97.7
07/06/2015	13.6	86.3
08/06/2015	12	93.8
09/06/2015	13	98.4
10/06/2015	13.6	93.8
11/06/2015	16.4	94.7
12/06/2015	16.4	91.9
13/06/2015	13.8	96.1
14/06/2015	13.3	97.6
15/06/2015	12.8	60.1
16/06/2015	12.9	96
17/06/2015	9.2	98.5
18/06/2015	12.6	99.4
19/06/2015	14.4	94
20/06/2015	16.8	86.9
21/06/2015	15	95.9
22/06/2015	14.2	97.2
23/06/2015	16	97.8
24/06/2015	15.2	98.1
25/06/2015	13.1	92.2
26/06/2015	13.8	90.5
27/06/2015	14.2	97.4
28/06/2015	14.5	98.2
29/06/2015	16.3	96.9
30/06/2015	17.7	82.1
01/07/2015	19	92.3
02/07/2015	18.4	95.9
03/07/2015	17.9	98
04/07/2015	17.3	99
05/07/2015	18.2	99.2
06/07/2015	17.6	98.2
07/07/2015	16.8	98.5
08/07/2015	14.4	99
09/07/2015	14.5	91.3
10/07/2015	15.3	89
11/07/2015	14.7	97.6
12/07/2015	16.7	97.4
13/07/2015	16	97.9
14/07/2015	16.2	97.6
15/07/2015	14.9	99.4
16/07/2015	14.7	94.8
17/07/2015	13.8	95.4
18/07/2015	14.8	98.5
19/07/2015	16.1	92.3
20/07/2015	16.4	98
21/07/2015	13.2	98.7
22/07/2015	17.1	93.4
23/07/2015	15.7	88.2
24/07/2015	13.9	94.9
25/07/2015	11.2	98.2
26/07/2015	11.8	97.2
27/07/2015	14.2	99.2
28/07/2015	14.3	98.3
29/07/2015	13.8	98
30/07/2015	16.4	96.5
31/07/2015	14.3	96.7
01/08/2015	13.6	98.6
02/08/2015	13.4	98
03/08/2015	12.5	98
04/08/2015	13.4	98.4
05/08/2015	16.7	99.1
06/08/2015	14.7	99.6
07/08/2015	15.4	99.5
08/08/2015	16.6	99
09/08/2015	14	96.4
10/08/2015	15.6	97.9
11/08/2015	15.6	98.5
12/08/2015	14.8	99.1
13/08/2015	14.6	97
14/08/2015	15.7	99.3
15/08/2015	17.4	99
16/08/2015	17.4	94.7
17/08/2015	18	92.2
18/08/2015	16.8	95.5
19/08/2015	15.8	99.2
20/08/2015	15.2	99.5
21/08/2015	14.7	98.9
22/08/2015	14.9	99.2
23/08/2015	16.4	98
24/08/2015	16	95.9
25/08/2015	16.2	98
26/08/2015	15.6	98.7
27/08/2015	15.5	98.3
28/08/2015	15	98
29/08/2015	15.3	92.8
30/08/2015	15.9	97.7
31/08/2015	13.8	99.5
01/09/2015	13.2	96.4
02/09/2015	13.6	98.9
03/09/2015	13	99.1
04/09/2015	12.3	99.5
05/09/2015	11.2	97.9
06/09/2015	11.3	94.7
07/09/2015	12.4	96.5
08/09/2015	12.6	97.7
09/09/2015	13.3	98.4
10/09/2015	12.6	99.6
11/09/2015	13.2	99.8
12/09/2015	13.4	94.6
13/09/2015	14.3	95.9
14/09/2015	14.6	96.3
15/09/2015	12.7	98.2
16/09/2015	11.3	98.5
17/09/2015	14	98.3
18/09/2015	15.2	98.5
19/09/2015	12.2	98.3
20/09/2015	11.8	95
21/09/2015	10	97.9
22/09/2015	10.7	98.2
23/09/2015	12	99.3
24/09/2015	12.6	99.8
25/09/2015	10.3	96.3
26/09/2015	8.7	98.9
27/09/2015	8.4	98.7
28/09/2015	9.6	99.4
29/09/2015	10.6	100
30/09/2015	11.5	98.7
01/10/2015	11.7	99.6
02/10/2015	11.1	98.3
03/10/2015	8.8	99.7
04/10/2015	7.3	100
05/10/2015	9.1	99.7
06/10/2015	9.5	83.1
07/10/2015	8	81.2
08/10/2015	7.8	92.8
09/10/2015	7.1	94.1
10/10/2015	7.4	99.3
11/10/2015	7.2	99.3
12/10/2015	7.5	97.9
13/10/2015	5.2	99.3
14/10/2015	3.4	100
15/10/2015	3.8	100
16/10/2015	3.1	99.5
17/10/2015	3.5	99.1
18/10/2015	4.9	99.5
19/10/2015	4.6	100
20/10/2015	5.1	100
21/10/2015	6.1	100
22/10/2015	10.6	98.2
23/10/2015	9.7	99.2
24/10/2015	8.6	99.5
25/10/2015	8	95.2
26/10/2015	6.2	98.7
27/10/2015	3.8	100
28/10/2015	6	98
29/10/2015	6.3	93.6
30/10/2015	6.2	98.4
31/10/2015	8.4	99.4
01/11/2015	8.6	98.4
02/11/2015	8.1	99
03/11/2015	6.7	100
04/11/2015	1.9	100
05/11/2015	4.2	100
06/11/2015	6.1	99.9
07/11/2015	10.4	99.9
08/11/2015	6.5	99.5
09/11/2015	7.6	97.6
10/11/2015	6.3	98.3
11/11/2015	5.6	100
12/11/2015	6.3	98.9
13/11/2015	7	99
14/11/2015	2.6	100
15/11/2015	3.2	99.9
16/11/2015	1.7	100
17/11/2015	2.6	100
18/11/2015	0.5	100
19/11/2015	-0.8	100
20/11/2015	-4.3	100
21/11/2015	-3.8	96.4
22/11/2015	-5.7	96.5
23/11/2015	-7.8	97.7
24/11/2015	1.2	100
25/11/2015	-0.6	100
26/11/2015	-1.6	100
27/11/2015	8.6	98.6
28/11/2015	3.5	100
29/11/2015	3.5	97.1
30/11/2015	1.1	100
01/12/2015	2.5	85.3
02/12/2015	1.6	100
03/12/2015	1.8	99.9
04/12/2015	5.2	100
05/12/2015	10.6	88.5
06/12/2015	9.4	84.3
07/12/2015	3.1	93.6
08/12/2015	4.2	100
09/12/2015	6.6	96.2
10/12/2015	7.7	89.1
11/12/2015	-0.1	99
12/12/2015	-4	99.7
13/12/2015	-2.6	99
14/12/2015	-6.2	98.2
15/12/2015	-8.2	97.8
16/12/2015	-4.6	99.1
17/12/2015	-0.2	100
18/12/2015	4	100
19/12/2015	7.9	98.7
20/12/2015	9.4	98.1
21/12/2015	7.7	85.5
22/12/2015	5.8	97.3
