Date	Tavg	RHmax
01/01/2018	3.9	97.8
02/01/2018	-1.3	97.7
03/01/2018	0.3	97.8
04/01/2018	1	95.4
05/01/2018	-1.3	95.6
06/01/2018	-4.5	93
07/01/2018	-3.8	92.7
08/01/2018	-2.5	96.5
09/01/2018	-4.5	95.9
10/01/2018	-4.6	95.6
11/01/2018	-2.2	95.7
12/01/2018	-3.1	93.7
13/01/2018	-2.5	94.1
14/01/2018	-2.9	93.5
15/01/2018	-1.6	95.9
16/01/2018	-0.6	96.6
17/01/2018	-3.4	96.9
18/01/2018	-4.9	95.4
19/01/2018	-3.2	93.8
20/01/2018	-2.6	95.2
21/01/2018	-2.1	95.2
22/01/2018	-3.5	95.7
23/01/2018	-0.4	96.7
24/01/2018	4.2	97.4
25/01/2018	4.4	91.5
26/01/2018	0.6	96.2
27/01/2018	-3.6	96.9
28/01/2018	0.5	97.9
29/01/2018	-1	97.2
30/01/2018	-3.4	96.8
31/01/2018	1.9	97.1
01/02/2018	0.9	96.9
02/02/2018	-5.9	81.6
03/02/2018	-7.1	77.7
04/02/2018	-8	89.8
05/02/2018	-8.3	90.7
06/02/2018	-5.4	92.2
07/02/2018	-4.7	94
08/02/2018	-1.9	94.1
09/02/2018	0.7	94
10/02/2018	-1	90.8
11/02/2018	-1.3	94.1
12/02/2018	-0.2	96.1
13/02/2018	-4.3	96.2
14/02/2018	1.2	95.5
15/02/2018	0	89.3
16/02/2018	-1.6	94.8
17/02/2018	-4.1	94.8
18/02/2018	0.2	97.1
19/02/2018	-0.7	97
20/02/2018	-3.2	89.4
21/02/2018	-2.7	94.7
22/02/2018	-4.5	92.1
23/02/2018	-3.5	95.1
24/02/2018	-3.3	89
25/02/2018	-6.8	91.1
26/02/2018	-10.1	89.7
27/02/2018	-9.3	74
28/02/2018	-11.7	74.6
01/03/2018	-10.9	76
02/03/2018	-7.8	70.8
03/03/2018	-5.6	79.9
04/03/2018	-4.1	88.2
05/03/2018	-4	86
06/03/2018	-3.3	87.3
07/03/2018	-0.9	91.8
08/03/2018	-1.9	93.5
09/03/2018	-3.8	93.8
10/03/2018	-3.7	92.8
11/03/2018	-2.1	94.8
12/03/2018	-0.4	96
13/03/2018	0.8	94.9
14/03/2018	-1.9	91.7
15/03/2018	-4	93.8
16/03/2018	-6.5	84.1
17/03/2018	-8.1	79.1
18/03/2018	-9.3	91.6
19/03/2018	-3.5	94.5
20/03/2018	0.8	85.4
21/03/2018	0.6	94.8
22/03/2018	-0.3	96.8
23/03/2018	0.1	97.2
24/03/2018	1.8	97.5
25/03/2018	1.5	97.4
26/03/2018	-1.2	96.2
27/03/2018	-2.4	78.9
28/03/2018	-3.9	82.2
29/03/2018	-2.6	79.8
30/03/2018	-2.9	82.9
31/03/2018	-2.4	85.1
01/04/2018	-0.9	80.9
02/04/2018	-1.1	92.3
03/04/2018	-0.9	94
04/04/2018	2.4	97.5
05/04/2018	3.5	97.8
