Date	Gmc	Tmin	Tmax	Value
01/09/1993	20	22	29	100
02/09/1993	20	22	30	100.4
03/09/1993	20	22	30	100.8
04/09/1993	20	21	30	101.3
05/09/1993	20	22	30	101.7
06/09/1993	20	22	27	102.1
07/09/1993	20	21	29	102.5
08/09/1993	20	21	30	103
09/09/1993	20	22	29	103.4
10/09/1993	20	21	29	103.8
11/09/1993	20	22	30	104.2
12/09/1993	20	22	30	104.6
13/09/1993	20	22	30	105.1
14/09/1993	20	22	31	105.5
15/09/1993	20	23	32	105.9
16/09/1993	20	21	29	106.3
17/09/1993	20	21	30	106.8
18/09/1993	20	20	30	107.2
19/09/1993	20	22	30	107.6
20/09/1993	20	22	29	108
21/09/1993	20	20	29	108.4
22/09/1993	16.52	21	30	108.9
23/09/1993	16.52	21	30	109.3
24/09/1993	16.52	22	30	109.7
25/09/1993	16.52	21	31	110.1
26/09/1993	16.52	22	25	110.6
27/09/1993	16.52	19	30	111
28/09/1993	16.52	21	30	111.4
29/09/1993	16.52	21	31	111.8
30/09/1993	16.52	20	30	112.2
01/10/1993	16.52	20	30	112.7
02/10/1993	16.52	21	31	112.9
03/10/1993	16.52	22	30	113.2
04/10/1993	16.52	21	30	113.5
05/10/1993	16.52	22	30	113.8
06/10/1993	16.52	22	30	114.1
07/10/1993	16.52	22	27	114.3
08/10/1993	16.52	21	30	114.6
09/10/1993	16.52	20	30	114.9
10/10/1993	16.52	20	30	115.2
11/10/1993	16.52	21	31	115.5
12/10/1993	16.52	21	31	115.7
13/10/1993	15.95	22	31	116
14/10/1993	15.95	21	32	116.3
15/10/1993	15.95	21	32	116.6
16/10/1993	15.95	20	31	116.9
17/10/1993	15.95	21	31	117.1
18/10/1993	15.95	21	32	117.4
19/10/1993	15.95	22	31	117.7
20/10/1993	15.95	22	31	118
21/10/1993	15.95	20	31	118.3
22/10/1993	15.95	21	31	118.5
23/10/1993	15.95	22	19	118.8
24/10/1993	15.95	20	31	119.1
25/10/1993	15.95	21	32	119.4
26/10/1993	15.95	22	32	119.7
27/10/1993	15.95	23	32	119.9
28/10/1993	15.95	20	32	120.2
29/10/1993	15.95	21	32	120.5
30/10/1993	15.95	22	32	120.8
31/10/1993	15.95	23	32	121.1
01/11/1993	15.95	20	32	121.3
02/11/1993	15.95	23	30	121.7
03/11/1993	15.28	21	32	122
04/11/1993	15.28	21	32	122.3
05/11/1993	15.28	21	31	122.7
06/11/1993	15.28	21	32	123
07/11/1993	15.28	22	32	123.3
08/11/1993	15.28	22	31	123.7
09/11/1993	15.28	21	32	124
10/11/1993	15.28	22	32	124.3
11/11/1993	15.28	22	32	124.7
12/11/1993	15.28	21	33	125
13/11/1993	15.28	22	32	125.3
