Experiment	Time	LogDensity
Mono 1992-93	43.64640884	-0.796242775
Mono 1992-93	64.64088398	0.01300578
Mono 1992-93	85.35911602	0.953757225
Mono 1992-93	106.0773481	1.176300578
Mono 1992-93	126.519337	1.793352601
Mono 1992-93	147.7900552	2.855491329
Mono 1992-93	168.7845304	3.007225434
Mono 1992-93	189.5027624	3.219653179
Mono 1992-93	210.7734807	3.38150289
Mono 1992-93	231.7679558	3.38150289
Mono 1993-94	91.71270718	1.145348837
Mono 1993-94	189.5027624	2.36627907
IITA 1994-95	0.846501129	-0.977304965
IITA 1994-95	29.90970655	-0.381560284
IITA 1994-95	64.33408578	-0.192907801
IITA 1994-95	92.55079007	0.581560284
IITA 1994-95	127.2573363	0.829787234
IITA 1994-95	155.1918736	1.624113475
IITA 1994-95	183.6907449	2.746099291
IITA 1994-95	211.6252822	2.706382979
IITA 1994-95	247.1783296	3.063829787
