ScreenName	Uinsulation
none	10e6
LS_Solaro_6827_O_FR	0.05
LS_Solaro_6827_O_FR	0.1
LS_Solaro_6827_O_FR	0.2
LS_Solaro_6827_O_FR	0.4
LS_Solaro_6827_O_FR	0.8
LS_Solaro_6827_O_FR	1.6
LS_Solaro_6827_O_FR	3.2
LS_Solaro_6827_O_FR	6.4
LS_Solaro_6827_O_FR	12.8
LS_Solaro_6827_O_FR	25.6
LS_Solaro_6125_OA_E_AW	0.05
LS_Solaro_6125_OA_E_AW	0.1
LS_Solaro_6125_OA_E_AW	0.2
LS_Solaro_6125_OA_E_AW	0.4
LS_Solaro_6125_OA_E_AW	0.8
LS_Solaro_6125_OA_E_AW	1.6
LS_Solaro_6125_OA_E_AW	3.2
LS_Solaro_6125_OA_E_AW	6.4
LS_Solaro_6125_OA_E_AW	12.8
LS_Solaro_6125_OA_E_AW	25.6
Novavert_SHS_Shade_Therm_ANTIFIRE_B1	0.05
Novavert_SHS_Shade_Therm_ANTIFIRE_B1	0.1
Novavert_SHS_Shade_Therm_ANTIFIRE_B1	0.2
Novavert_SHS_Shade_Therm_ANTIFIRE_B1	0.4
Novavert_SHS_Shade_Therm_ANTIFIRE_B1	0.8
Novavert_SHS_Shade_Therm_ANTIFIRE_B1	1.6
Novavert_SHS_Shade_Therm_ANTIFIRE_B1	3.2
Novavert_SHS_Shade_Therm_ANTIFIRE_B1	6.4
Novavert_SHS_Shade_Therm_ANTIFIRE_B1	12.8
Novavert_SHS_Shade_Therm_ANTIFIRE_B1	25.6
XLS_Obscura_Revolux_AB_BW	0.05
XLS_Obscura_Revolux_AB_BW	0.1
XLS_Obscura_Revolux_AB_BW	0.2
XLS_Obscura_Revolux_AB_BW	0.4
XLS_Obscura_Revolux_AB_BW	0.8
XLS_Obscura_Revolux_AB_BW	1.6
XLS_Obscura_Revolux_AB_BW	3.2
XLS_Obscura_Revolux_AB_BW	6.4
XLS_Obscura_Revolux_AB_BW	12.8
XLS_Obscura_Revolux_AB_BW	25.6
SLS_10_Ultra_plus	0.05
SLS_10_Ultra_plus	0.1
SLS_10_Ultra_plus	0.2
SLS_10_Ultra_plus	0.4
SLS_10_Ultra_plus	0.8
SLS_10_Ultra_plus	1.6
SLS_10_Ultra_plus	3.2
SLS_10_Ultra_plus	6.4
SLS_10_Ultra_plus	12.8
SLS_10_Ultra_plus	25.6
LS_Tempa_7265_D_R_AW	0.05
LS_Tempa_7265_D_R_AW	0.1
LS_Tempa_7265_D_R_AW	0.2
LS_Tempa_7265_D_R_AW	0.4
LS_Tempa_7265_D_R_AW	0.8
LS_Tempa_7265_D_R_AW	1.6
LS_Tempa_7265_D_R_AW	3.2
LS_Tempa_7265_D_R_AW	6.4
LS_Tempa_7265_D_R_AW	12.8
LS_Tempa_7265_D_R_AW	25.6
LS_Tempa_6965_FR_AW	0.05
LS_Tempa_6965_FR_AW	0.1
LS_Tempa_6965_FR_AW	0.2
LS_Tempa_6965_FR_AW	0.4
LS_Tempa_6965_FR_AW	0.8
LS_Tempa_6965_FR_AW	1.6
LS_Tempa_6965_FR_AW	3.2
LS_Tempa_6965_FR_AW	6.4
LS_Tempa_6965_FR_AW	12.8
LS_Tempa_6965_FR_AW	25.6
LS_Tempa_6562_D	0.05
LS_Tempa_6562_D	0.1
LS_Tempa_6562_D	0.2
LS_Tempa_6562_D	0.4
LS_Tempa_6562_D	0.8
LS_Tempa_6562_D	1.6
LS_Tempa_6562_D	3.2
LS_Tempa_6562_D	6.4
LS_Tempa_6562_D	12.8
LS_Tempa_6562_D	25.6
LS_Tempa_6360_FR_AW	0.05
LS_Tempa_6360_FR_AW	0.1
LS_Tempa_6360_FR_AW	0.2
