Date	Time	GlobRad	Tair	Rhair	Windspeed
01/01/2022	0	1.3	7.3	95.9	3.4
01/01/2022	1	1.2	7	95.9	3
01/01/2022	2	1.2	6.8	96	2.5
01/01/2022	3	1.9	6.7	96	2.3
01/01/2022	4	2.6	6.6	96	2.3
01/01/2022	5	3.7	6.7	96	1.4
01/01/2022	6	4.4	6.7	96	1
01/01/2022	7	4.2	6.8	96	1
01/01/2022	8	4.5	6.8	96.1	1.3
01/01/2022	9	9.2	6.8	96	0.9
01/01/2022	10	32.4	6.9	96	0.3
01/01/2022	11	51.6	7.3	96.1	0.8
01/01/2022	12	39.3	7.4	96.1	1.7
01/01/2022	13	55.5	7.5	96.1	2.6
01/01/2022	14	15.5	7.5	96.2	2.6
01/01/2022	15	5.1	7.7	96.2	2.7
01/01/2022	16	1.7	8	96.3	3
01/01/2022	17	2.9	8.3	96.3	4
01/01/2022	18	4.1	8.6	96.3	4.4
01/01/2022	19	3.5	8.8	96.2	3.4
01/01/2022	20	0.9	8.9	96.2	3.2
01/01/2022	21	0.6	9	96	3.4
01/01/2022	22	0.9	9.1	95.9	3.6
01/01/2022	23	1.5	9.2	95.8	3.3
02/01/2022	0	1.2	9.3	95.6	3.2
02/01/2022	1	1.2	9.3	95.6	2.9
02/01/2022	2	1.4	9.2	95.5	3.1
02/01/2022	3	3.2	9.1	95.5	3
02/01/2022	4	3.2	9	95.4	2.6
02/01/2022	5	3.4	8.9	95.5	2.9
02/01/2022	6	3.2	8.7	95.5	3.4
02/01/2022	7	2.9	8.7	95.4	3.3
02/01/2022	8	3.4	8.6	95.1	3.3
02/01/2022	9	7.6	8.5	94.6	3.4
02/01/2022	10	14.6	8.6	93.9	3
02/01/2022	11	27.5	8.6	93.7	3.2
02/01/2022	12	24.5	8.6	93.8	2.9
02/01/2022	13	19.7	8.5	94	2.1
02/01/2022	14	12.2	8.5	94.4	1.5
02/01/2022	15	4	8.3	94.7	1.5
02/01/2022	16	2.8	8.1	95	2.1
02/01/2022	17	1.9	8	95.1	2.5
02/01/2022	18	1.9	7.8	95	3.1
02/01/2022	19	2.1	7.8	94.7	3.3
02/01/2022	20	1.3	7.8	94.1	3.9
02/01/2022	21	1.2	7.6	92.5	3.9
02/01/2022	22	1.2	7.5	90.9	3.5
02/01/2022	23	3	7.4	91	3.4
03/01/2022	0	2.3	7.3	90.2	3.4
03/01/2022	1	1.7	7.4	90.9	2.5
03/01/2022	2	1.4	7.4	91.6	2.6
03/01/2022	3	1.4	7.3	92.1	3
03/01/2022	4	2	7.4	92.2	3.3
03/01/2022	5	2.2	7.4	91.1	3.5
03/01/2022	6	1.7	7.2	91.4	2.8
03/01/2022	7	3.4	7.3	91.9	3.3
03/01/2022	8	2.4	7.4	91.5	3.6
03/01/2022	9	12.3	7.5	91.5	4.1
