ScreenName	Uinsulation	heatingCost	lampCost	co2Cost	transpiration	condensation	ventedWater	screen1	screen2	screen3	light1	light2	light3	energySaving	iteration	step
character	character	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
none	10e6	0.933393	0.645076	23.5194	1681.71	-685.412	-914.589	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.0	1	175200
LS_Solaro_6827_O_FR	0.05	0.548102	0.645076	27.1925	1768.14	-706.192	-983.903	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.27	2	175200
LS_Solaro_6827_O_FR	0.1	0.551659	0.645076	27.0594	1767.27	-707.674	-981.392	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.27	3	175200
LS_Solaro_6827_O_FR	0.2	0.558518	0.645076	26.8176	1765.25	-710.248	-976.424	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.27	4	175200
LS_Solaro_6827_O_FR	0.4	0.57212	0.645076	26.4201	1761.34	-714.005	-968.311	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.27	5	175200
LS_Solaro_6827_O_FR	0.8	0.596528	0.645076	25.7621	1751.55	-717.523	-954.276	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.27	6	175200
LS_Solaro_6827_O_FR	1.6	0.638234	0.645076	24.8991	1732.61	-717.273	-934.576	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.27	7	175200
LS_Solaro_6827_O_FR	3.2	0.698104	0.645076	23.9623	1707.78	-713.982	-911.953	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.27	8	175200
LS_Solaro_6827_O_FR	6.4	0.769364	0.645076	23.2214	1684.61	-708.415	-893.456	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.27	9	175200
LS_Solaro_6827_O_FR	12.8	0.839545	0.645076	22.884	1670.39	-701.213	-885.875	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.27	10	175200
LS_Solaro_6827_O_FR	25.6	0.895513	0.645076	22.8322	1664.87	-694.462	-886.698	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.27	11	175200
LS_Solaro_6125_OA_E_AW	0.05	0.546591	0.645076	27.0923	1754.93	-696.114	-980.683	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.25	12	175200
LS_Solaro_6125_OA_E_AW	0.1	0.549893	0.645076	26.9586	1754.28	-698.103	-977.914	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.25	13	175200
LS_Solaro_6125_OA_E_AW	0.2	0.557267	0.645076	26.7408	1753.52	-701.158	-973.782	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.25	14	175200
