Date	Time	Tair	Rhair	GlobRad	DifRad	Windspeed
01-01-2001	00:00	0.1	92	0	0	2.6	
01-01-2001	01:00	0.3	92	0	0	2.6	
01-01-2001	02:00	0.5	93	0	0	2.2	
01-01-2001	03:00	0	94	0	0	2.4	
01-01-2001	04:00	0.2	93	0	0	1.8	
01-01-2001	05:00	-0.9	95	0	0	0	
01-01-2001	06:00	-1.6	96	0	0	0	
01-01-2001	07:00	-2.8	96	0	0	0	
01-01-2001	08:00	-2.5	96	3	0	0.8	
01-01-2001	09:00	-1.4	96	47	38	3.7	
01-01-2001	10:00	0.5	94	85	63	2.1	
01-01-2001	11:00	0.3	91	114	85	2.7	
01-01-2001	12:00	0.5	87	100	89	2.7	
01-01-2001	13:00	0.1	90	78	73	2.6	
01-01-2001	14:00	0	91	36	34	0.6	
01-01-2001	15:00	-0.3	90	16	16	2	
01-01-2001	16:00	-0.5	89	0	0	2	
01-01-2001	17:00	-0.6	87	0	0	1.4	
01-01-2001	18:00	-0.7	85	0	0	0	
01-01-2001	19:00	-0.9	84	0	0	0	
01-01-2001	20:00	-0.9	83	0	0	0	
01-01-2001	21:00	-1.1	85	0	0	0	
01-01-2001	22:00	-1.4	84	0	0	0	
01-01-2001	23:00	-2.4	86	0	0	0	
02-01-2001	00:00	-3.5	89	0	0	0	
02-01-2001	01:00	-4	91	0	0	0	
02-01-2001	02:00	-4.4	92	0	0	0	
02-01-2001	03:00	-5	92	0	0	0	
02-01-2001	04:00	-4.6	90	0	0	0	
02-01-2001	05:00	-4.4	90	0	0	0	
02-01-2001	06:00	-4.5	87	0	0	0	
02-01-2001	07:00	-4.4	85	0	0	0	
02-01-2001	08:00	-4.7	89	4	0	0	
02-01-2001	09:00	-2.7	86	58	45	0	
02-01-2001	10:00	-0.8	81	130	51	0	
02-01-2001	11:00	-0.3	82	175	56	0	
02-01-2001	12:00	0.6	75	188	51	2.1	
02-01-2001	13:00	0.9	73	161	53	3.7	
02-01-2001	14:00	0.4	75	102	49	3.8	
02-01-2001	15:00	-0.8	80	27	27	2.6	
02-01-2001	16:00	-1.4	80	0	0	2.2	
02-01-2001	17:00	-1.9	81	0	0	2	
02-01-2001	18:00	-2	82	0	0	1.3	
02-01-2001	19:00	-1.1	78	0	0	0.9	
02-01-2001	20:00	-1.3	84	0	0	2.2	
