Date	Gmc	Tmin	Tmax	Value
01/09/1994	22.34	22	29	100
02/09/1994	22.17	22	30	100.4
03/09/1994	22	22	30	100.9
04/09/1994	21.82	21	30	101.3
05/09/1994	21.65	22	30	101.7
06/09/1994	21.48	22	27	102.2
07/09/1994	21.31	21	29	102.6
08/09/1994	21.13	21	30	103
09/09/1994	20.96	22	29	103.5
10/09/1994	20.79	21	29	103.9
11/09/1994	20.62	22	30	104.3
12/09/1994	20.44	22	30	104.8
13/09/1994	20.27	22	30	105.2
14/09/1994	20.1	22	31	105.6
15/09/1994	19.93	23	32	106
16/09/1994	19.76	21	29	106.5
17/09/1994	19.58	21	30	106.9
18/09/1994	19.41	20	30	107.3
19/09/1994	19.24	22	30	107.8
20/09/1994	19.07	22	29	108.2
21/09/1994	18.89	20	29	108.6
22/09/1994	18.72	21	30	109.1
23/09/1994	18.55	21	30	109.5
24/09/1994	18.38	22	30	109.9
25/09/1994	18.2	21	31	110.4
26/09/1994	18.03	22	25	110.8
27/09/1994	17.86	19	30	111.2
28/09/1994	17.69	21	30	111.7
29/09/1994	17.51	21	31	112.1
30/09/1994	17.34	20	30	112.5
01/10/1994	17.17	20	30	113
02/10/1994	17.17	21	31	113.4
03/10/1994	17.12	22	30	113.8
04/10/1994	17.07	21	30	114.2
05/10/1994	17.03	22	30	114.6
06/10/1994	16.98	22	30	115.1
07/10/1994	16.93	22	27	115.5
08/10/1994	16.88	21	30	115.9
09/10/1994	16.84	20	30	116.3
10/10/1994	16.79	20	30	116.7
11/10/1994	16.74	21	31	117.1
12/10/1994	16.69	21	31	117.6
13/10/1994	16.64	22	31	118
14/10/1994	16.6	21	32	118.4
15/10/1994	16.55	21	32	118.8
16/10/1994	16.5	20	31	119.2
17/10/1994	16.45	21	31	119.7
18/10/1994	16.41	21	32	120.1
19/10/1994	16.36	22	31	120.5
20/10/1994	16.31	22	31	120.9
21/10/1994	16.26	20	31	121.3
22/10/1994	16.22	21	31	121.7
23/10/1994	16.17	22	19	122.2
24/10/1994	16.12	20	31	122.6
25/10/1994	16.07	21	32	123
26/10/1994	16.02	22	32	123.4
27/10/1994	15.98	23	32	123.8
28/10/1994	15.93	20	32	124.3
29/10/1994	15.88	21	32	124.7
30/10/1994	15.83	22	32	125.1
31/10/1994	15.76	23	32	125.5
01/11/1994	15.69	20	32	125.9
02/11/1994	15.69	23	30	126.1
03/11/1994	15.67	21	32	126.3
04/11/1994	15.64	21	32	126.5
05/11/1994	15.62	21	31	126.7
06/11/1994	15.6	21	32	126.9
07/11/1994	15.57	22	32	127
