Date	Tavg	RHmax
01/01/2016	0.4	98.2
02/01/2016	-3.4	98.6
03/01/2016	-7.2	87.7
04/01/2016	-9.3	89.1
05/01/2016	-11.3	92.1
06/01/2016	-15.1	90.8
07/01/2016	-16	88.6
08/01/2016	-13.2	91.6
09/01/2016	-10.9	91.4
10/01/2016	-6.8	96.9
11/01/2016	-2.8	97
12/01/2016	-5	92.6
13/01/2016	-11.2	93.3
14/01/2016	-19.9	86.8
15/01/2016	-18.5	89
16/01/2016	-16.2	90
17/01/2016	-21.9	86.7
18/01/2016	-18.7	88.1
19/01/2016	-18.2	88.3
20/01/2016	-17	89.3
21/01/2016	-19.8	87.8
22/01/2016	-16.8	91.7
23/01/2016	-4.7	98.4
24/01/2016	-3	99.1
25/01/2016	-2.5	99.8
26/01/2016	2.6	99.8
27/01/2016	2.9	99.8
28/01/2016	1.5	99.7
29/01/2016	3.3	98
30/01/2016	1.7	85.4
31/01/2016	-0.5	97.3
01/02/2016	-2.4	99.4
02/02/2016	1.3	99
03/02/2016	-0.7	87.6
04/02/2016	-2.9	91.1
05/02/2016	-3.6	98.4
06/02/2016	2.8	99.8
07/02/2016	4.3	99.2
08/02/2016	2.8	98.3
09/02/2016	2.2	99.8
10/02/2016	0.8	99.8
11/02/2016	-0.3	79.7
12/02/2016	-3.1	92.3
13/02/2016	-5.3	95.5
14/02/2016	-7.8	94.2
15/02/2016	-9.6	95.1
16/02/2016	-7.3	93.9
17/02/2016	0.3	95.5
18/02/2016	-3.9	90.9
19/02/2016	-1.7	98.4
20/02/2016	0.3	99.2
21/02/2016	-1.1	99.4
22/02/2016	-4.7	98.9
23/02/2016	-3.1	97.5
24/02/2016	-4.1	96.8
25/02/2016	-4.6	95.9
26/02/2016	-0.2	88.2
27/02/2016	-3.5	95
28/02/2016	-4.6	95
29/02/2016	-5	95.6
01/03/2016	-1.4	86.5
02/03/2016	-1.7	96.2
03/03/2016	-0.3	99
04/03/2016	0	99.1
05/03/2016	0	98.3
06/03/2016	-0.6	98.3
07/03/2016	-0.5	96.5
08/03/2016	-0.8	98.2
09/03/2016	0.6	97.9
10/03/2016	1.3	98.3
11/03/2016	0.5	99.5
12/03/2016	0.7	98.6
13/03/2016	1.8	95
14/03/2016	3.3	99.4
15/03/2016	5	99.8
16/03/2016	2.9	99
17/03/2016	4.1	99.1
18/03/2016	4.7	84.4
19/03/2016	3.8	83.6
20/03/2016	3.4	94.4
21/03/2016	2.1	92.3
22/03/2016	2.1	96
23/03/2016	2.1	90.8
24/03/2016	0.6	98.4
25/03/2016	3.3	99.4
26/03/2016	2.2	99.5
27/03/2016	4.3	96
28/03/2016	5.9	95.4
29/03/2016	5.1	92.3
30/03/2016	1.8	98.4
31/03/2016	-0.2	99.3
01/04/2016	1.8	97.1
02/04/2016	3.5	97
03/04/2016	4.4	99.8
04/04/2016	5.6	99.4
05/04/2016	5.5	99.8
06/04/2016	5.5	99.8
07/04/2016	4.5	98.8
08/04/2016	3.5	99.2
09/04/2016	4.2	99
10/04/2016	4.4	99.8
11/04/2016	4.4	99.1
12/04/2016	4.8	99.8
13/04/2016	5.8	96.9
14/04/2016	5.6	86.7
15/04/2016	5.8	94.5
16/04/2016	6.2	98.1
17/04/2016	3.5	98.5
18/04/2016	5.8	99
19/04/2016	6.4	90.8
20/04/2016	6.7	90.2
21/04/2016	8	76.4
22/04/2016	4.7	65.2
23/04/2016	2.4	90.1
24/04/2016	2.3	95.2
25/04/2016	2.4	98.3
