Date	Tavg	RHmax
01/01/2017	-1.1	96.2
02/01/2017	-3.8	86.5
03/01/2017	-5.4	95.2
04/01/2017	-5.3	94.1
05/01/2017	-13.8	91.7
06/01/2017	-10.6	96.7
07/01/2017	-6.7	97.9
08/01/2017	-7.4	97.7
09/01/2017	-5	99.2
10/01/2017	1.7	99.2
11/01/2017	1.6	98.9
12/01/2017	-4.8	98.6
13/01/2017	-8.4	97.6
14/01/2017	-8.7	96.2
15/01/2017	-11.7	95.8
16/01/2017	-10.5	94.2
17/01/2017	-7.4	96.4
18/01/2017	-6	98.5
19/01/2017	-4.5	100
20/01/2017	-2.5	99.7
21/01/2017	-5.2	99.3
22/01/2017	-4.2	99.5
23/01/2017	-6	99
24/01/2017	-8.8	97.8
25/01/2017	-3.3	99.6
26/01/2017	-0.6	99.9
27/01/2017	-3.2	100
28/01/2017	-3.4	99.2
29/01/2017	-2.2	99.4
30/01/2017	-5	99.6
31/01/2017	-6.2	98.2
01/02/2017	-4.6	98.9
02/02/2017	-1.2	97.4
03/02/2017	-1.1	98.3
04/02/2017	-1	99.3
05/02/2017	-0.8	95.6
06/02/2017	-1.3	95.8
07/02/2017	-6.7	87.7
08/02/2017	-10.6	91.7
09/02/2017	-10.6	92.3
10/02/2017	-5.7	86.6
11/02/2017	-7.3	95.6
12/02/2017	-9.2	95.2
13/02/2017	-8.1	96.3
14/02/2017	-8.1	96.6
15/02/2017	-7.1	97.7
16/02/2017	-5.5	98.2
17/02/2017	-6.3	98.1
18/02/2017	-4.7	97.5
19/02/2017	-2.1	100
20/02/2017	1.3	98.9
21/02/2017	-0.1	99.2
22/02/2017	-0.9	99.6
23/02/2017	-5.1	94.7
24/02/2017	-9	94.5
25/02/2017	-6.9	98.8
26/02/2017	-5.1	98.7
27/02/2017	1	98.8
28/02/2017	1.9	97.4
01/03/2017	1	97.6
02/03/2017	-3.2	99.9
03/03/2017	-5.1	99.9
04/03/2017	-3.4	97.5
05/03/2017	-2.7	91.6
06/03/2017	-4.4	71.1
07/03/2017	-5.4	88.9
08/03/2017	-4.7	96.4
09/03/2017	-1.9	98.2
10/03/2017	-1.1	95.3
11/03/2017	-4.3	96
12/03/2017	2.1	98.6
13/03/2017	1.5	98.2
14/03/2017	2.9	98.6
15/03/2017	5.1	64.2
16/03/2017	2.5	91.5
17/03/2017	4.2	84.4
18/03/2017	0.1	94.8
19/03/2017	-0.6	89.4
20/03/2017	1.7	99
21/03/2017	2.5	98.2
22/03/2017	0.8	97.8
23/03/2017	-0.1	91.3
24/03/2017	-1	96.5
25/03/2017	3	97.1
26/03/2017	7	93
27/03/2017	7.2	97.7
28/03/2017	3.5	92.1
29/03/2017	2	69.9
30/03/2017	-0.6	99.9
31/03/2017	0.8	99.9
01/04/2017	4.6	99.6
02/04/2017	5.7	98.8
03/04/2017	5.7	98.4
04/04/2017	5.7	96.1
05/04/2017	5.2	88.2
06/04/2017	3.6	96.3
07/04/2017	5	98.9
08/04/2017	4.1	95.1
09/04/2017	5.8	97.6
10/04/2017	7.1	97.1
11/04/2017	4.2	70.5
12/04/2017	2.6	93.7
13/04/2017	0.1	99.2
14/04/2017	-0.5	99
15/04/2017	-1.1	96.4
16/04/2017	-0.3	99.2
17/04/2017	0.3	99.2
18/04/2017	0.5	94.2
19/04/2017	2	91
20/04/2017	5.7	91.6
21/04/2017	5.5	87.6
22/04/2017	4.5	71.4
23/04/2017	2.7	82
24/04/2017	-0.5	99.9
25/04/2017	2.6	83.1
26/04/2017	2.8	92.2
27/04/2017	1.7	94.8
28/04/2017	2.9	87.8
29/04/2017	4.7	68.2
30/04/2017	5	88.4
01/05/2017	6.4	94.2
02/05/2017	8.3	92.1
03/05/2017	8.4	86.9
04/05/2017	8.7	86.6
05/05/2017	13.1	66.6
06/05/2017	13.1	83.7
07/05/2017	7.1	86.7
