date	smin	smax	smean	tmean
01/01/2009  	24.735573   	30.57932    	28.67075    	 2.527051852
02/01/2009  	23.749649   	30.63981    	28.23336    	 2.373380865
03/01/2009  	25.808109   	30.91588    	29.01048    	 2.492476596
04/01/2009  	26.368979   	31.11963    	28.77793    	 2.674741690
05/01/2009  	25.400797   	30.88722    	28.25297    	 2.208902591
06/01/2009  	27.182230   	31.23239    	29.58439    	 1.785453807
07/01/2009  	28.193655   	31.59478    	30.23749    	 2.162947975
08/01/2009  	26.460371   	31.32260    	29.61369    	 1.787513913
09/01/2009  	24.630917   	31.26982    	28.64423    	 1.395726614
10/01/2009  	24.165562   	31.32101    	28.17303    	 0.977201296
11/01/2009  	19.596102   	30.90996    	25.90067    	 0.515521692
12/01/2009  	17.262836   	25.11366    	21.27973    	 0.310298219
13/01/2009  	17.039703   	26.95836    	21.59422    	 1.250240792
14/01/2009  	16.645454   	27.10057    	22.05218    	 1.709223303
15/01/2009  	16.482002   	27.18846    	21.77870    	 1.693510026
16/01/2009  	17.540800   	26.49730    	22.06132    	 1.578415784
17/01/2009  	13.662405   	26.19555    	20.52405    	 1.686914250
18/01/2009  	13.874305   	21.76004    	17.27991    	 2.134436801
19/01/2009  	18.180679   	24.42475    	21.70431    	 2.870733768
20/01/2009  	21.944788   	23.77944    	23.01297    	 3.025136491
21/01/2009  	22.914797   	23.28762    	23.12443    	 2.912985459
22/01/2009  	17.625086   	23.03596    	21.39651    	 2.402765932
23/01/2009  	16.780195   	25.53245    	22.55073    	 2.474616443
24/01/2009  	18.566555   	24.95052    	22.05254    	 2.880377303
25/01/2009  	18.193235   	25.75263    	22.21870    	 2.967265571
26/01/2009  	17.887131   	26.62449    	23.44502    	 2.679088329
27/01/2009  	17.732483   	26.90090    	23.58046    	 2.183120827
28/01/2009  	19.335197   	27.64952    	24.18744    	 1.928835742
29/01/2009  	18.606192   	27.24789    	24.06283    	 1.530598288
30/01/2009  	18.855604   	27.17842    	23.77263    	 1.135036564
31/01/2009  	20.541853   	27.27292    	24.43974    	 0.824517023
01/02/2009  	21.263340   	28.03972    	25.47773    	 0.669001470
02/02/2009  	24.208368   	28.69490    	26.62305    	 0.647011845
03/02/2009  	25.173714   	29.07852    	27.51968    	 0.936823802
04/02/2009  	25.225954   	28.89050    	27.74662    	 1.064055013
05/02/2009  	25.720398   	29.06128    	27.93097    	 1.121335828
06/02/2009  	25.134867   	28.72269    	27.33801    	 1.324689962
07/02/2009  	24.535301   	29.29353    	27.08374    	 1.430756802
08/02/2009  	24.523630   	29.57347    	27.33910    	 1.453345080
09/02/2009  	21.151690   	29.48993    	26.33142    	 1.505997171
10/02/2009  	21.325277   	30.36427    	26.70047    	 1.636075800
11/02/2009  	22.855154   	30.50119    	26.62907    	 1.814022412
12/02/2009  	23.428625   	30.66986    	26.91652    	 2.010868651
13/02/2009  	24.077927   	30.75037    	27.15102    	 2.211561476
14/02/2009  	24.083887   	30.83497    	27.35157    	 2.017340514
15/02/2009  	20.710003   	30.66237    	26.90507    	 2.172109038
16/02/2009  	20.807089   	30.16412    	26.08764    	 2.491373012
17/02/2009  	20.994299   	30.05004    	25.98745    	 2.834662740
18/02/2009  	20.590822   	28.65722    	24.81534    	 2.768256982
19/02/2009  	18.194679   	26.48047    	22.65556    	 2.637423446
20/02/2009  	16.397125   	25.23925    	20.92886    	 2.855005493
21/02/2009  	15.747705   	26.91198    	21.82232    	 3.015723512
22/02/2009  	15.722027   	28.39273    	22.73348    	 3.346683393
23/02/2009  	15.448702   	29.01387    	22.82300    	 3.721725613
24/02/2009  	16.217087   	29.23940    	23.34225    	 3.856303126
25/02/2009  	14.055120   	29.34833    	22.74062    	 4.029019947
26/02/2009  	13.478159   	28.81849    	22.26099    	 4.332930664
27/02/2009  	11.287808   	29.22997    	20.79662    	 4.742332190
28/02/2009  	12.142320   	29.32366    	21.76517    	 4.965454598
01/03/2009  	13.920810   	29.47517    	23.50884    	 4.904252976
02/03/2009  	15.962420   	29.70146    	24.01749    	 5.093022019
03/03/2009  	14.029940   	28.78260    	21.62956    	 5.097730080
04/03/2009  	12.394496   	23.98952    	17.46270    	 4.925603241
05/03/2009  	15.073617   	24.05341    	20.69010    	 4.952589343
06/03/2009  	14.142534   	25.77081    	21.16575    	 4.945010493
07/03/2009  	15.838993   	26.18522    	22.19113    	 4.828792145
08/03/2009  	13.070331   	23.49440    	19.40007    	 5.025084525
09/03/2009  	11.650188   	23.05877    	18.29751    	 5.041187753
10/03/2009  	11.691157   	26.12710    	18.92960    	 4.954182615
11/03/2009  	12.103089   	26.75894    	20.32254    	 4.913297484
12/03/2009  	12.564749   	27.95643    	20.39148    	 5.131593257
13/03/2009  	13.623662   	28.00919    	22.20012    	 5.327852259
14/03/2009  	13.949030   	28.40124    	21.63834    	 5.577509662
15/03/2009  	16.136311   	28.42661    	23.34421    	 5.757320484
16/03/2009  	14.619254   	28.32060    	22.39443    	 6.065962126
17/03/2009  	15.507566   	28.55945    	23.56998    	 6.247545093
18/03/2009  	16.320932   	27.98702    	22.61160    	 6.400449812
19/03/2009  	17.871094   	27.75243    	24.09605    	 6.450862835
20/03/2009  	18.799810   	25.80946    	23.09735    	 6.541513284
21/03/2009  	18.149790   	25.36295    	22.96667    	 6.506493102
22/03/2009  	17.880379   	26.67544    	22.14621    	 6.484211773
23/03/2009  	14.756204   	25.53569    	20.55498    	 6.635887176
24/03/2009  	13.513977   	27.33936    	21.27569    	 6.298242331
25/03/2009  	14.762109   	28.34697    	21.55088    	 6.236570527
26/03/2009  	10.549981   	25.34727    	19.31601    	 6.310086608
27/03/2009  	11.779877   	24.82000    	19.14651    	 6.296831002
28/03/2009  	10.454312   	27.22053    	20.22725    	 6.234515925
29/03/2009  	12.709319   	27.34408    	21.09202    	 6.297023604
30/03/2009  	12.869895   	27.61794    	21.44485    	 6.287246654
31/03/2009  	13.637387   	27.71399    	21.29197    	 6.525220305
01/04/2009  	13.955251   	27.41662    	22.24483    	 6.876061052
