date	smin	smax	smean	tmean
01/01/2009 	18.7908363 	25.70931   	21.94790   	 2.09066906
02/01/2009 	10.5098734 	25.75197   	19.66741   	 2.01324113
03/01/2009 	11.0628834 	25.77103   	19.70650   	 1.94882651
04/01/2009 	11.0052443 	25.84216   	19.16366   	 2.06451151
05/01/2009 	 8.3741474 	25.45231   	18.08973   	 1.85386799
06/01/2009 	14.2525005 	24.78247   	20.55977   	 1.51576603
07/01/2009 	16.2285385 	25.20235   	21.24423   	 1.45306660
08/01/2009 	16.4501686 	24.99024   	21.09145   	 1.27769121
09/01/2009 	10.5751648 	25.45402   	21.36278   	 1.20953003
10/01/2009 	11.8679142 	25.48464   	21.27240   	 0.84056476
11/01/2009 	15.5705223 	27.84186   	24.04051   	 1.31002768
12/01/2009 	20.2326984 	31.54472   	27.75983   	 2.31753870
13/01/2009 	19.7252293 	31.22287   	29.01076   	 3.04978995
14/01/2009 	16.4320526 	31.02322   	26.29880   	 2.94973756
15/01/2009 	 8.2971697 	29.89110   	22.32136   	 2.42781405
16/01/2009 	 3.1029150 	28.43336   	21.24253   	 2.27005000
17/01/2009 	 9.7781610 	28.89074   	23.53846   	 2.40320087
18/01/2009 	18.5100079 	30.49917   	27.70270   	 2.94023117
19/01/2009 	22.1538467 	30.49791   	29.07419   	 2.85984820
20/01/2009 	28.1606388 	30.16598   	29.59277   	 2.82321679
21/01/2009 	26.9269753 	29.81110   	29.01834   	 2.60957766
22/01/2009 	20.8259106 	29.64180   	28.59776   	 2.31465975
23/01/2009 	26.9817848 	29.18610   	28.57528   	 2.66850122
24/01/2009 	27.2455597 	28.66215   	28.35606   	 2.87832409
25/01/2009 	15.7283316 	28.49299   	26.57688   	 2.76422775
26/01/2009 	 9.4299765 	28.76961   	25.24502   	 2.56365816
27/01/2009 	12.3373384 	27.57566   	22.88962   	 2.22886897
28/01/2009 	 9.3900728 	27.42351   	21.51721   	 1.89780621
29/01/2009 	 8.7356644 	26.33236   	20.97338   	 1.70928225
30/01/2009 	 7.4616375 	25.73289   	18.95687   	 1.37670849
31/01/2009 	 4.4978189 	25.49957   	18.83795   	 0.99745943
01/02/2009 	10.8435202 	25.60661   	21.61739   	 0.65025642
02/02/2009 	14.6684885 	26.33430   	23.06334   	 0.21369974
03/02/2009 	21.2258244 	26.67715   	24.21296   	 0.86816288
04/02/2009 	21.4488716 	27.35744   	24.52857   	 1.08432606
05/02/2009 	21.5081921 	27.75324   	25.10759   	 1.30746037
06/02/2009 	15.8220205 	28.07033   	24.12753   	 1.60078295
07/02/2009 	14.0339127 	27.98839   	23.65602   	 1.71788180
08/02/2009 	13.4051123 	27.58067   	22.44995   	 1.64707818
09/02/2009 	 9.6213245 	27.47513   	22.00370   	 1.65221311
10/02/2009 	10.5824127 	27.54766   	22.02710   	 1.75003931
11/02/2009 	17.9345474 	25.52015   	21.48670   	 1.84277316
12/02/2009 	11.2014484 	24.85637   	20.11375   	 1.95435266
13/02/2009 	 9.0856657 	24.49074   	18.49537   	 2.03594545
14/02/2009 	 5.5604320 	24.61000   	16.49619   	 1.84574266
15/02/2009 	 6.8822103 	24.73199   	18.57301   	 1.92604735
16/02/2009 	 6.4951434 	24.71711   	17.83887   	 2.34207706
17/02/2009 	10.0707083 	24.90858   	19.51515   	 2.81618572
18/02/2009 	16.9232903 	24.74662   	21.64903   	 2.76707958
19/02/2009 	19.4046307 	23.50152   	21.78911   	 2.72606545
20/02/2009 	 7.2289739 	23.18725   	19.00116   	 2.91413104
21/02/2009 	12.3333569 	24.96400   	20.66532   	 3.10373701
22/02/2009 	11.2023668 	25.32138   	20.48561   	 3.33075194
