date	smin	smax	smean	tmean
01/01/2009 	28.07446   	32.58633   	30.38430   	 3.28805790
02/01/2009 	28.17577   	32.58802   	30.36256   	 3.18135793
03/01/2009 	28.34785   	32.40440   	30.73434   	 3.15971932
04/01/2009 	30.29186   	32.45055   	31.45461   	 3.62367731
05/01/2009 	29.27702   	32.27004   	30.73116   	 3.05802115
06/01/2009 	29.40694   	32.18938   	31.12526   	 2.72554582
07/01/2009 	30.03541   	32.66897   	31.51172   	 2.71521441
08/01/2009 	30.22579   	32.34184   	31.41154   	 2.59470713
09/01/2009 	30.51655   	32.63490   	31.64464   	 2.50734232
10/01/2009 	30.62335   	32.60608   	31.62591   	 2.23683483
11/01/2009 	30.43183   	32.67077   	31.54365   	 1.95890676
12/01/2009 	27.56002   	31.59896   	30.14470   	 1.50882912
13/01/2009 	26.18332   	30.84575   	28.20515   	 1.69371353
14/01/2009 	25.61926   	30.54342   	27.34743   	 1.89994684
15/01/2009 	25.74827   	30.43747   	27.14635   	 1.89041255
16/01/2009 	26.02947   	29.50618   	27.27345   	 1.99851662
17/01/2009 	25.15762   	30.87025   	27.47110   	 2.32246452
18/01/2009 	23.93110   	30.14825   	26.64607   	 2.68763711
19/01/2009 	24.28190   	31.14666   	27.17352   	 3.01534072
20/01/2009 	24.06878   	27.61469   	25.63973   	 3.07623785
21/01/2009 	24.05365   	26.48463   	25.08236   	 3.04049377
22/01/2009 	23.67032   	26.33479   	24.61409   	 2.81234089
23/01/2009 	24.24501   	29.94902   	27.31788   	 2.84120140
24/01/2009 	25.86389   	29.23849   	27.21589   	 2.94675923
25/01/2009 	25.08358   	27.54361   	26.27964   	 2.96990291
26/01/2009 	24.40482   	30.16658   	26.76831   	 2.83333768
27/01/2009 	24.65908   	29.93781   	26.84471   	 2.61409710
28/01/2009 	24.64211   	30.91837   	27.43807   	 2.47602488
29/01/2009 	24.98326   	30.58975   	27.45888   	 2.23318680
30/01/2009 	24.57763   	30.30506   	26.98459   	 1.89153959
31/01/2009 	24.46937   	30.28455   	27.19451   	 1.58336528
01/02/2009 	24.57395   	30.06565   	27.59261   	 1.30131215
02/02/2009 	25.38852   	30.30311   	28.36784   	 1.08972854
03/02/2009 	27.59213   	30.73705   	29.18244   	 1.20139748
04/02/2009 	27.98422   	30.89822   	29.37287   	 1.26283600
05/02/2009 	28.15045   	30.92889   	29.59261   	 1.33617649
