Date	Tmax	Tmin	Tavg
01/01/2016	11.1	-1.2	3.7
02/01/2016	11.6	5.2	8.9
03/01/2016	10.1	7.4	8.8
04/01/2016	11.7	0	9.6
05/01/2016	11.6	8.3	9.9
06/01/2016	10.2	5.6	7.9
07/01/2016	12.3	3.1	7.3
08/01/2016	8.1	7.3	7.7
09/01/2016	8.9	7.5	8.2
10/01/2016	14.5	6.9	9.9
11/01/2016	19.9	3.6	8.1
12/01/2016	13.8	11.4	12.5
13/01/2016	14.8	4.6	11.3
14/01/2016	12.7	11.2	12.3
15/01/2016	15.8	4	9.9
16/01/2016	12.3	11.2	11.9
17/01/2016	15.1	12.5	14
18/01/2016	15.3	10.8	13
19/01/2016	13.7	8.3	10.8
20/01/2016	10.9	7.5	8.6
21/01/2016	13.3	10.6	11.8
22/01/2016	14	10.6	11.6
23/01/2016	8.7	6.2	7.4
24/01/2016	15.3	3	8.8
25/01/2016	11.8	7.6	9.5
26/01/2016	10.7	0	8.4
27/01/2016	7.4	6.3	6.8
28/01/2016	13.8	5.3	10.1
23/02/2016	21.4	0	13.5
24/02/2016	8.9	8.8	8.8
25/02/2016	12.1	9.2	10.6
26/02/2016	14.5	0	13.3
27/02/2016	11.3	7.8	9.5
28/02/2016	22.3	5	12.4
29/02/2016	10.7	10.2	10.5
01/03/2016	13.6	0	12.1
02/03/2016	14.7	13.5	13.9
04/03/2016	16.5	0	15.6
05/03/2016	18	12.6	14.8
06/03/2016	18.2	6.7	12.1
07/03/2016	15.6	0	10
08/03/2016	11.1	10.9	11
09/03/2016	13.1	12.5	12.7
10/03/2016	14.8	14.3	14.6
11/03/2016	12.5	11	11.6
12/03/2016	13.9	0	12.3
13/03/2016	14.8	0	14.4
14/03/2016	7.7	6.8	7.2
15/03/2016	18.7	10.2	13.5
16/03/2016	14.2	0	12.6
17/03/2016	13.3	11.5	12.3
18/03/2016	13.6	11.15	12.45
19/03/2016	13.9	10.8	12.6
20/03/2016	14.7	9.2	11.6
21/03/2016	9.5	6.7	8
22/03/2016	15.4	0	10.1
23/03/2016	9.3	8.7	9
24/03/2016	11.6	0	10.8
25/03/2016	17	10.4	12.6
26/03/2016	25.9	6.4	16.4
27/03/2016	23.8	7.1	14.3
28/03/2016	7.8	6	7.1
29/03/2016	5.5	4.7	5.1
30/03/2016	15.4	6.7	10.2
31/03/2016	11.3	0	8.6
01/04/2016	15.5	0	10.6
02/04/2016	18.2	8.1	12.1
03/04/2016	11.1	8.4	9.7
04/04/2016	10.4	9.4	9.8
05/04/2016	13.9	12	12.8
06/04/2016	21.1	13.3	16.6
07/04/2016	23.7	9.3	17.8
08/04/2016	23.8	0	17.1
09/04/2016	15.7	12.4	13.6
10/04/2016	12.3	12.2	12.2
11/04/2016	10.75	10.35	10.5
12/04/2016	9.2	8.5	8.8
13/04/2016	12.2	11.7	12
14/04/2016	11.6	7	8.6
15/04/2016	18.2	13.9	16.7
16/04/2016	11.8	10.4	11.2
17/04/2016	17.2	11.7	14.1
18/04/2016	17.5	10.1	13.3
19/04/2016	10.6	9	9.5
20/04/2016	18.4	12	15.1
21/04/2016	14.5	14	14.3
22/04/2016	10	7.7	9.1
23/04/2016	16	10.8	13.5
24/04/2016	8.1	7.7	7.9
25/04/2016	11.6	8.6	10.1
26/04/2016	11.7	9.6	10.5
27/04/2016	14.6	8.9	10.8
