Date	Tavg	RHmax
01/01/2013	0.9	100
02/01/2013	-4.1	99.2
03/01/2013	-2.2	100
04/01/2013	0	100
05/01/2013	-2.5	100
06/01/2013	-1.1	100
07/01/2013	0.1	100
08/01/2013	-1.2	100
09/01/2013	-3.4	99.4
10/01/2013	-2.4	88.2
11/01/2013	-5.8	85.4
12/01/2013	-11.7	95.1
13/01/2013	-15.1	95.3
14/01/2013	-13.8	92
15/01/2013	-12.4	91.4
16/01/2013	-11	90.8
17/01/2013	-8.2	92.3
18/01/2013	-11.9	95.9
19/01/2013	-16.3	93.6
20/01/2013	-7.3	97.5
21/01/2013	-11.2	97.2
22/01/2013	-17.4	92.3
23/01/2013	-17.9	91.3
24/01/2013	-12.7	94.1
25/01/2013	-15.6	92.6
26/01/2013	-6.4	100
27/01/2013	-4.7	98.6
28/01/2013	1.1	100
29/01/2013	0.8	100
30/01/2013	1.7	100
31/01/2013	0.1	98.7
01/02/2013	-9.4	98.8
02/02/2013	-10.9	96.3
03/02/2013	-9.4	96.9
04/02/2013	-2.2	99.7
05/02/2013	-6.8	99.7
06/02/2013	-1.9	92.1
07/02/2013	-4.9	96.2
08/02/2013	-7.9	94.7
09/02/2013	-11.2	96.9
10/02/2013	-8.7	97.3
11/02/2013	-10.2	98
12/02/2013	-6.7	97.4
13/02/2013	-6.1	97.4
14/02/2013	-4.1	96.3
15/02/2013	-3.3	99.8
16/02/2013	-1.2	99.8
17/02/2013	-0.6	100
18/02/2013	-1.5	100
19/02/2013	-4	96.6
20/02/2013	-6.9	97.9
21/02/2013	-14.4	95.9
22/02/2013	-8.4	94
23/02/2013	-0.9	100
24/02/2013	-1.2	100
25/02/2013	-4.8	99.3
26/02/2013	-7.9	97.8
27/02/2013	-5.4	99.1
28/02/2013	-2.3	99.2
01/03/2013	1.2	87.1
02/03/2013	2.2	90.1
03/03/2013	1.3	70.1
04/03/2013	0	95.2
05/03/2013	-2.2	98.8
06/03/2013	-0.2	100
07/03/2013	-5.1	97.5
08/03/2013	-6.7	94.6
09/03/2013	-5.7	93.3
10/03/2013	-11.1	96.4
11/03/2013	-9.4	92.3
12/03/2013	-3.9	83.6
13/03/2013	-8	86.2
14/03/2013	-11	92.3
15/03/2013	-9.5	96.6
16/03/2013	-3.2	97.7
17/03/2013	-3.2	91.7
18/03/2013	-4	84.2
19/03/2013	-7.8	78.4
20/03/2013	-6.2	85.9
21/03/2013	-4.9	63.3
22/03/2013	-8.2	86.5
23/03/2013	-7.8	93.4
24/03/2013	-5.1	89.2
25/03/2013	-3.1	90.3
26/03/2013	-3.3	96.9
27/03/2013	-4	96.9
28/03/2013	-4.5	96.2
29/03/2013	-2.8	92.2
30/03/2013	-2.2	80.3
31/03/2013	-2.9	96.1
01/04/2013	-0.8	88.4
02/04/2013	-0.6	88.4
03/04/2013	-0.1	93.5
04/04/2013	1.5	95.9
05/04/2013	1.7	83.8
06/04/2013	-0.6	96.7
07/04/2013	-0.5	78.5
08/04/2013	-1.1	78
09/04/2013	-1.3	90.8
10/04/2013	-1.2	89.7
11/04/2013	-0.8	91.9
12/04/2013	1.7	99.1
13/04/2013	1.5	100
14/04/2013	2.1	100
15/04/2013	6.3	98.4
16/04/2013	6.1	97.6
17/04/2013	7.1	96.6
18/04/2013	6.4	97.5
19/04/2013	4.8	96
20/04/2013	4.2	93
21/04/2013	4	95.3
22/04/2013	4.6	94.8
23/04/2013	7.5	94.9
24/04/2013	6.6	79.1
25/04/2013	6.5	90.5
26/04/2013	5.2	98.4
27/04/2013	5	95.1
28/04/2013	3	94
29/04/2013	4	94.5
30/04/2013	7.1	86.9
01/05/2013	4.6	91.1
02/05/2013	5.7	85.1
03/05/2013	4.1	87.3
04/05/2013	5.2	97.3
05/05/2013	8.8	90.8
06/05/2013	10.4	98
07/05/2013	13.5	93.3
08/05/2013	11.8	96.5
09/05/2013	11.5	96.8
10/05/2013	9	93.5
11/05/2013	9.5	95.1
12/05/2013	8	96.5
13/05/2013	7.2	95.1
14/05/2013	6.7	94.6
15/05/2013	7.9	98.7
16/05/2013	14.9	74.5
17/05/2013	16.9	66.3
18/05/2013	19	87.4
19/05/2013	19.1	91.4
20/05/2013	15.5	92.6
21/05/2013	14.3	95.3
22/05/2013	13.3	95.6
23/05/2013	9.1	98.7
24/05/2013	10	100
25/05/2013	15.4	93.9
26/05/2013	17	89
27/05/2013	13.9	90.8
28/05/2013	15.5	95.4
29/05/2013	17	80.9
30/05/2013	17.1	94.5
31/05/2013	17.3	94.8
01/06/2013	16	96.4
02/06/2013	15.7	93.9
03/06/2013	12.8	94.1
04/06/2013	10.2	87.2
05/06/2013	10.5	89.7
06/06/2013	11.8	94.8
07/06/2013	13.2	96.5
08/06/2013	13.8	88.1
09/06/2013	12.5	86.8
10/06/2013	13.6	75.4
11/06/2013	14.2	86.8
12/06/2013	12	94.7
13/06/2013	13.2	94.9
14/06/2013	14.9	93.6
15/06/2013	13.4	79.5
16/06/2013	12.1	94.9
17/06/2013	15	95.9
18/06/2013	15.3	88.2
19/06/2013	14.8	94.6
20/06/2013	17	95.2
21/06/2013	17.9	95.8
22/06/2013	14.8	94.3
23/06/2013	14.2	92.5
24/06/2013	13.8	93.4
25/06/2013	15.4	92.9
26/06/2013	12.6	92.8
27/06/2013	14.4	93.7
28/06/2013	14.1	91.5
29/06/2013	12.7	92.9
30/06/2013	14.9	93.6
01/07/2013	15.1	96
02/07/2013	13.2	92.3
03/07/2013	13.9	93.4
04/07/2013	14.1	94.9
05/07/2013	16.5	92.2
06/07/2013	16.2	87.8
07/07/2013	17.7	92.5
08/07/2013	16.1	79
09/07/2013	16.7	93.3
10/07/2013	15.4	69.4
11/07/2013	15.3	89
12/07/2013	18.4	86
13/07/2013	17.4	95.2
14/07/2013	16	71
15/07/2013	16.3	78.7
16/07/2013	15.6	84.8
17/07/2013	18.7	92
18/07/2013	19.6	75.1
19/07/2013	17.3	85.3
20/07/2013	19.7	88
21/07/2013	20.5	81.9
22/07/2013	16.6	77.4
23/07/2013	16.6	87.9
24/07/2013	18.5	93.7
25/07/2013	19	94.7
26/07/2013	19.1	95.7
27/07/2013	17	95
28/07/2013	17	96.2
29/07/2013	18.3	90.3
30/07/2013	15.1	94.6
31/07/2013	14.7	95.9
01/08/2013	15.6	97.8
02/08/2013	17.1	93.9
03/08/2013	17.9	94.8
04/08/2013	16.3	94.9
05/08/2013	16.9	94.2
06/08/2013	16.7	95.3
07/08/2013	18	95.5
08/08/2013	13.9	94.7
09/08/2013	14.9	96.1
10/08/2013	14	96.9
11/08/2013	14.5	95.3
12/08/2013	12.4	96.8
13/08/2013	12.6	97.7
14/08/2013	12.8	95.1
15/08/2013	13.4	95.7
16/08/2013	15.2	94.4
17/08/2013	16.5	94.6
18/08/2013	14.9	92.4
19/08/2013	14.3	94.2
20/08/2013	13.8	97.1
21/08/2013	13.4	96.7
22/08/2013	13.7	97.5
23/08/2013	14.6	96.1
24/08/2013	14.6	97.4
25/08/2013	15.1	96.3
26/08/2013	13.8	97.6
27/08/2013	14.6	97.1
28/08/2013	14.9	96.7
29/08/2013	14.3	94.9
30/08/2013	13.9	94.5
31/08/2013	13.5	95.5
01/09/2013	11.2	88.9
02/09/2013	12.3	94.2
03/09/2013	13.2	98
04/09/2013	15.1	92.8
05/09/2013	15.7	93
06/09/2013	16.2	93.6
07/09/2013	15.5	96.6
08/09/2013	14.9	96
09/09/2013	14.4	90.2
10/09/2013	14.7	89.6
11/09/2013	13.6	96
12/09/2013	12.5	97.3
13/09/2013	12.4	98.8
14/09/2013	12.8	96.5
15/09/2013	13.6	95.6
16/09/2013	10.1	95.5
17/09/2013	9.5	96.5
18/09/2013	9.6	97.9
19/09/2013	7.4	99.4
20/09/2013	6	99.9
21/09/2013	8.9	99.8
22/09/2013	10.7	96.8
23/09/2013	9.1	97.4
24/09/2013	5.5	98.7
25/09/2013	2.5	99.9
26/09/2013	1.6	100
27/09/2013	4.7	98.4
28/09/2013	5.5	97.9
29/09/2013	5.5	98.3
30/09/2013	4.4	99.7
01/10/2013	4.5	99.6
02/10/2013	3.9	99.6
03/10/2013	6.7	98.6
04/10/2013	6.1	96.2
05/10/2013	8.7	99.2
06/10/2013	7.1	100
07/10/2013	13.4	93.7
08/10/2013	13.7	93.6
09/10/2013	11.4	95.5
10/10/2013	5.9	94.5
11/10/2013	2.8	99.5
12/10/2013	4.5	99.9
13/10/2013	6	99.2
14/10/2013	4.9	99
15/10/2013	4.4	98.9
16/10/2013	4.6	98.7
17/10/2013	4.6	96.5
18/10/2013	1.6	99.4
19/10/2013	-1.6	98.9
20/10/2013	-0.4	98.6
21/10/2013	1.4	97.1
22/10/2013	5.2	98.4
23/10/2013	12.7	98.3
24/10/2013	9.3	94.9
25/10/2013	5.9	95
26/10/2013	8.6	100
27/10/2013	10.3	99.1
28/10/2013	8.3	98.6
29/10/2013	6.1	100
30/10/2013	3.6	99.6
31/10/2013	4.9	100
01/11/2013	5.4	99.9
02/11/2013	2.6	100
03/11/2013	4.2	100
04/11/2013	5.5	99.6
05/11/2013	3.1	100
06/11/2013	0.5	100
07/11/2013	0.7	99.9
08/11/2013	2.4	100
09/11/2013	3.3	100
10/11/2013	1.7	98.7
11/11/2013	-0.7	99.4
12/11/2013	6.4	100
13/11/2013	2.1	98.2
14/11/2013	2.1	100
15/11/2013	3.9	100
16/11/2013	9.9	75.9
17/11/2013	4.5	93.5
18/11/2013	2.2	99.5
19/11/2013	1.2	100
20/11/2013	-4	99
21/11/2013	-3.7	92.7
22/11/2013	-8.2	95.9
23/11/2013	-7.8	97.1
24/11/2013	-4.6	96.8
25/11/2013	-3.7	96.1
26/11/2013	-5.4	95.9
27/11/2013	3.1	99.4
28/11/2013	4.9	57.2
29/11/2013	-0.7	92.6
30/11/2013	-1.6	99.7
01/12/2013	3.2	93.7
02/12/2013	-0.9	92.6
03/12/2013	3.5	98.5
04/12/2013	-0.6	99.3
05/12/2013	1.1	98.1
06/12/2013	-1.6	71.3
07/12/2013	-6.1	89.8
08/12/2013	-7.4	93.1
09/12/2013	-4.3	98.6
10/12/2013	0.6	100
11/12/2013	-0.4	100
12/12/2013	3.2	100
13/12/2013	-2.7	99.2
14/12/2013	-0.3	99.9
15/12/2013	1.9	100
16/12/2013	6.1	99.3
17/12/2013	1.7	95.6
18/12/2013	-0.2	99.8
19/12/2013	3.3	99.8
20/12/2013	1.7	98.5
21/12/2013	4.3	99.8
22/12/2013	4.5	95.5
23/12/2013	1.5	95.6
24/12/2013	5.2	99.1
25/12/2013	3.9	97.8
26/12/2013	3.6	98.3
27/12/2013	2.2	97.7
28/12/2013	5.1	94.2
29/12/2013	2.4	99.6
30/12/2013	-0.7	99.7
31/12/2013	4.2	97.6
