Date	Tavg	RHmax
01/01/2005	-4.9	99.8
02/01/2005	1	97.2
03/01/2005	-1.4	89.1
04/01/2005	-4.1	100
05/01/2005	-3.7	97.8
06/01/2005	1.2	96
07/01/2005	4.7	95.7
08/01/2005	2.7	99.5
09/01/2005	1.4	86.8
10/01/2005	4.2	100
11/01/2005	3.2	93.1
12/01/2005	4.2	96
13/01/2005	3.5	85.1
14/01/2005	-0.9	89
15/01/2005	-3.5	96.9
16/01/2005	3.2	97.9
17/01/2005	4.8	97.3
18/01/2005	2.6	100
19/01/2005	-3.6	100
20/01/2005	-1.4	99.9
21/01/2005	-4	100
22/01/2005	-3.3	95.8
23/01/2005	-6.3	94.9
24/01/2005	-2.4	85.4
25/01/2005	-7.6	95.3
26/01/2005	-5.3	92.6
27/01/2005	-2.2	98.9
28/01/2005	-1.3	99.2
29/01/2005	-1.5	99.9
30/01/2005	0.1	99.5
31/01/2005	1.2	72.5
01/02/2005	0.8	79.9
02/02/2005	0.9	97.9
03/02/2005	-4.6	100
04/02/2005	0	100
05/02/2005	2.7	99.6
06/02/2005	1.1	90.2
07/02/2005	-1.7	86.3
08/02/2005	-2.8	85.6
09/02/2005	-2.1	94.2
10/02/2005	1	97.6
11/02/2005	-4.2	95
12/02/2005	-3	90.7
13/02/2005	-2.9	88.4
14/02/2005	-2.7	74.8
15/02/2005	-6	86.2
16/02/2005	-9.9	89.5
17/02/2005	-7.1	90
18/02/2005	-1.9	99.9
19/02/2005	-1	100
20/02/2005	-2.4	89.7
21/02/2005	-1.1	85.5
22/02/2005	-6.4	77.5
23/02/2005	-9.9	83.7
24/02/2005	-12.2	88.6
25/02/2005	-7.7	89.2
26/02/2005	-4	69.4
27/02/2005	-7.8	93.8
28/02/2005	-5.8	94.2
01/03/2005	-11.3	90.1
02/03/2005	-17.5	88.7
03/03/2005	-15.1	87.1
04/03/2005	-4.6	94.1
05/03/2005	-5.4	97.2
06/03/2005	-7	94.3
07/03/2005	-0.4	99.9
08/03/2005	1.5	86.1
09/03/2005	-1.9	84.5
10/03/2005	0.4	100
11/03/2005	-0.9	100
12/03/2005	-8	89.9
13/03/2005	-11.4	90.4
14/03/2005	-7.7	95
15/03/2005	-9.4	96
16/03/2005	-4.7	99.6
17/03/2005	-2.5	99.8
18/03/2005	-6.4	95.7
19/03/2005	-12	93.5
20/03/2005	-8.1	91.8
21/03/2005	-3.9	95.1
22/03/2005	-2.3	99.8
23/03/2005	0.4	94.4
24/03/2005	0.7	100
25/03/2005	1	99.8
26/03/2005	1.9	97.8
27/03/2005	2.9	99.3
28/03/2005	2.9	99.1
