Date	Tavg	RHmax
01/01/2014	3.8	95.8
02/01/2014	3.6	95.9
03/01/2014	5.4	95.9
04/01/2014	4.2	96.1
05/01/2014	3.3	95.6
06/01/2014	4.2	97.2
07/01/2014	6.9	93.7
08/01/2014	4.9	96.1
09/01/2014	0.1	97.5
10/01/2014	-1.4	97.1
11/01/2014	-2.4	97.1
12/01/2014	-6.9	94.7
13/01/2014	-10.4	92.1
14/01/2014	-7.1	90.2
15/01/2014	-5.6	94.5
16/01/2014	-3.5	97.2
17/01/2014	-5	96.5
18/01/2014	-5.2	95.3
19/01/2014	-3.6	82.8
20/01/2014	-3.9	79.3
21/01/2014	-4.7	82.6
22/01/2014	-6.5	85.2
23/01/2014	-6.6	93.1
24/01/2014	-6.7	93.3
25/01/2014	-3.9	94.3
26/01/2014	-5.8	91.3
27/01/2014	-3.2	96.5
28/01/2014	-1.5	97.4
29/01/2014	-3	97.1
30/01/2014	-4.5	95.4
31/01/2014	-3.8	95.5
01/02/2014	-3.2	97.5
02/02/2014	1.4	97.9
03/02/2014	2.2	97.9
04/02/2014	0.4	98
05/02/2014	0	96.7
06/02/2014	-0.3	97.8
07/02/2014	0.2	97.9
08/02/2014	0.6	97.9
09/02/2014	1.6	97.9
10/02/2014	2.9	96
11/02/2014	1.2	96.8
12/02/2014	1.3	96.7
13/02/2014	0.9	97.8
14/02/2014	2.2	96.3
15/02/2014	2.2	96.7
16/02/2014	3.3	96.1
17/02/2014	2.3	94.3
18/02/2014	-0.6	87.1
19/02/2014	-1.3	94.6
20/02/2014	-1.6	97.4
21/02/2014	0.5	97.4
22/02/2014	2.7	96.6
23/02/2014	4.3	93.5
24/02/2014	5	93.2
25/02/2014	3.2	92.7
26/02/2014	1.7	97
27/02/2014	2.6	97.4
28/02/2014	2.4	97
01/03/2014	0.9	96.6
02/03/2014	0.8	97
03/03/2014	2.7	96.7
04/03/2014	2.1	94.7
05/03/2014	2.2	96.9
06/03/2014	4.3	96.5
07/03/2014	5	94
08/03/2014	5.3	80
09/03/2014	6.3	91.3
10/03/2014	5.5	96
11/03/2014	3.2	85.9
12/03/2014	3	96.8
13/03/2014	4.4	94.9
14/03/2014	3.6	89
15/03/2014	6.3	79.2
16/03/2014	3	93
17/03/2014	5.7	76.3
18/03/2014	3.3	90.1
19/03/2014	2	97.3
20/03/2014	4.9	97.6
21/03/2014	7.1	83.4
22/03/2014	3.4	97.3
23/03/2014	2.6	99.2
24/03/2014	3	99.6
25/03/2014	5.1	78
26/03/2014	3.5	87.7
27/03/2014	4.9	90.3
28/03/2014	7.8	71.4
29/03/2014	6.1	77.3
30/03/2014	5.3	89.6
31/03/2014	5.9	88.7
01/04/2014	3.5	84.6
02/04/2014	3.7	88.9
03/04/2014	5.2	87.5
04/04/2014	3.3	88.8
05/04/2014	0.5	98.7
06/04/2014	4.7	99.3
07/04/2014	8.3	98.3
08/04/2014	6.2	97.3
09/04/2014	3.7	93.5
10/04/2014	4	97.2
11/04/2014	6.6	99.6
12/04/2014	5.2	93.8
13/04/2014	8.1	93
14/04/2014	7	75.2
15/04/2014	6.4	74.3
16/04/2014	6.6	87.5
17/04/2014	6.4	91.5
18/04/2014	8.1	86
19/04/2014	7.2	96.7
20/04/2014	9.4	98.1
21/04/2014	11.9	87.7
22/04/2014	12.6	80.3
23/04/2014	11.1	70.6
24/04/2014	7.8	76.1
25/04/2014	9.5	77.1
26/04/2014	11.3	87.8
27/04/2014	13.7	83.5
28/04/2014	12.9	87.3
29/04/2014	8.6	87.3
30/04/2014	7.7	88.9
01/05/2014	6.3	69.1
02/05/2014	6.2	79.9
03/05/2014	7.3	79.3
04/05/2014	6.3	84.1
05/05/2014	6.4	92.2
06/05/2014	7	94.1
07/05/2014	4.9	92.9
08/05/2014	4.9	90.5
09/05/2014	7.3	90.7
10/05/2014	7.5	95.7
11/05/2014	8.4	93.6
12/05/2014	8.9	94.1
13/05/2014	9.8	94.1
14/05/2014	9.8	91.9
15/05/2014	10	91.5
16/05/2014	14.2	91
17/05/2014	13.4	96
18/05/2014	14.7	95.4
19/05/2014	16.5	90.3
20/05/2014	15.1	100
21/05/2014	13.4	96.6
22/05/2014	17.5	95.2
23/05/2014	17.1	95.9
24/05/2014	17.8	95.4
25/05/2014	15	95.3
26/05/2014	15.9	96
27/05/2014	13.6	82.5
28/05/2014	12.5	80
29/05/2014	13.9	92.8
30/05/2014	17.6	83.7
