date	smin	smax	smean	tmean
01/01/2009 	 9.5244541 	18.116104  	15.699911  	 0.64891781
02/01/2009 	 8.1114492 	18.118694  	14.384156  	 0.96061345
03/01/2009 	 8.6392765 	17.594198  	13.624639  	 0.70864305
04/01/2009 	 6.3165321 	16.050169  	12.356059  	 1.19465913
05/01/2009 	 7.2356091 	16.800327  	12.875682  	 1.04652916
06/01/2009 	11.9469442 	16.623785  	14.586879  	 0.21090625
07/01/2009 	14.4658699 	18.133896  	16.302550  	 0.67900635
08/01/2009 	 6.8580575 	18.325426  	15.781690  	 0.41638757
09/01/2009 	 8.2999687 	18.727701  	15.402276  	 0.33036017
10/01/2009 	12.0243397 	19.358660  	16.175607  	 0.06845601
11/01/2009 	13.8592377 	20.894266  	18.514020  	 0.09728525
12/01/2009 	 9.5987320 	21.850971  	19.135467  	 0.37639261
13/01/2009 	13.4619370 	22.636904  	20.634065  	 0.98592076
14/01/2009 	 9.4305983 	22.241692  	18.543158  	 1.20818045
15/01/2009 	 6.1369290 	21.309668  	14.915641  	 1.14441328
16/01/2009 	 2.9053259 	20.236498  	12.005919  	 1.08062466
17/01/2009 	 6.5859795 	22.072956  	17.099253  	 1.47732470
18/01/2009 	16.0291424 	23.938738  	22.227071  	 2.27705278
19/01/2009 	20.1589336 	23.441835  	22.818585  	 2.45750850
20/01/2009 	19.0498619 	24.065863  	22.569256  	 2.74590294
21/01/2009 	11.5190182 	24.444731  	21.193982  	 2.58804661
22/01/2009 	 2.9540107 	25.717499  	20.552566  	 2.53975961
23/01/2009 	12.9950294 	26.882010  	24.618715  	 2.74859635
24/01/2009 	24.7781219 	26.484451  	25.993657  	 2.92392716
25/01/2009 	11.6160736 	26.255768  	22.884360  	 2.78685609
26/01/2009 	10.0402822 	26.225134  	21.037213  	 2.46556992
27/01/2009 	 8.6599207 	23.536980  	19.276692  	 2.05135736
28/01/2009 	 6.2106986 	23.349718  	17.004012  	 1.68933529
29/01/2009 	 6.9947248 	21.091270  	16.483395  	 1.45504788
30/01/2009 	11.2980738 	21.598921  	15.822365  	 0.89653541
31/01/2009 	13.8780842 	21.587801  	17.549037  	 0.42237506
01/02/2009 	15.0103893 	21.773300  	18.154809  	-0.31645675
02/02/2009 	19.2528095 	22.003111  	20.417037  	-0.46049150
03/02/2009 	20.1339893 	23.073605  	21.640618  	 0.22780644
04/02/2009 	20.6401825 	23.414999  	22.198507  	 0.51071755
05/02/2009 	12.6650524 	23.527843  	21.281039  	 0.59284226
06/02/2009 	13.9140320 	23.543999  	21.309315  	 0.87309248
07/02/2009 	12.4549208 	22.664263  	19.478950  	 0.98440504
08/02/2009 	11.5544786 	21.150900  	17.724891  	 1.02417272
09/02/2009 	 9.1770000 	21.307173  	17.417048  	 1.13608896
10/02/2009 	 6.5107365 	21.072115  	16.304007  	 1.22671209
11/02/2009 	 8.6247292 	18.481573  	14.524104  	 1.44812694
12/02/2009 	 8.0808372 	18.050922  	14.879094  	 1.63005893
13/02/2009 	 6.4625287 	17.564159  	13.044889  	 1.77518968
14/02/2009 	 4.9252439 	16.760397  	12.301237  	 1.59854577
15/02/2009 	 4.8624277 	17.470945  	12.628983  	 1.78745781
16/02/2009 	 2.9282868 	17.563221  	11.672552  	 2.21615327
17/02/2009 	 7.0025697 	17.173012  	13.433044  	 2.50906633
18/02/2009 	 5.6329598 	16.869804  	12.831977  	 2.40128952
19/02/2009 	 3.3445480 	16.378744  	11.941486  	 2.35753615
20/02/2009 	 6.7632346 	15.461740  	12.760887  	 2.62750008
21/02/2009 	 4.1392164 	15.432016  	11.218951  	 2.71123312
22/02/2009 	 4.1917095 	15.137674  	10.864466  	 3.05571398
23/02/2009 	 3.8092108 	13.553785  	 9.141507  	 3.48264142
24/02/2009 	 2.1935246 	13.525165  	 8.902050  	 3.59784054
25/02/2009 	 0.9772365 	14.756566  	 9.217878  	 3.79646328
26/02/2009 	 3.0431864 	14.403067  	10.789979  	 4.15807631
27/02/2009 	 3.2217600 	14.782976  	10.640153  	 4.59867530
28/02/2009 	 3.1633177 	14.503426  	10.410296  	 4.83761358
01/03/2009 	 3.1775205 	14.776988  	 9.909980  	 4.80137685
02/03/2009 	 4.8628130 	14.968964  	11.194363  	 5.01366191
03/03/2009 	 4.2136369 	15.968305  	12.207131  	 5.02539477
04/03/2009 	 2.3637056 	17.345041  	13.115451  	 4.91008253
05/03/2009 	10.9603138 	18.979025  	16.013612  	 5.02121225
06/03/2009 	 7.4870987 	16.130745  	12.668840  	 4.92606924
07/03/2009 	 5.4135761 	15.525514  	11.894710  	 4.81854679
08/03/2009 	 3.5574973 	17.261572  	14.645496  	 5.13196592
09/03/2009 	10.0852728 	17.316561  	16.179758  	 5.07413354
10/03/2009 	 8.4889889 	17.975813  	15.237726  	 5.04574300
11/03/2009 	 5.0615931 	16.302532  	12.874858  	 5.04392381
12/03/2009 	 1.8366599 	16.267122  	10.993413  	 5.35470126
13/03/2009 	 4.1304398 	15.451001  	10.930643  	 5.56017415
14/03/2009 	 1.6164225 	15.427703  	 9.478286  	 5.82043081
15/03/2009 	 2.1485236 	15.259492  	 9.871249  	 5.97787194
16/03/2009 	 0.9847701 	13.475360  	 8.091596  	 6.30967713
17/03/2009 	 1.8748535 	13.226040  	 8.016412  	 6.56551415
18/03/2009 	 0.9157916 	11.477810  	 6.628607  	 6.67521143
19/03/2009 	 2.5332851 	11.912557  	 8.041337  	 6.76634698
20/03/2009 	 1.6421915 	11.046962  	 7.416118  	 6.86735728
21/03/2009 	 3.7110612 	11.416186  	 8.736580  	 6.87469981
22/03/2009 	 1.8146551 	11.167501  	 7.692424  	 6.91542718
23/03/2009 	 2.0702093 	10.873837  	 9.046658  	 6.91129339
24/03/2009 	 8.0046520 	14.032691  	11.268298  	 6.59459169
25/03/2009 	 3.4437582 	13.608177  	11.494934  	 6.60321590
26/03/2009 	 1.9627447 	14.956134  	12.018910  	 6.60445395
27/03/2009 	 5.1242967 	14.890146  	13.389161  	 6.57111851
28/03/2009 	 3.8742425 	14.891621  	12.380096  	 6.62146978
29/03/2009 	 6.7712975 	14.652323  	11.923107  	 6.60304462
30/03/2009 	 2.5655215 	14.254646  	10.590848  	 6.62192706
31/03/2009 	 1.7625923 	14.310274  	 9.708521  	 6.99248238
01/04/2009 	 2.3784070 	13.533367  	 8.526852  	 7.43848577
02/04/2009 	 1.5699350 	11.901209  	 7.244243  	 7.99977396
03/04/2009 	 2.3811076 	12.233133  	 7.979025  	 8.49767559
04/04/2009 	 3.2956028 	14.109836  	 9.670496  	 8.52768662
05/04/2009 	 5.6794815 	14.644749  	11.239942  	 8.53629247
06/04/2009 	 7.0689888 	15.976353  	11.944180  	 8.62774219
07/04/2009 	 9.1874199 	17.276213  	13.663966  	 8.93054903
08/04/2009 	11.5722351 	18.539896  	16.000170  	 8.83554341
09/04/2009 	14.6492767 	19.027540  	16.692009  	 8.93095450
10/04/2009 	 9.0875607 	19.312637  	15.410609  	 9.56122859
11/04/2009 	11.4253798 	19.247326  	15.897317  	10.05828784
12/04/2009 	13.4421606 	19.273947  	16.518661  	10.35525427
13/04/2009 	13.6106386 	19.058689  	16.597659  	10.54388640
14/04/2009 	13.9568815 	19.077526  	16.880470  	10.68499064
15/04/2009 	14.2113066 	19.044670  	16.886130  	11.09694336
16/04/2009 	14.4722996 	19.296774  	17.491921  	11.50894503
17/04/2009 	15.3396873 	19.863871  	17.890177  	11.47002131
18/04/2009 	15.3595495 	19.933300  	17.902519  	10.79108212
19/04/2009 	13.3675642 	19.328730  	17.597275  	11.64050718
20/04/2009 	13.9160862 	19.786375  	17.593268  	11.88503673
21/04/2009 	15.3948555 	19.860910  	17.748289  	12.09514354
22/04/2009 	15.8141632 	19.673063  	17.953669  	12.14437163
23/04/2009 	16.1537075 	19.807831  	17.944194  	12.03239204
24/04/2009 	17.5197048 	20.519503  	18.690883  	12.32649523
25/04/2009 	18.3242722 	20.826662  	19.314669  	12.57045760
26/04/2009 	18.6260109 	20.982225  	19.478887  	12.87407182
27/04/2009 	18.6254311 	21.145441  	19.785337  	13.01200471
28/04/2009 	18.7668362 	21.641043  	20.068360  	12.96781828
29/04/2009 	18.7987900 	22.028223  	20.257323  	13.03349131
30/04/2009 	18.8192558 	21.970476  	20.277584  	13.26387874
01/05/2009 	18.8136482 	21.999020  	20.407170  	13.73671645
02/05/2009 	18.9153309 	22.044420  	20.930412  	13.99304761
03/05/2009 	19.5958138 	22.321253  	21.334440  	13.82025331
04/05/2009 	19.4769688 	22.031998  	21.541618  	13.21229728
05/05/2009 	19.6605415 	22.028475  	21.606899  	13.00568424
06/05/2009 	20.3489304 	23.433647  	22.094589  	12.82375101
07/05/2009 	20.3562679 	23.241564  	22.258267  	12.85530988
08/05/2009 	17.4693336 	22.453188  	21.050652  	13.01754848
09/05/2009 	18.5006351 	21.834616  	20.901301  	12.84400151
10/05/2009 	18.4149990 	21.239553  	20.325676  	13.25454205
11/05/2009 	16.9703655 	21.704994  	19.353009  	12.92583263
12/05/2009 	18.1394997 	23.882395  	20.434326  	12.43408414
13/05/2009 	20.5293064 	24.283573  	21.801670  	12.74230035
14/05/2009 	20.8288116 	24.440847  	22.346335  	12.97486975
15/05/2009 	20.7349739 	23.335899  	22.327763  	13.25673419
16/05/2009 	16.8459015 	24.329855  	22.423044  	13.26400512
17/05/2009 	19.8748245 	24.580236  	23.185670  	13.49857620
18/05/2009 	12.7575836 	24.822922  	22.253770  	13.48622942
19/05/2009 	17.2168293 	24.793135  	22.732683  	13.62131476
20/05/2009 	19.1383114 	24.301823  	22.710094  	13.91834491
21/05/2009 	20.2353840 	24.219048  	22.801927  	14.20660867
22/05/2009 	20.8503151 	24.114052  	22.960919  	14.42789855
23/05/2009 	20.2903614 	24.113901  	22.749603  	14.93962173
24/05/2009 	20.3249989 	23.983734  	22.532551  	15.65625272
25/05/2009 	17.8406105 	23.929287  	22.003172  	16.33220073
26/05/2009 	14.8349171 	23.770224  	21.404759  	16.63809121
27/05/2009 	 8.5551472 	23.639441  	21.252338  	15.93953838
28/05/2009 	13.0313663 	23.452072  	20.085146  	15.86744328
29/05/2009 	10.2372208 	22.223831  	17.230046  	16.13445757
30/05/2009 	 8.9121904 	20.229815  	16.061919  	16.24691854
31/05/2009 	13.8885689 	20.760431  	17.123330  	16.34295837
01/06/2009 	12.0127840 	19.995586  	16.934864  	17.11057583
02/06/2009 	16.7351398 	19.671013  	18.450047  	16.80315367
03/06/2009 	18.4179325 	24.202578  	20.974527  	15.76110387
04/06/2009 	20.1558094 	25.225260  	23.184997  	14.43147717
05/06/2009 	22.2585545 	25.753162  	24.458135  	13.59406539
06/06/2009 	24.0601826 	27.111317  	25.282869  	13.34754858
07/06/2009 	23.7662106 	26.586418  	25.106999  	13.71105947
08/06/2009 	22.7359333 	25.899288  	24.856657  	14.61584679
09/06/2009 	19.5841751 	25.740364  	23.554855  	15.24055376
10/06/2009 	16.5941429 	26.007835  	22.968461  	15.40554573
11/06/2009 	14.2770720 	24.957216  	20.715839  	15.73606161
12/06/2009 	11.9629622 	23.167297  	18.668407  	15.79551327
13/06/2009 	 9.9642115 	21.889490  	16.974419  	16.06152064
14/06/2009 	 9.6356039 	22.562452  	17.582278  	16.61925348
15/06/2009 	11.3365726 	21.777351  	17.887388  	16.95150308
16/06/2009 	13.3216896 	21.238018  	18.034421  	17.12588155
17/06/2009 	 9.2869625 	21.317312  	17.129922  	17.18958533
18/06/2009 	13.8911180 	22.359028  	19.001959  	17.23899742
19/06/2009 	11.9691057 	22.388105  	18.772647  	17.14862021
20/06/2009 	11.8693981 	21.811052  	18.185752  	16.79250944
21/06/2009 	14.1182356 	21.217070  	18.008950  	16.60538930
22/06/2009 	14.4701576 	20.904604  	18.013767  	16.59305439
23/06/2009 	14.8560104 	21.499588  	18.168521  	17.05227379
24/06/2009 	14.7400188 	22.907848  	18.749682  	17.60487235
25/06/2009 	17.6596794 	23.900246  	20.480406  	18.02148283
26/06/2009 	16.2133083 	23.302809  	20.444258  	18.74836655
27/06/2009 	19.4058914 	24.086130  	21.803091  	19.24402984
28/06/2009 	20.4562759 	24.662395  	22.484011  	19.76725376
29/06/2009 	19.5118256 	24.733418  	22.749906  	20.51508780
30/06/2009 	16.6378269 	24.177614  	21.615163  	20.93721394
01/07/2009 	19.9752636 	23.907990  	22.003908  	21.19170570
02/07/2009 	17.5901852 	23.353544  	21.395306  	21.70333278
03/07/2009 	20.2358551 	24.320082  	22.679050  	21.89010187
04/07/2009 	17.3674793 	24.617361  	22.248789  	22.11726860
05/07/2009 	14.2855282 	24.534071  	20.861178  	22.31590998
06/07/2009 	16.5173073 	24.552338  	22.413336  	22.21483755
07/07/2009 	20.4262180 	25.917990  	24.198253  	21.32883350
08/07/2009 	17.9594078 	25.921724  	23.289657  	20.87657332
09/07/2009 	16.2824459 	25.314901  	22.740942  	19.36948987
10/07/2009 	16.3967533 	26.083553  	23.003496  	17.77373167
11/07/2009 	16.7735100 	26.462606  	22.847738  	16.93847609
12/07/2009 	11.6076565 	26.338591  	22.404949  	17.18762334
13/07/2009 	13.8815041 	25.664398  	21.996026  	17.90222577
14/07/2009 	16.2406540 	24.698425  	21.786571  	18.72690042
15/07/2009 	17.6769028 	24.093441  	22.522463  	19.22930678
16/07/2009 	21.6959705 	24.032709  	23.369386  	19.37019455
17/07/2009 	17.9452419 	24.000425  	23.012879  	19.47366611
18/07/2009 	22.6860065 	23.801609  	23.430959  	19.06550197
19/07/2009 	18.1198635 	23.560326  	22.531199  	18.84516060
20/07/2009 	16.0598640 	23.392443  	22.621839  	18.94647189
21/07/2009 	19.2059116 	23.241459  	22.058007  	18.98281054
22/07/2009 	20.1854649 	23.020395  	22.298205  	19.38482459
23/07/2009 	21.0970058 	22.988716  	22.435679  	19.41877933
24/07/2009 	21.5169296 	23.093248  	22.663920  	19.28947039
25/07/2009 	18.6348896 	23.154327  	22.175594  	19.12954712
26/07/2009 	12.7010260 	23.070091  	19.683237  	19.12644887
27/07/2009 	11.2744713 	22.692631  	19.278678  	19.53848056
28/07/2009 	16.5154495 	22.194105  	20.303666  	19.48450458
