date	smin	smax	smean	tmean
01/01/2009   	16.068495    	21.77317     	19.295058    	 1.0169454853
02/01/2009   	17.903679    	22.22198     	19.439827    	 0.9516733014
03/01/2009   	17.271969    	22.46009     	20.357901    	 0.8210986823
04/01/2009   	19.808153    	26.21704     	21.696261    	 1.6671138729
05/01/2009   	18.102505    	26.21970     	22.557350    	 0.8798957907
06/01/2009   	16.643143    	22.77021     	19.698711    	-0.5729007465
07/01/2009   	20.234358    	23.33605     	22.128314    	 0.6525257242
08/01/2009   	18.505005    	22.47866     	21.026638    	 0.1773120761
09/01/2009   	18.543081    	23.07508     	20.872972    	 0.0301001302
10/01/2009   	19.247591    	22.95461     	20.875286    	-0.4213151292
11/01/2009   	19.613441    	23.61669     	22.515711    	 0.4953996648
12/01/2009   	23.279257    	27.54699     	24.327767    	 1.4132399087
13/01/2009   	22.773405    	27.58580     	25.033806    	 2.1179196313
14/01/2009   	22.463760    	26.44551     	24.455228    	 2.3072874273
15/01/2009   	22.424545    	25.43657     	23.791812    	 2.0097815146
16/01/2009   	20.831154    	24.84553     	22.661769    	 1.6964654525
17/01/2009   	22.947046    	25.11588     	23.814433    	 2.2715372394
18/01/2009   	22.234278    	26.07695     	23.726055    	 2.8339172055
19/01/2009   	22.380079    	27.89351     	25.303845    	 2.9200654328
20/01/2009   	25.866705    	28.10789     	27.134537    	 3.0079688430
21/01/2009   	25.086880    	27.35998     	26.237978    	 2.7181959401
22/01/2009   	26.210663    	29.18604     	27.625040    	 2.6176056614
23/01/2009   	21.633408    	29.38893     	27.328059    	 2.6857199321
24/01/2009   	27.058628    	28.41592     	27.729763    	 2.8461328397
25/01/2009   	26.430302    	28.30279     	27.079701    	 2.7669635514
26/01/2009   	26.085768    	27.44076     	26.548031    	 2.4218411098
27/01/2009   	24.527990    	26.95448     	26.153178    	 1.6514177869
28/01/2009   	20.794815    	26.10851     	23.852769    	 1.2611020257
29/01/2009   	19.518017    	25.26521     	22.520717    	 0.9661315667
30/01/2009   	17.254114    	23.29509     	19.487815    	 0.6709856293
31/01/2009   	19.940805    	22.43341     	21.462555    	 0.2501158636
01/02/2009   	19.194937    	22.14595     	20.281491    	-0.6833561002
02/02/2009   	18.544264    	22.94200     	21.083769    	-0.2335018349
03/02/2009   	21.928593    	24.33228     	22.894484    	 0.4989184267
04/02/2009   	22.620432    	24.42327     	23.211742    	 0.8108025591
05/02/2009   	22.007940    	24.33458     	23.097593    	 0.9441838997
06/02/2009   	22.821407    	24.80326     	23.452605    	 1.4001181548
07/02/2009   	22.888645    	24.96441     	23.551344    	 1.5567642599
08/02/2009   	23.355293    	24.49326     	23.913249    	 1.4224052429
09/02/2009   	22.289497    	24.34464     	23.439185    	 1.5369442180
10/02/2009   	20.840811    	24.33064     	22.956154    	 1.6333628992
11/02/2009   	20.630493    	24.81761     	23.341037    	 1.8461852297
12/02/2009   	22.723276    	25.84659     	24.287640    	 2.0444310556
13/02/2009   	22.648628    	25.73743     	24.445516    	 2.2038014978
14/02/2009   	22.083309    	25.17364     	24.425454    	 1.8575240945
15/02/2009   	20.391512    	24.94209     	22.179184    	 1.9926150839
16/02/2009   	20.597744    	23.01905     	21.942011    	 2.5067164699
17/02/2009   	18.969177    	22.98441     	21.557549    	 2.9369331598
18/02/2009   	16.660383    	21.03782     	18.523255    	 2.5363794764
19/02/2009   	16.685291    	20.81039     	18.761722    	 2.4623276144
20/02/2009   	19.522726    	20.95735     	20.631396    	 2.9545383255
21/02/2009   	16.244837    	20.79626     	19.900500    	 3.1582412968
22/02/2009   	17.586994    	20.64955     	19.272939    	 3.4055785040
23/02/2009   	18.383371    	24.27687     	20.812336    	 3.9285182556
24/02/2009   	18.847561    	23.30647     	20.978521    	 4.2025269369
25/02/2009   	16.927475    	20.56719     	19.013951    	 4.2994468113
26/02/2009   	16.645206    	19.89583     	18.290882    	 4.3932555318
27/02/2009   	16.612936    	19.44161     	18.249476    	 4.8638013899
28/02/2009   	16.480865    	20.09596     	18.244471    	 5.2569569647
01/03/2009   	17.471231    	20.86039     	19.183391    	 5.2010265589
02/03/2009   	18.519043    	20.89408     	19.758563    	 5.3287761211
03/03/2009   	17.128714    	20.89255     	18.504587    	 5.3260833919
04/03/2009   	18.821489    	21.13921     	20.163314    	 4.8978659411
05/03/2009   	19.707100    	21.64207     	20.665666    	 4.8228075703
06/03/2009   	18.309713    	20.86775     	19.856295    	 4.8598576486
07/03/2009   	17.677872    	20.51389     	19.255929    	 4.6161718369
08/03/2009   	17.973310    	22.25058     	20.667029    	 5.0591995517
09/03/2009   	17.960434    	22.87583     	21.139217    	 4.9088399013
10/03/2009   	19.121496    	22.11303     	20.603274    	 4.9246664246
11/03/2009   	20.133507    	21.15935     	20.508600    	 4.9574398597
12/03/2009   	19.547602    	21.69625     	20.547534    	 5.2903430363
13/03/2009   	19.415390    	21.19867     	20.384493    	 5.4525631368
14/03/2009   	19.248539    	21.54386     	20.653119    	 5.7481844723
15/03/2009   	19.027546    	22.76868     	20.452197    	 5.9105914533
16/03/2009   	18.487194    	21.94101     	20.296035    	 6.2657314738
17/03/2009   	17.605970    	20.30384     	19.065852    	 6.5562249919
18/03/2009   	15.588816    	19.36140     	17.465527    	 6.4726302226
19/03/2009   	11.836924    	17.87303     	15.475246    	 6.3013268411
20/03/2009   	10.555470    	16.95190     	13.074961    	 6.0602587561
21/03/2009   	 9.361590    	19.25745     	13.917499    	 6.1273153027
22/03/2009   	15.270230    	17.81239     	16.709734    	 6.5689514577
23/03/2009   	15.093040    	19.06356     	16.934260    	 6.6775590777
24/03/2009   	15.484503    	22.68824     	18.132297    	 6.6143656969
25/03/2009   	13.997390    	20.35403     	17.896462    	 6.5637029111
26/03/2009   	16.444572    	19.21992     	17.757470    	 6.5630826851
27/03/2009   	16.005610    	20.40244     	18.109880    	 6.4409391582
28/03/2009   	15.964427    	20.86045     	17.439985    	 6.3958732287
29/03/2009   	16.694683    	20.18783     	18.251055    	 6.3739544749
30/03/2009   	17.141342    	19.79898     	17.867939    	 6.1712825696
31/03/2009   	17.207684    	18.93484     	17.812457    	 6.5102176865
01/04/2009   	16.501148    	19.46482     	18.106194    	 6.9207092027
02/04/2009   	14.231230    	18.89943     	16.952019    	 7.3646278381
03/04/2009   	11.834005    	19.98676     	15.745580    	 7.9563857118
04/04/2009   	11.164382    	20.56026     	16.348402    	 8.1321012179
05/04/2009   	14.020894    	20.55437     	17.096259    	 8.3778564930
06/04/2009   	13.560408    	21.52614     	16.710332    	 8.6785273552
07/04/2009   	12.989560    	21.62676     	17.246935    	 9.1391554276
08/04/2009   	14.263141    	22.45560     	19.745311    	 8.7465343873
09/04/2009   	20.024746    	21.53408     	20.672681    	 8.7271694938
10/04/2009   	18.712894    	22.25471     	20.090588    	 9.5110685627
11/04/2009   	18.669281    	22.29581     	20.493634    	 9.8927280704
12/04/2009   	18.806320    	22.07135     	20.631228    	10.0453487237
13/04/2009   	18.797951    	21.60927     	20.271445    	10.1986781955
14/04/2009   	19.366106    	22.10717     	20.294962    	10.4917132457
15/04/2009   	18.732241    	22.31752     	20.127140    	11.0214759906
16/04/2009   	16.905785    	22.68134     	19.452517    	11.5796377063
17/04/2009   	16.638971    	22.50875     	19.458436    	11.3242601951
18/04/2009   	16.853043    	22.44625     	18.955889    	10.8222553134
19/04/2009   	18.359728    	22.01004     	19.262762    	10.6616753141
20/04/2009   	17.779476    	22.19350     	19.411384    	11.2071085572
21/04/2009   	17.670214    	22.41581     	19.651740    	11.9661894639
22/04/2009   	19.603113    	22.46207     	21.014831    	11.9274064104
23/04/2009   	19.619463    	23.03499     	20.759698    	11.7904297113
24/04/2009   	19.037558    	23.82526     	21.278013    	12.4493659735
25/04/2009   	19.266884    	24.38109     	21.723831    	12.3270049294
26/04/2009   	20.692373    	24.06765     	22.630887    	12.6838523149
27/04/2009   	21.249172    	24.47543     	22.939273    	12.8337312341
28/04/2009   	20.107918    	24.57379     	22.485273    	12.6931680640
29/04/2009   	21.028278    	24.65428     	22.931952    	12.6589656075
30/04/2009   	21.439110    	24.41941     	22.876829    	12.7546761235
01/05/2009   	21.801497    	24.97307     	22.970334    	13.3729300698
02/05/2009   	21.356646    	25.17687     	23.057862    	13.5695647399
03/05/2009   	21.424768    	24.88795     	23.013352    	13.3963659604
04/05/2009   	22.842152    	24.50181     	23.479642    	12.8475879033
05/05/2009   	20.172533    	24.21965     	22.554335    	12.7340427438
06/05/2009   	18.368246    	23.53120     	21.641902    	12.8487412532
07/05/2009   	19.710262    	23.29718     	20.868098    	12.8963120580
08/05/2009   	20.009420    	24.47967     	22.485215    	12.8599593838
09/05/2009   	22.292765    	24.09736     	23.014047    	12.4962026874
10/05/2009   	22.445370    	24.01625     	22.900560    	12.9764468670
11/05/2009   	21.005974    	22.82915     	21.923676    	12.6632484198
12/05/2009   	20.992117    	23.31625     	21.863748    	12.1173205177
13/05/2009   	20.657263    	24.41182     	22.303015    	12.0416621367
14/05/2009   	21.133854    	25.25288     	22.478933    	12.4624545972
15/05/2009   	21.290956    	25.46385     	22.578202    	12.8765634497
16/05/2009   	21.950396    	25.98484     	24.467254    	13.2258008718
17/05/2009   	23.944475    	25.89478     	24.957976    	13.5066303611
18/05/2009   	25.181095    	26.74174     	25.678499    	13.2245232860
19/05/2009   	22.967831    	26.09284     	25.039964    	13.2561404109
20/05/2009   	22.426369    	25.96532     	23.913974    	13.7051303585
21/05/2009   	22.403837    	26.26031     	24.171576    	14.2529081106
22/05/2009   	23.107525    	26.03949     	24.646722    	14.4080378612
23/05/2009   	24.151558    	25.21931     	24.674943    	15.1059013605
24/05/2009   	24.346260    	25.78284     	24.950559    	15.6680586735
25/05/2009   	24.787128    	26.23929     	25.179542    	16.3516515096
26/05/2009   	24.901785    	26.48306     	25.504232    	16.6858503421
27/05/2009   	25.704805    	26.44568     	26.153061    	15.5449392994
28/05/2009   	24.711985    	26.43226     	25.827780    	15.5833884279
29/05/2009   	24.672314    	26.58598     	25.681170    	15.9715412259
30/05/2009   	24.477024    	26.73125     	25.705531    	15.5877958536
31/05/2009   	20.018023    	25.73448     	23.444110    	15.8988163869
01/06/2009   	19.826654    	24.90317     	22.754479    	16.4243716598
02/06/2009   	22.235743    	25.51972     	23.864807    	16.5409182111
03/06/2009   	23.250366    	29.14081     	25.498783    	15.7655299703
04/06/2009   	23.941376    	29.72955     	26.694361    	14.6602103909
05/06/2009   	24.443117    	28.95740     	26.916284    	14.1514715751
06/06/2009   	25.845373    	31.01689     	28.214207    	13.6965597272
07/06/2009   	27.101784    	30.68811     	28.596049    	13.7222296596
08/06/2009   	27.288029    	28.43464     	28.011222    	14.8348049919
09/06/2009   	25.800741    	28.77247     	27.569078    	15.4386315147
10/06/2009   	26.051140    	27.96538     	27.572096    	15.5630411903
11/06/2009   	27.608706    	28.73162     	27.959091    	15.5722580949
12/06/2009   	27.328966    	29.09569     	28.179220    	15.6364543438
13/06/2009   	26.802616    	28.79005     	28.004149    	15.6817316016
14/06/2009   	25.145384    	28.51300     	26.333782    	16.4163590670
15/06/2009   	23.438795    	27.01206     	25.934936    	16.9383246501
16/06/2009   	24.446476    	27.26951     	26.027738    	16.5751413504
17/06/2009   	19.723705    	26.17577     	23.608696    	16.6250030200
18/06/2009   	24.614616    	27.23348     	26.001714    	17.0589931409
19/06/2009   	25.759436    	27.00825     	26.342774    	16.9773080349
20/06/2009   	25.254383    	26.98105     	26.326357    	16.8303447167
21/06/2009   	25.707470    	29.24352     	26.986679    	16.7459981044
22/06/2009   	26.098190    	29.01050     	27.656171    	16.3907601833
23/06/2009   	26.480326    	28.12253     	27.252922    	16.7172881961
24/06/2009   	21.937811    	27.14732     	25.913689    	17.1230539282
25/06/2009   	22.408384    	27.68686     	25.108692    	17.5975578229
26/06/2009   	21.778746    	28.35707     	25.700365    	18.4202378591
27/06/2009   	24.722391    	28.52724     	26.327854    	18.9869046211
28/06/2009   	24.704165    	28.64309     	26.368470    	19.4114120801
29/06/2009   	24.728027    	28.73074     	26.585123    	20.2779799302
30/06/2009   	25.332209    	28.43863     	26.511367    	20.8612665733
01/07/2009   	24.894556    	27.87747     	26.073551    	21.2028298378
02/07/2009   	24.869663    	27.48830     	25.935105    	21.4480978251
03/07/2009   	24.726696    	28.48116     	26.322778    	21.6361373266
04/07/2009   	25.632040    	28.50955     	27.248247    	22.1186409394
05/07/2009   	24.995726    	28.26369     	27.210633    	22.5955675443
06/07/2009   	26.518925    	28.74000     	27.797213    	21.9984159867
07/07/2009   	26.503080    	28.42274     	27.564297    	20.7830279668
08/07/2009   	26.323654    	28.11376     	27.317255    	20.2991567850
09/07/2009   	26.869219    	28.61200     	27.569293    	19.2039132516
10/07/2009   	26.423258    	30.69053     	27.869860    	17.5584671696
11/07/2009   	26.581377    	31.44989     	28.621138    	16.7903983593
12/07/2009   	23.623823    	29.62132     	27.681475    	17.3688276609
13/07/2009   	22.940653    	27.08171     	25.159434    	18.1868791580
14/07/2009   	23.044548    	25.39465     	24.688424    	19.0750867526
15/07/2009   	23.876513    	26.20282     	25.243279    	19.5164562464
16/07/2009   	22.536890    	25.70863     	24.670818    	19.1587903102
17/07/2009   	23.032156    	26.03028     	24.245556    	19.4060937961
18/07/2009   	22.537666    	26.17338     	24.605214    	19.1855503718
19/07/2009   	23.236921    	26.04489     	24.980867    	18.7693072955
20/07/2009   	24.407858    	26.70053     	25.446940    	19.0359835227
21/07/2009   	23.475451    	25.67051     	24.768599    	19.0243568420
22/07/2009   	23.890394    	26.16191     	24.785313    	19.4493872722
23/07/2009   	23.923725    	25.99091     	24.609971    	19.3087236087
24/07/2009   	23.381754    	26.36128     	24.419112    	18.9955846866
25/07/2009   	24.016222    	26.14535     	24.703597    	18.9961382151
26/07/2009   	23.270926    	25.99492     	24.602628    	18.9690697591
27/07/2009   	22.903526    	25.20525     	24.290518    	19.2570240895
28/07/2009   	22.245943    	24.89539     	23.827183    	19.2692500750
29/07/2009   	22.304832    	24.65924     	23.761876    	19.3089861472
30/07/2009   	22.770718    	24.92560     	24.094380    	19.4146139622
31/07/2009   	21.834667    	24.67686     	23.546890    	18.5755927165
01/08/2009   	22.219288    	24.72675     	23.567298    	18.6578048865
02/08/2009   	22.872206    	23.86894     	23.364836    	19.0985612472
03/08/2009   	22.785851    	23.61311     	23.337418    	18.9962638617
04/08/2009   	22.771658    	23.78727     	23.372465    	19.4720450242
05/08/2009   	23.082500    	24.17968     	23.705668    	20.1341375113
06/08/2009   	23.323259    	24.64292     	24.081051    	20.8951072693
07/08/2009   	23.500174    	24.99519     	24.410723    	20.9393798113
08/08/2009   	23.798569    	25.33616     	24.530809    	20.7263047298
09/08/2009   	23.576067    	25.75567     	24.264033    	20.7421226501
10/08/2009   	23.853350    	26.05700     	24.637765    	20.7582290967
11/08/2009   	24.278603    	26.07202     	24.938986    	20.8278213342
12/08/2009   	24.353132    	26.67999     	25.313228    	20.5714666843
13/08/2009   	24.517584    	26.57747     	25.710677    	20.4228174289
14/08/2009   	24.860943    	27.10709     	26.185923    	20.0391528209
15/08/2009   	23.392908    	26.35594     	25.237597    	20.0613050461
16/08/2009   	22.751177    	25.73649     	24.588393    	20.2909906705
17/08/2009   	22.973831    	25.39876     	24.127512    	20.1972393195
18/08/2009   	23.142920    	25.23861     	24.308371    	20.1177543799
19/08/2009   	23.850540    	25.43620     	24.909222    	20.1065870921
20/08/2009   	22.756796    	25.41191     	24.690420    	20.4467260838
21/08/2009   	24.173239    	25.49442     	25.079935    	20.1840794086
22/08/2009   	25.115992    	26.11008     	25.467772    	19.9425630569
23/08/2009   	25.331371    	26.75024     	26.065615    	19.6486588319
24/08/2009   	24.446722    	26.65264     	25.897544    	19.4175325235
25/08/2009   	25.394966    	26.52132     	26.212581    	20.0424243609
26/08/2009   	25.305885    	26.59327     	26.072544    	19.3587177197
27/08/2009   	24.786100    	26.65077     	26.012660    	19.6432118416
28/08/2009   	24.518551    	26.56372     	26.105334    	19.2703123887
29/08/2009   	25.616898    	26.48632     	25.912647    	18.4579618772
30/08/2009   	23.325760    	26.01008     	24.338365    	17.7585928440
31/08/2009   	22.867626    	25.09913     	24.108494    	17.8879336913
01/09/2009   	22.828230    	26.55898     	25.281345    	18.0757001241
02/09/2009   	25.382948    	27.73981     	26.673208    	17.8954637448
03/09/2009   	25.155235    	29.79643     	28.202603    	17.9212559064
04/09/2009   	26.252409    	29.50813     	28.796372    	17.2197702726
05/09/2009   	26.423849    	28.86267     	28.031654    	16.6171650887
06/09/2009   	26.740690    	29.04234     	27.853188    	16.2818698883
07/09/2009   	26.368628    	28.74893     	27.647753    	16.0472611388
08/09/2009   	26.621052    	28.55864     	27.500576    	16.5929980477
09/09/2009   	26.850824    	28.53213     	27.609563    	16.7716627916
10/09/2009   	27.525177    	28.71477     	28.281527    	16.5451076031
11/09/2009   	26.872042    	28.34467     	27.652791    	16.0670932531
12/09/2009   	27.155638    	28.56418     	28.162636    	15.7431995273
13/09/2009   	27.473667    	29.53617     	28.656610    	15.9476309220
14/09/2009   	28.208368    	29.43650     	29.143230    	15.3583451907
15/09/2009   	26.748230    	29.39935     	28.510984    	15.5198551416
16/09/2009   	27.570417    	28.98614     	28.550460    	15.8475564122
17/09/2009   	28.253912    	29.17461     	28.739929    	15.5143672228
18/09/2009   	28.455736    	29.73496     	29.254696    	15.4207530022
19/09/2009   	28.763721    	29.79653     	29.567605    	15.6209477981
20/09/2009   	28.915533    	29.78092     	29.533224    	15.9665987293
21/09/2009   	29.277946    	29.95973     	29.793842    	15.8409657280
22/09/2009   	29.497728    	29.94905     	29.751048    	16.0501965483
23/09/2009   	29.511442    	30.89884     	29.989008    	16.3218018413
24/09/2009   	29.201382    	31.25024     	30.266529    	16.1399901708
25/09/2009   	29.394604    	31.24812     	30.315202    	15.9222710530
26/09/2009   	29.322128    	31.16502     	30.405129    	15.7259132862
27/09/2009   	29.183811    	31.27074     	30.594019    	15.8382550677
28/09/2009   	29.311066    	31.09684     	30.082086    	16.2539407412
29/09/2009   	29.193487    	31.97108     	30.289070    	16.3023775419
30/09/2009   	27.847820    	31.79656     	29.935762    	16.0790198843
01/10/2009   	28.155426    	31.95693     	29.502492    	15.6012364229
02/10/2009   	28.490570    	32.29903     	30.052940    	14.6228599350
03/10/2009   	25.341532    	30.70110     	28.799823    	14.6924964984
04/10/2009   	23.912319    	28.53870     	26.606684    	13.9115574956
05/10/2009   	25.070015    	27.96512     	26.331358    	13.1934331258
06/10/2009   	25.069874    	27.58477     	26.040409    	13.3637871345
07/10/2009   	25.681208    	27.09118     	26.196826    	14.1592737635
