date	smin	smax	smean	tmean
01/01/2009   	15.408877    	20.661568    	18.450263    	 0.1042380171
02/01/2009   	13.918916    	19.801609    	16.326905    	 0.5008466408
03/01/2009   	13.932796    	27.896425    	17.423341    	 0.4467908329
04/01/2009   	19.020182    	30.423248    	27.969070    	 2.6830253104
05/01/2009   	16.607878    	30.006950    	21.405936    	 1.1417822672
06/01/2009   	15.920556    	19.496658    	17.665891    	-0.8480040981
07/01/2009   	16.195297    	22.046011    	18.654574    	-0.1080073633
08/01/2009   	16.130508    	19.695660    	17.333386    	 0.2098924480
09/01/2009   	15.686528    	22.107540    	19.337572    	-0.0280802618
10/01/2009   	15.126759    	20.512899    	17.240537    	-0.5504523123
11/01/2009   	18.462955    	22.076990    	21.105605    	-0.5883431623
12/01/2009   	21.059435    	23.779163    	22.679459    	 0.9029461886
13/01/2009   	21.860567    	23.728426    	23.052301    	 1.8238848125
14/01/2009   	19.360010    	23.447495    	21.206858    	 1.9306728691
15/01/2009   	15.919598    	22.425686    	18.389535    	 1.3235255480
16/01/2009   	 9.998954    	19.836199    	13.504418    	 1.1427212742
17/01/2009   	13.078239    	20.593252    	17.314603    	 1.7724817395
18/01/2009   	20.697449    	24.128086    	22.932620    	 2.9390269866
19/01/2009   	22.652695    	24.244667    	23.504228    	 2.9602774779
20/01/2009   	22.302633    	26.623280    	24.105190    	 3.0062477440
21/01/2009   	23.168331    	26.699512    	24.248319    	 2.6471447448
22/01/2009   	23.235170    	26.620764    	25.249781    	 2.4218798652
23/01/2009   	23.842167    	27.754477    	25.838397    	 3.0185979903
24/01/2009   	25.395792    	27.364973    	26.450005    	 3.2257779688
25/01/2009   	22.031576    	27.447474    	26.497705    	 2.8728265663
26/01/2009   	18.674650    	22.352104    	20.861963    	 2.0406942094
27/01/2009   	17.607512    	20.799152    	18.715904    	 1.3358489523
28/01/2009   	15.323445    	18.650158    	17.164784    	 1.2012228047
29/01/2009   	13.601785    	17.936121    	15.044345    	 0.9270991829
30/01/2009   	13.658805    	17.211414    	15.253689    	 0.2498510728
31/01/2009   	14.125006    	17.480598    	15.608675    	-0.4638289279
01/02/2009   	15.847424    	20.051146    	17.879737    	-0.9129842805
02/02/2009   	19.145014    	20.669941    	19.862459    	-0.7368744401
03/02/2009   	20.052399    	21.815390    	20.802405    	 0.1488808384
04/02/2009   	20.334160    	22.373064    	21.391997    	 0.5896414264
05/02/2009   	20.815989    	22.726965    	21.848541    	 0.7832272165
06/02/2009   	19.737616    	21.824347    	20.786854    	 1.3314293151
07/02/2009   	18.433966    	21.036440    	19.712253    	 1.3866074135
08/02/2009   	18.445889    	23.929502    	20.226274    	 1.2982207922
09/02/2009   	18.207764    	24.142092    	21.142827    	 1.5083119000
10/02/2009   	13.906783    	20.834276    	16.522838    	 1.3195074250
11/02/2009   	16.519545    	25.774792    	20.285362    	 1.8534129734
12/02/2009   	16.411175    	23.470634    	19.718358    	 1.9570383355
13/02/2009   	15.803624    	24.132494    	18.624191    	 1.9814673016
14/02/2009   	15.019809    	22.085188    	17.827397    	 1.3661093985
15/02/2009   	14.220543    	19.724291    	16.513020    	 1.7260469869
16/02/2009   	12.903273    	19.778206    	15.011540    	 2.8289775501
17/02/2009   	12.228171    	23.220425    	15.103429    	 2.8352331420
18/02/2009   	11.341529    	14.054217    	12.525866    	 2.0836310933
19/02/2009   	11.148316    	15.881317    	12.442262    	 2.2295037558
20/02/2009   	11.655423    	13.965423    	12.933169    	 3.0369524161
21/02/2009   	11.644010    	14.595631    	13.062158    	 3.1707714299
22/02/2009   	12.239759    	22.294001    	14.471948    	 3.8706321816
23/02/2009   	11.840339    	22.863791    	14.889755    	 4.4631335388
24/02/2009   	 9.688272    	13.704567    	11.059392    	 3.7546609491
25/02/2009   	 9.435027    	19.961740    	12.770585    	 4.1591915389
26/02/2009   	13.127417    	26.531630    	19.939573    	 4.7978492876
27/02/2009   	14.644647    	26.355091    	20.176175    	 5.3393447498
28/02/2009   	12.622609    	19.698713    	15.298590    	 5.3720622063
01/03/2009   	10.097300    	18.026430    	12.770448    	 4.9230943123
02/03/2009   	10.108192    	15.846149    	11.733114    	 4.8727133175
03/03/2009   	11.690698    	18.671093    	13.684237    	 4.8620357811
04/03/2009   	12.808605    	19.119295    	15.531505    	 4.5215995312
05/03/2009   	12.596629    	17.411201    	14.409296    	 4.8238469760
06/03/2009   	10.549581    	14.115251    	11.766828    	 4.8122194707
07/03/2009   	10.510118    	16.134827    	12.410743    	 4.3867776493
08/03/2009   	13.049111    	19.561728    	17.605725    	 5.1179556449
09/03/2009   	19.403154    	20.828203    	19.873735    	 4.9079461396
10/03/2009   	16.929941    	20.914555    	19.812820    	 4.9453660150
11/03/2009   	14.240930    	19.989620    	17.202604    	 4.9252881507
12/03/2009   	14.132705    	20.307283    	15.996397    	 5.4648725986
13/03/2009   	11.880443    	19.149517    	14.421548    	 5.5946948826
14/03/2009   	 9.971942    	18.012739    	12.131736    	 5.8104538421
15/03/2009   	11.167367    	23.359699    	14.766590    	 5.9750216206
16/03/2009   	 8.859653    	14.513442    	10.373054    	 6.2294943134
17/03/2009   	 7.324773    	11.608088    	 8.757117    	 6.5097461840
18/03/2009   	 6.240277    	 8.728120    	 7.236690    	 6.3303273420
19/03/2009   	 6.281249    	 7.958702    	 7.052583    	 6.4772035182
20/03/2009   	 5.145373    	 9.399499    	 6.963751    	 6.3225175043
21/03/2009   	 6.269580    	10.335811    	 7.595174    	 6.5086787244
22/03/2009   	 5.880240    	12.250971    	 8.030707    	 6.6720500092
23/03/2009   	 7.999753    	25.098003    	20.070208    	 6.6094213923
24/03/2009   	18.364706    	25.808563    	22.217035    	 6.2793963055
25/03/2009   	14.006612    	24.219074    	18.659672    	 6.2134191791
26/03/2009   	14.022443    	23.971952    	19.434119    	 6.3951635857
27/03/2009   	17.332844    	23.848623    	20.627681    	 6.2302169303
28/03/2009   	15.343236    	18.472187    	16.862460    	 6.2936722438
29/03/2009   	13.451408    	18.065296    	15.123506    	 6.0655964216
30/03/2009   	12.363471    	17.204132    	13.366429    	 5.8897118370
31/03/2009   	10.628517    	16.213808    	12.193153    	 6.5937428276
01/04/2009   	 8.428445    	14.100280    	 9.842855    	 7.1129212876
02/04/2009   	 6.588880    	 9.358505    	 8.036398    	 7.6084464192
03/04/2009   	 6.577709    	 9.270157    	 8.052414    	 8.2366115948
04/04/2009   	 7.562395    	10.804524    	 9.310556    	 8.5022674600
05/04/2009   	 9.544460    	11.052915    	10.204678    	 8.6695169310
06/04/2009   	 9.133028    	11.689960    	10.675924    	 8.6783594787
07/04/2009   	10.469033    	12.846192    	11.485490    	 9.4131783048
08/04/2009   	11.289008    	16.024426    	12.759662    	 9.1901578506
09/04/2009   	14.187157    	17.022945    	15.893600    	 8.8471400340
10/04/2009   	14.479229    	16.983719    	15.963384    	 9.9078371326
11/04/2009   	14.319932    	16.230692    	15.066559    	10.5730192264
12/04/2009   	14.817135    	16.313477    	15.640068    	10.6019156178
13/04/2009   	15.253823    	16.652977    	16.094600    	10.4978755315
14/04/2009   	15.867613    	16.847338    	16.454068    	10.6477220853
15/04/2009   	15.708998    	16.866348    	16.285937    	11.1403144201
16/04/2009   	16.071283    	17.042212    	16.553848    	11.7507285674
17/04/2009   	16.013958    	19.306757    	17.959995    	11.2569964329
18/04/2009   	15.900635    	19.219402    	17.189051    	11.0523140430
19/04/2009   	16.164400    	18.543669    	17.784044    	10.9488566518
20/04/2009   	15.950098    	18.027681    	16.975035    	11.9417005181
21/04/2009   	17.416710    	17.858551    	17.568078    	12.0496163170
22/04/2009   	17.631691    	22.005386    	18.502131    	12.0358992020
23/04/2009   	17.885832    	21.092913    	18.959875    	11.7746114135
24/04/2009   	18.742355    	21.294479    	20.020031    	12.1259599527
25/04/2009   	19.649055    	21.216515    	20.166034    	11.9967568119
26/04/2009   	19.663027    	21.308458    	19.893816    	12.8309057951
27/04/2009   	19.578371    	22.086861    	20.164302    	12.8653410872
28/04/2009   	19.975542    	20.949772    	20.113254    	12.5909335216
29/04/2009   	20.070560    	20.733149    	20.333668    	12.7045310537
30/04/2009   	20.196400    	20.552143    	20.347027    	12.9356467128
01/05/2009   	20.238085    	21.186666    	20.533551    	13.6124726137
02/05/2009   	20.461098    	21.933031    	20.842991    	13.8332917492
03/05/2009   	20.714577    	22.390972    	21.149780    	13.4158792297
04/05/2009   	20.977085    	27.849125    	25.495785    	11.2475617329
05/05/2009   	24.844776    	28.079967    	26.429444    	11.4323795239
06/05/2009   	25.369280    	28.185596    	27.254313    	12.3081186016
07/05/2009   	23.064398    	27.338087    	25.217120    	12.6048370004
08/05/2009   	21.183054    	23.500521    	22.142720    	12.7379726370
09/05/2009   	20.537136    	21.351000    	21.039968    	12.2850291530
10/05/2009   	20.470232    	21.350161    	20.779331    	12.9169769883
11/05/2009   	20.958176    	26.024534    	23.215585    	12.1657160123
12/05/2009   	24.067068    	26.357649    	25.331931    	11.6959405541
13/05/2009   	22.241550    	26.563696    	24.263154    	12.0275966128
14/05/2009   	22.268829    	25.368479    	23.522481    	12.5100172559
15/05/2009   	21.857677    	23.686539    	22.563362    	13.0620364745
16/05/2009   	21.890329    	23.395277    	22.264288    	12.9979449113
17/05/2009   	21.709017    	23.030640    	22.347735    	13.3483622670
18/05/2009   	23.084394    	24.359060    	23.729427    	13.4892227650
19/05/2009   	23.364838    	25.099709    	24.526192    	13.4181469083
20/05/2009   	22.809191    	25.062407    	23.866466    	13.7662578026
21/05/2009   	22.521345    	24.732046    	23.060045    	14.2846317887
22/05/2009   	22.504646    	25.047726    	23.048809    	14.5763330658
23/05/2009   	22.506819    	23.668982    	23.331030    	15.2233963211
24/05/2009   	21.951492    	23.933041    	22.769490    	15.7882833878
25/05/2009   	21.201633    	22.840115    	22.163862    	16.4229506652
26/05/2009   	20.565126    	24.940060    	21.992278    	16.8506912788
27/05/2009   	22.791471    	27.355179    	25.022030    	15.2453717788
28/05/2009   	23.540356    	27.631989    	26.009378    	14.9473971526
29/05/2009   	20.070351    	25.153757    	22.000537    	15.0668150385
30/05/2009   	17.190859    	21.296082    	19.565843    	14.9800982674
31/05/2009   	17.986164    	22.075926    	19.974162    	15.8200897574
01/06/2009   	18.310232    	23.075800    	20.958469    	16.7408372561
02/06/2009   	20.827536    	28.517981    	26.240949    	15.7629706661
03/06/2009   	28.128431    	30.591459    	29.573204    	13.9110107223
04/06/2009   	30.338671    	30.960018    	30.694212    	12.0789969563
05/06/2009   	28.388010    	31.108515    	30.689294    	12.3576585054
06/06/2009   	27.370070    	30.136869    	28.992364    	12.8476684292
07/06/2009   	25.959871    	29.650972    	27.288204    	13.6428280671
08/06/2009   	24.452942    	27.303167    	25.731731    	15.1214698156
09/06/2009   	23.127287    	26.434958    	24.518359    	15.4809394081
10/06/2009   	22.802145    	29.054729    	24.609323    	15.3262526592
