date	smin	smax	smean	tmean
01/01/2009  	18.5964279  	24.43477    	20.918506   	 1.667867713
02/01/2009  	12.0533342  	23.55962    	18.575449   	 1.628081713
03/01/2009  	10.2690639  	24.90410    	17.025271   	 1.342959212
04/01/2009  	12.4479895  	24.91362    	17.448012   	 1.744528301
05/01/2009  	11.4245176  	22.45033    	17.322228   	 1.312015440
06/01/2009  	11.7702999  	21.78128    	16.846417   	 0.222811489
07/01/2009  	15.3475685  	24.38856    	19.935204   	 1.014999789
08/01/2009  	14.7665148  	22.44241    	19.064833   	 0.534774987
09/01/2009  	12.6759529  	24.51648    	19.498873   	 0.516571593
10/01/2009  	12.5238323  	24.32631    	19.709120   	 0.229865425
11/01/2009  	16.3175621  	27.44154    	23.361398   	 0.914577961
12/01/2009  	23.2216778  	31.08922    	27.724788   	 2.272259308
13/01/2009  	21.1776085  	31.15788    	28.474239   	 3.001644574
14/01/2009  	19.7426872  	29.73925    	25.024056   	 2.686965413
15/01/2009  	10.1927862  	27.60136    	20.798890   	 2.061921395
16/01/2009  	 5.9100819  	27.84732    	18.370468   	 1.962881985
17/01/2009  	12.0038824  	28.04498    	22.341631   	 2.324115550
18/01/2009  	16.8755646  	30.37924    	26.142168   	 3.013946672
19/01/2009  	20.5788078  	30.50177    	28.003346   	 2.924179122
20/01/2009  	29.0864716  	30.15874    	29.751195   	 2.842786719
21/01/2009  	21.2272167  	29.94176    	27.969179   	 2.555431480
22/01/2009  	17.0216808  	29.64581    	27.050453   	 2.303245495
23/01/2009  	16.7512512  	29.14385    	26.872839   	 2.623656005
24/01/2009  	27.2370110  	28.74860    	28.489062   	 2.928248147
25/01/2009  	11.6044655  	28.67992    	25.695694   	 2.690237145
26/01/2009  	 9.4814482  	28.23420    	20.383453   	 2.372081717
27/01/2009  	14.4657240  	26.66302    	21.282745   	 2.004659332
28/01/2009  	11.2678862  	26.63535    	20.414222   	 1.702969499
29/01/2009  	11.2882605  	25.08311    	19.053075   	 1.506680233
30/01/2009  	 9.6013565  	23.04118    	17.071299   	 1.070786272
31/01/2009  	 7.1069303  	24.10505    	17.239047   	 0.495981878
01/02/2009  	14.8154202  	25.75638    	22.380973   	-0.007659580
02/02/2009  	18.9265976  	24.58571    	23.645134   	-0.034268094
03/02/2009  	21.2920685  	25.71506    	23.601463   	 0.605265682
04/02/2009  	21.9516315  	26.20748    	23.847914   	 0.871144397
05/02/2009  	15.3479385  	25.80138    	22.704850   	 1.038095788
06/02/2009  	16.0832481  	26.62292    	22.713563   	 1.460094072
07/02/2009  	15.8897152  	26.05854    	21.969766   	 1.597655532
08/02/2009  	13.9454489  	26.77539    	21.461350   	 1.522366193
09/02/2009  	13.1393042  	26.78276    	21.091033   	 1.538535441
10/02/2009  	14.2452412  	26.19295    	20.181110   	 1.656630730
11/02/2009  	16.3711605  	24.60184    	22.116295   	 1.890293178
12/02/2009  	13.1677332  	24.16535    	21.151989   	 2.017265777
13/02/2009  	10.8931293  	23.46593    	19.110738   	 2.109736989
14/02/2009  	 9.0517683  	23.86270    	15.875599   	 1.754140283
15/02/2009  	 9.0993919  	23.78259    	16.924940   	 1.896184127
16/02/2009  	 9.0932341  	23.50731    	16.191754   	 2.542770689
17/02/2009  	 7.0141907  	23.11461    	14.726203   	 3.097041890
18/02/2009  	 7.6845679  	21.73529    	13.955368   	 2.568170413
19/02/2009  	 8.0940580  	22.02683    	15.464803   	 2.472295063
20/02/2009  	 8.3215103  	22.10695    	16.217991   	 3.088714778
21/02/2009  	 8.1135683  	22.03276    	15.272699   	 3.199069286
