Scenario	steps[maxSteps]	starfish[stinAbundance]	starfish[stinBiomass]	St.Nb.2	St.Bm.2	Size.2
1	37	20.40816327	551.0204082	20.40816327	1367.346939	67
2	37	20.40816327	836.7346939	20.40816327	1122.44898	55
3	31	20.40816327	285.7142857	20.40816327	795.9183673	39
4	37	20.40816327	204.0816327	20.40816327	612.244898	30
5	37	20.40816327	367.3469388	20.40816327	734.6938776	36
6	37	20.40816327	102.0408163	20.40816327	653.0612245	32
7	37	20.40816327	306.122449	20.40816327	1081.632653	53
8	37	20.40816327	244.8979592	20.40816327	938.7755102	46
9	37	20.40816327	81.63265306	20.40816327	489.7959184	24
10	37	20.40816327	1408.163265	20.40816327	2428.571429	119
11	31	20.40816327	693.877551	20.40816327	1000	49
12	37	20.40816327	571.4285714	20.40816327	1265.306122	62
13	37	20.40816327	224.4897959	20.40816327	244.8979592	12
14	37	20.40816327	1081.632653	20.40816327	1959.183673	96
15	37	20.40816327	142.8571429	20.40816327	285.7142857	14
16	37	20.40816327	346.9387755	20.40816327	1244.897959	61
17	37	20.40816327	81.63265306	20.40816327	387.755102	19
18	37	20.40816327	408.1632653	20.40816327	1183.673469	58
19	37	20.40816327	530.6122449	20.40816327	1122.44898	55
20	28	20.40816327	612.244898	20.40816327	1857.142857	91
21	31	20.40816327	530.6122449	20.40816327	897.9591837	44
22	37	20.40816327	1244.897959	20.40816327	2428.571429	119
23	37	20.40816327	755.1020408	20.40816327	1448.979592	71
24	37	20.40816327	285.7142857	20.40816327	897.9591837	44
25	37	20.40816327	61.2244898	20.40816327	81.63265306	4
26	37	20.40816327	591.8367347	20.40816327	1183.673469	58
27	31	20.40816327	408.1632653	20.40816327	489.7959184	24
28	37	20.40816327	1285.714286	20.40816327	2346.938776	115
29	37	20.40816327	489.7959184	20.40816327	1306.122449	64
30	37	20.40816327	938.7755102	20.40816327	979.5918367	48
31	37	20.40816327	387.755102	20.40816327	1040.816327	51
32	37	20.40816327	244.8979592	20.40816327	714.2857143	35
33	37	20.40816327	142.8571429	20.40816327	653.0612245	32
34	37	20.40816327	938.7755102	20.40816327	2204.081633	108
35	37	20.40816327	183.6734694	20.40816327	734.6938776	36
36	37	20.40816327	816.3265306	20.40816327	693.877551	34
37	37	20.40816327	1142.857143	20.40816327	2285.714286	112
38	37	20.40816327	510.2040816	20.40816327	1306.122449	64
39	37	20.40816327	61.2244898	20.40816327	346.9387755	17
40	37	20.40816327	142.8571429	20.40816327	653.0612245	32
41	37	20.40816327	244.8979592	20.40816327	918.3673469	45
42	37	20.40816327	142.8571429	20.40816327	469.3877551	23
43	37	20.40816327	489.7959184	20.40816327	1244.897959	61
44	28	20.40816327	1448.979592	20.40816327	1979.591837	97
45	37	20.40816327	857.1428571	20.40816327	1959.183673	96
46	37	20.40816327	102.0408163	20.40816327	224.4897959	11
47	28	20.40816327	959.1836735	20.40816327	1367.346939	67
48	28	20.40816327	816.3265306	20.40816327	1306.122449	64
49	31	20.40816327	326.5306122	20.40816327	673.4693878	33
50	37	20.40816327	408.1632653	20.40816327	816.3265306	40
51	37	20.40816327	428.5714286	20.40816327	632.6530612	31
52	37	20.40816327	204.0816327	20.40816327	469.3877551	23
53	37	20.40816327	142.8571429	20.40816327	530.6122449	26
54	36	20.40816327	1551.020408	20.40816327	2877.55102	141
55	37	20.40816327	448.9795918	20.40816327	836.7346939	41
56	37	20.40816327	448.9795918	20.40816327	1326.530612	65
57	37	20.40816327	265.3061224	20.40816327	653.0612245	32
58	37	20.40816327	1612.244898	20.40816327	1836.734694	90
59	37	20.40816327	795.9183673	20.40816327	1428.571429	70
60	37	20.40816327	163.2653061	20.40816327	551.0204082	27
61	37	20.40816327	265.3061224	20.40816327	959.1836735	47
62	37	20.40816327	244.8979592	20.40816327	857.1428571	42
63	37	20.40816327	122.4489796	20.40816327	571.4285714	28
64	37	20.40816327	163.2653061	20.40816327	653.0612245	32
65	37	20.40816327	1367.346939	20.40816327	2612.244898	128
66	37	20.40816327	285.7142857	20.40816327	734.6938776	36
67	37	20.40816327	142.8571429	20.40816327	183.6734694	9
68	37	20.40816327	1571.428571	20.40816327	2714.285714	133
69	37	20.40816327	1142.857143	20.40816327	1857.142857	91
70	37	20.40816327	306.122449	20.40816327	734.6938776	36
71	37	20.40816327	122.4489796	20.40816327	428.5714286	21
72	37	20.40816327	183.6734694	20.40816327	367.3469388	18
73	37	20.40816327	265.3061224	20.40816327	877.5510204	43
74	37	20.40816327	448.9795918	20.40816327	1163.265306	57
