Date	GlobRad	Tmin	Tmax	VP	WindSpeed	Rain	AvgPar30
01/01/2013	16.52	20.85	29.8	0.958474925	2.21	1.01	8
02/01/2013	15.29	19.97	30.18	0.935497755	1.76	0.54	8
03/01/2013	17.45	20.6	30.5	1.102785764	1.73	0.47	8
04/01/2013	11.07	19.33	30.72	1.085374236	2.09	0.15	8
05/01/2013	13.53	20.48	30.57	1.115960722	2.45	0.17	8
06/01/2013	15.48	21.18	30.99	1.27394825	2.32	0.43	8
07/01/2013	15.05	22.14	29.77	0.87736784	2.47	3.23	8
08/01/2013	18.19	21.39	30.25	0.969345869	2.21	2.17	8
09/01/2013	13.84	22.09	30.63	0.941432456	2.28	1.47	8
10/01/2013	16.61	21.63	30.19	1.006718218	2.45	1.06	8
11/01/2013	12.96	21.54	30.09	1.01502257	2.57	0.58	8
12/01/2013	18.03	20.16	30.78	1.12055381	2.12	0.34	8
13/01/2013	19.6	18.92	30.47	1.361211479	1.77	0.03	8
14/01/2013	14.17	19.37	30.22	1.215717868	1.78	0.42	8
15/01/2013	15.22	18.88	30.06	1.128510723	1.77	0.81	8
16/01/2013	14.37	18.95	30.15	1.033050556	1.58	1.27	8
17/01/2013	19.78	19.18	29.78	1.101315201	1.98	0.47	8
18/01/2013	16.73	19.67	29.69	1.167648829	2.55	0.09	8
19/01/2013	15.42	19.35	28.86	1.047996153	2.43	0.43	8
20/01/2013	17.21	19.25	29.55	1.14341788	2.28	0.34	8
21/01/2013	16.61	18.88	29.51	0.96157454	2.27	1.54	8
22/01/2013	17.51	19.34	29.91	1.105351782	2.32	0.21	8
23/01/2013	14.84	19.84	30.15	1.232651139	2.2	0.07	8
24/01/2013	15.74	19.77	30.38	1.311350512	2.1	0.05	8
25/01/2013	16.64	19.59	30.86	1.47107899	2.11	0.01	8
26/01/2013	11.39	20.4	30.82	1.374025097	2.29	0.02	8
27/01/2013	16.61	20.28	31.36	1.392164003	2.43	0.13	8
28/01/2013	18.28	20.75	31.05	1.394393652	2.19	0.36	8
29/01/2013	19.08	20.38	31.09	1.412904123	2.1	0.39	8
30/01/2013	19.52	19.17	32.05	1.56764416	1.7	0	8.04566666666667
31/01/2013	19.69	19.87	31.58	1.444426076	2.24	0.01	8.0985
01/02/2013	18.42	19.09	30.99	1.614743981	2.71	0.01	8.15066666666667
02/02/2013	21.47	19.55	30.94	1.60791717	2.22	0.04	8.21766666666667
03/02/2013	12.91	19.13	30.46	1.393063175	2.1	0.53	8.24833333333333
04/02/2013	15.93	19.53	31.58	1.57982653	1.89	0.15	8.28833333333333
05/02/2013	17.72	19.26	31.61	1.45896096	1.65	0.6	8.32566666666667
06/02/2013	17.26	19.9	31.77	1.408496955	1.96	0.72	8.3625
07/02/2013	21.11	20.16	30.79	1.210746528	1.71	1.5	8.41116666666667
08/02/2013	19.86	19.47	31.51	1.533386466	1.68	0	8.5115
09/02/2013	15.62	19.46	31.33	1.50957274	2.18	0.02	8.495
10/02/2013	16.85	19.59	31.4	1.596825437	1.97	0	8.55983333333333
11/02/2013	15.97	20.38	31.84	1.658788268	1.95	0.02	8.5255
12/02/2013	18.35	20.58	31.79	1.604361274	1.96	0.24	8.50466666666667
13/02/2013	21.14	19.24	32.56	1.931933495	1.55	0.19	8.62083333333333
14/02/2013	22.67	18.29	33.04	2.10154292	1.28	0.05	8.745
15/02/2013	21.23	19.75	33.28	2.184593316	1.37	0	8.85933333333333
16/02/2013	23.52	19.38	33.18	2.245467429	1.77	0.01	8.92166666666667
17/02/2013	12.64	19.99	30.35	1.392109904	2.71	0.65	8.8535
18/02/2013	14.11	18.81	31.28	1.390411594	2.87	0.46	8.83166666666667
19/02/2013	22.11	20.08	31.12	1.635769049	2.41	0.38	8.91333333333333
