Date	Tavg	Rainfall	RH	Sunshine	Immigrants	Vegetative	Reproductive	Ripening	Adult	Year	Sequence	Season	Week	Harvest
2004-02-08	25.9	0	76.4	7.4	0	0	1	0	105	2014	3	0	1	0
2004-02-15	25.3	0	73.6	8.2	0	0	1	1	128	2014	3	0	2	0
2004-02-22	25.9	0	78.3	7.8	0	0	0	1	202	2014	3	0	3	0
2004-02-29	27.3	0	76.7	8.7	0	0	0	1	152	2014	3	0	4	0
2004-03-07	27.8	0	69	5.3	0	0	0	1	68	2014	3	0	5	0
2004-03-14	27.7	0	72.3	7.8	0	0	0	1	0	2014	3	0	6	0
2004-03-21	27.9	0	75.4	3.3	0	0	0	0	0	2014	3	0	7	0
2004-03-28	29.2	0	71.4	7.8	0	0	0	0	0	2014	3	0	8	0
2004-04-04	28.6	1.3	72.4	5.7	0	0	0	0	0	2014	3	0	9	0
2004-04-11	29.8	0	72.4	7.7	11	1	0	0	11	2004	1	1	1	0
2004-04-18	29.7	0	77.3	8.1	25	1	0	0	25	2004	1	1	2	0
2004-04-25	29.8	0	76.4	7.3	22	1	0	0	22	2004	1	1	3	0
2004-05-02	29.4	2.2	78	6.3	23.5	1	0	0	10	2004	1	1	4	0
2004-05-09	28.8	15.6	80.1	4.6	23.5	1	1	0	82	2004	1	1	5	0
2004-05-16	28.1	8.3	80.6	5.3	23.5	1	1	0	158	2004	1	1	6	0
2004-05-23	28.2	2.6	78.4	5.3	0	0	1	0	145	2004	1	1	7	0
2004-05-30	28.8	0.1	78.4	8.4	0	0	1	0	89	2004	1	1	8	0
2004-06-06	27	16.2	83.3	4.6	0	0	1	0	98	2004	1	1	9	0
2004-06-13	26.6	8.2	84.7	2.4	0	0	1	1	478	2004	1	1	10	0
2004-06-20	27.8	1.4	80.1	5.5	0	0	0	1	378	2004	1	1	11	0
2004-06-27	28.5	1.2	76	7.5	0	0	0	1	128	2004	1	1	12	0
2004-07-04	28.8	2.2	78.9	6.4	0	0	0	1	248	2004	1	1	13	0
2004-07-11	27.8	0.1	80.4	3.4	0	0	0	1	52	2004	1	1	14	1
2004-07-18	27.7	5.5	81.1	6.3	0	0	0	0	0	2014	3	0	10	0
2004-07-25	27	0.8	82	2.1	0	0	0	0	0	2014	3	0	11	0
2004-08-01	27.3	0.3	78.3	5.1	16	1	0	0	16	2004	2	2	1	0
2004-08-08	26.7	7.4	84.3	2.6	27	1	0	0	27	2004	2	2	2	0
2004-08-15	28.4	1	78.1	6.6	31	1	0	0	31	2004	2	2	3	0
2004-08-22	28.2	1.9	80.4	6.5	29	1	0	0	28	2004	2	2	4	0
2004-08-29	28.3	1.9	81.7	5.9	29	1	1	0	139	2004	2	2	5	0
2004-09-05	28.5	2.5	78.6	6.9	29	1	1	0	115	2004	2	2	6	0
2004-09-12	27.7	11.3	81.1	4.7	0	0	1	0	384	2004	2	2	7	0
2004-09-19	27.6	2	85.3	5.7	0	0	1	0	924	2004	2	2	8	0
2004-09-26	28.1	7.7	83	6.8	0	0	1	0	75	2004	2	2	9	0
2004-10-03	26.7	9.7	85.9	3.3	0	0	1	1	71	2004	2	2	10	0
2004-10-10	27.5	9.2	82.7	6.7	0	0	0	1	102	2004	2	2	11	0
2004-10-17	27.5	4.3	79.6	6.6	0	0	0	1	453	2004	2	2	12	0
2004-10-24	28.3	0.2	76	8.3	0	0	0	1	205	2004	2	2	13	0
2004-10-31	28.3	0.3	79.1	6.5	0	0	0	1	115	2004	2	2	14	1
2004-11-07	28.3	9.9	79.1	7.4	0	0	0	0	0	2014	3	0	12	0
2004-11-14	28.2	2.5	79.9	7.5	0	0	0	0	0	2014	3	0	13	0
2004-11-21	26.9	2	72.9	8.2	0	0	0	0	0	2014	3	0	14	0
2004-11-28	27.2	2.6	78.1	7.5	0	0	0	0	0	2014	3	0	15	0
