minute	indoorsCo2	indoorsRh	indoorsTemperature	growthLight	heating	photosynthesis
1	651.9	55.7147	24.0029	0	67.465	0
2	651.9	55.7065	24.0028	0	67.4409	0
3	651.9	55.6977	24.0029	0	67.4176	0
4	651.9	55.6884	24.0031	0	67.3935	0
5	651.9	55.6784	24.0036	0	67.3668	0
6	651.9	55.668	24.0041	0	67.3363	0
7	651.9	55.6574	24.0048	0	67.3008	0
8	651.9	55.6467	24.0054	0	67.2601	0
9	651.9	55.6362	24.0059	0	67.2141	0
10	651.9	55.6259	24.0064	0	67.1636	0
11	651.9	55.616	24.0067	0	67.1095	0
12	651.9	55.6065	24.0069	0	67.0528	0
13	651.9	55.5975	24.007	0	66.995	0
14	651.9	55.5888	24.0069	0	66.9373	0
15	651.9	55.5805	24.0066	0	66.8807	0
16	651.9	55.5723	24.0063	0	66.8262	0
17	651.9	55.5643	24.006	0	66.7743	0
18	651.9	55.5563	24.0056	0	66.7255	0
19	651.9	55.5482	24.0053	0	66.6798	0
20	651.9	55.5399	24.005	0	66.6369	0
21	651.9	55.5314	24.0047	0	66.5964	0
22	651.9	55.5226	24.0046	0	66.5577	0
23	651.9	55.5135	24.0045	0	66.5203	0
24	651.9	55.5041	24.0045	0	66.4833	0
25	651.9	55.4944	24.0045	0	66.4463	0
26	651.9	55.4846	24.0046	0	66.4087	0
27	651.9	55.4746	24.0048	0	66.37	0
28	651.9	55.4645	24.0049	0	66.3301	0
29	651.9	55.4544	24.0051	0	66.2889	0
30	651.9	55.4444	24.0052	0	66.2463	0
31	651.9	55.4343	24.0053	0	66.2028	0
32	651.9	55.4244	24.0054	0	66.1584	0
33	651.9	55.4145	24.0054	0	66.1135	0
34	651.9	55.4047	24.0054	0	66.0686	0
35	651.9	55.395	24.0054	0	66.0238	0
36	651.9	55.3854	24.0053	0	65.9796	0
37	651.9	55.3758	24.0052	0	65.9361	0
38	651.9	55.3662	24.0051	0	65.8935	0
39	651.9	55.3565	24.0049	0	65.8519	0
40	651.9	55.3468	24.0048	0	65.8113	0
41	651.9	55.337	24.0047	0	65.7715	0
42	651.9	55.3271	24.0047	0	65.7326	0
43	651.9	55.3171	24.0046	0	65.6942	0
44	651.9	55.307	24.0046	0	65.6562	0
45	651.9	55.2968	24.0046	0	65.6185	0
46	651.9	55.2865	24.0046	0	65.5809	0
47	651.9	55.2761	24.0046	0	65.5432	0
48	651.9	55.2656	24.0046	0	65.5054	0
49	651.9	55.2552	24.0046	0	65.4673	0
50	651.9	55.2446	24.0047	0	65.429	0
51	651.9	55.2341	24.0047	0	65.3905	0
52	651.9	55.2235	24.0047	0	65.3518	0
53	651.9	55.213	24.0047	0	65.313	0
54	651.9	55.2024	24.0047	0	65.2743	0
55	651.9	55.1918	24.0047	0	65.2357	0
56	651.9	55.1813	24.0046	0	65.1973	0
57	651.9	55.1707	24.0046	0	65.1591	0
58	651.9	55.1601	24.0045	0	65.1214	0
59	651.9	55.1495	24.0045	0	65.084	0
60	651.9	55.1388	24.0044	0	65.0469	0
61	651.9	55.1281	24.0044	0	65.0103	0
