Year	CropDevRate	PestFecundity	Parasitoids	Scenario	WeatherFile	StartDate
2009	0.008	98	0	1	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.008	98	0	2	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.009	98	0	3	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.009	98	0	4	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.008	76	0	5	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.008	76	0	6	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.009	76	0	7	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.009	76	0	8	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.008	71	0	9	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.008	71	0	10	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.009	71	0	11	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.009	71	0	12	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.008	98	1	13	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.008	98	1	14	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.009	98	1	15	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.009	98	1	16	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.008	76	1	17	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.008	76	1	18	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.009	76	1	19	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.009	76	1	20	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.008	71	1	21	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.008	71	1	22	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.009	71	1	23	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.009	71	1	24	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.008	98	5	25	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.008	98	5	26	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.009	98	5	27	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.009	98	5	28	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.008	76	5	29	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.008	76	5	30	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.009	76	5	31	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.009	76	5	32	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.008	71	5	33	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.008	71	5	34	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
2009	0.009	71	5	35	"../../book/weather/flakkebjerg 2009.txt"	1/1/2009
2018	0.009	71	5	36	"../../book/weather/flakkebjerg 2018.txt"	1/1/2018
