iteration	K.maxValue	coverage.maxValue	proportion.bounds.logP	q.bounds.logP	maxMortality	slope	resistanceGain	R	fitnessPenalty
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	19802	0.312054	-4.77125	-5.56352	0.928331	6.92808	0.49096	44.517	0.361486
2	18130.6	0.634771	-5.29695	-5.67245	0.900994	1.38386	0.80241	45.0291	0.31575
3	12580.1	0.256742	-3.16025	-4.70733	0.947277	5.98419	0.672365	25.9715	0.11498
4	11255.2	0.578262	-5.09291	-4.17848	0.916605	8.50013	0.30686	15.05	0.0492965
5	10617.9	0.412074	-4.97004	-4.52771	0.989593	9.16208	0.548479	20.7342	0.346815
6	17555.7	0.107462	-3.81875	-5.51958	0.986721	4.44267	0.605176	48.8116	0.226673
7	12145.8	0.214418	-2.19281	-4.9846	0.907576	7.32612	0.504913	33.0571	0.0569755
8	16544.3	0.382971	-3.94782	-4.63203	0.918001	9.52563	0.560637	5.64016	0.132915
9	13949.9	0.600468	-3.77295	-5.31224	0.900915	3.11312	0.415323	15.1949	0.22807
10	11965.3	0.586965	-5.44458	-4.46202	0.954538	5.75507	0.236576	5.67809	0.121129
11	13349	0.692737	-4.54358	-4.05648	0.96374	9.64247	0.693232	27.17	0.178579
12	13836.9	0.487159	-5.84489	-4.94874	0.973904	5.62947	0.346273	38.9316	0.170311
13	15311.5	0.546315	-5.344	-4.41641	0.961041	4.03074	0.772285	48.7315	0.372985
14	19681.8	0.291534	-5.85697	-4.81049	0.942116	3.08454	0.127643	21.195	0.212773
15	13743.9	0.447533	-4.92508	-4.55673	0.905731	5.12349	0.325075	4.94046	0.10918
16	12049.7	0.768411	-3.424	-5.75294	0.959174	5.85567	0.695432	32.3744	0.166306
17	12430	0.487907	-2.67869	-5.71605	0.927528	1.59775	0.280417	14.595	0.190999
18	13955.8	0.524694	-2.21533	-4.5095	0.915119	7.67713	0.829564	3.43924	0.313651
19	16143	0.485827	-5.69178	-5.10639	0.905028	4.79381	0.767776	2.83532	0.175545
20	11170.1	0.822	-2.79206	-5.39081	0.95332	3.75412	0.374313	26.3226	0.074338
21	17537.6	0.878229	-5.53632	-4.04248	0.943544	3.20983	0.339186	22.6393	0.339042
22	13591.5	0.725806	-4.27944	-4.18172	0.931773	8.2541	0.705546	29.7084	0.211171
23	13678.7	0.408186	-5.10483	-5.30187	0.952549	1.98257	0.315595	46.8305	0.165982
24	14562.9	0.505538	-3.01307	-5.28245	0.974129	6.63322	0.126253	3.59187	0.0772637
25	10719.3	0.666333	-3.07149	-4.72348	0.974755	4.75842	0.241947	40.3203	0.280567
26	10672.8	0.899458	-2.97775	-4.3558	0.950974	5.36235	0.145632	13.2559	0.371663
27	15690.6	0.801874	-5.73754	-5.80245	0.962205	7.11007	0.325795	23.6422	0.0784888
28	11945.4	0.272647	-4.93584	-4.1754	0.963908	6.64555	0.238342	15.5337	0.227604
29	11816.5	0.501199	-4.22722	-5.00819	0.982688	6.26981	0.719719	8.78145	0.345579
30	16389.1	0.490448	-4.93107	-4.87382	0.936885	8.71393	0.730137	47.2072	0.359676
31	17066.2	0.247782	-4.43683	-4.51822	0.97196	6.15802	0.605902	38.2446	0.167717
32	17822	0.678764	-4.41834	-5.09325	0.903515	5.09235	0.547362	30.6694	0.0416263
33	11033	0.378358	-3.71592	-5.70537	0.940118	3.68516	0.240585	25.0276	0.235892
34	15680.8	0.349513	-4.81639	-4.60369	0.947989	5.6717	0.828557	17.7726	0.296808
35	15913.7	0.652528	-3.17501	-5.16666	0.976098	7.55453	0.698487	20.8691	0.149566
36	11198.3	0.362338	-4.65169	-4.05853	0.910654	2.55491	0.274584	48.3289	0.297309
37	19570.8	0.262776	-4.68186	-4.20869	0.956864	4.99243	0.615623	36.8356	0.234048
38	11711.1	0.519609	-4.01999	-4.93191	0.969453	2.8056	0.752751	17.9454	0.209259
39	16688.5	0.479109	-2.00679	-4.74645	0.971806	3.55509	0.747998	44.9365	0.382716
40	13968.1	0.763717	-5.19022	-4.71022	0.956187	7.76588	0.755977	41.7043	0.340128
41	10852.6	0.508006	-4.76564	-4.639	0.974331	6.29294	0.822342	46.6068	0.392982
42	17927.2	0.679502	-5.43962	-5.89986	0.90159	9.77369	0.792895	40.6388	0.372166
43	14595.7	0.792783	-4.39663	-4.66884	0.911714	8.91466	0.120725	17.8678	0.0618566
44	19489.3	0.829971	-4.1212	-4.01609	0.955205	5.92693	0.11125	43.4611	0.0138254
45	13926.2	0.757237	-2.62442	-4.24157	0.938142	1.39136	0.570155	19.8763	0.180621
46	13731.7	0.879584	-5.89118	-4.28456	0.975971	9.39118	0.339791	42.1156	0.323461
47	19971	0.396016	-4.70475	-5.51378	0.944996	7.62792	0.225963	49.9459	0.274209
48	11619.3	0.539021	-2.14694	-4.02104	0.932419	2.01355	0.500302	2.27659	0.100805
49	13099.6	0.337977	-2.32361	-5.36261	0.917138	6.08116	0.1998	20.3865	0.360833
50	12154.1	0.888563	-3.83608	-4.78068	0.973769	3.34563	0.502589	11.7387	0.289473
51	19051.3	0.862435	-4.15955	-5.84157	0.95751	3.4706	0.150923	10.1745	0.235572
52	19063.6	0.80416	-2.66052	-5.24713	0.937699	8.80557	0.149756	37.6296	0.316585
