iteration.end	fileName.end	atEnd.end	density.thresholdGen.end	frequencies.thresholdGen.end	K_maxValue.end	coverage_maxValue.end	proportion_bounds_logP.end	q_bounds_logP.end	maxMortality.end	slope.end	resistanceGain.end	R.end	fitnessPenalty.end
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	scenarios.txt	FALSE	6	30	19802	0.312054	-4.77125	-5.56352	0.928331	6.92808	0.49096	44.517	0.361486
2	scenarios.txt	FALSE	29	30	18130.6	0.634771	-5.29695	-5.67245	0.900994	1.38386	0.80241	45.0291	0.31575
3	scenarios.txt	FALSE	30	30	12580.1	0.256742	-3.16025	-4.70733	0.947277	5.98419	0.672365	25.9715	0.11498
4	scenarios.txt	FALSE	30	9	11255.2	0.578262	-5.09291	-4.17848	0.916605	8.50013	0.30686	15.05	0.0492965
5	scenarios.txt	FALSE	30	11	10617.9	0.412074	-4.97004	-4.52771	0.989593	9.16208	0.548479	20.7342	0.346815
6	scenarios.txt	FALSE	13	30	17555.7	0.107462	-3.81875	-5.51958	0.986721	4.44267	0.605176	48.8116	0.226673
7	scenarios.txt	FALSE	26	30	12145.8	0.214418	-2.19281	-4.9846	0.907576	7.32612	0.504913	33.0571	0.0569755
8	scenarios.txt	FALSE	30	14	16544.3	0.382971	-3.94782	-4.63203	0.918001	9.52563	0.560637	5.64016	0.132915
9	scenarios.txt	FALSE	30	30	13949.9	0.600468	-3.77295	-5.31224	0.900915	3.11312	0.415323	15.1949	0.22807
10	scenarios.txt	FALSE	30	22	11965.3	0.586965	-5.44458	-4.46202	0.954538	5.75507	0.236576	5.67809	0.121129
11	scenarios.txt	FALSE	30	7	13349	0.692737	-4.54358	-4.05648	0.96374	9.64247	0.693232	27.17	0.178579
12	scenarios.txt	FALSE	8	25	13836.9	0.487159	-5.84489	-4.94874	0.973904	5.62947	0.346273	38.9316	0.170311
13	scenarios.txt	FALSE	30	17	15311.5	0.546315	-5.344	-4.41641	0.961041	4.03074	0.772285	48.7315	0.372985
14	scenarios.txt	FALSE	19	30	19681.8	0.291534	-5.85697	-4.81049	0.942116	3.08454	0.127643	21.195	0.212773
