Date	T	E0	N	S	U	P
04-10-2019	12.8	2.595	1.12	24.87	0.05541	0.696363636
05-10-2019	12.32	7.141	1.309	24.77	0.04937	0.700606061
06-10-2019	12.03	8.36	1.498	24.68	0.06434	0.704848485
07-10-2019	11.8	8.68	1.687	24.59	0.0476	0.709090909
08-10-2019	11.62	7.357	1.876	24.5	0.05944	0.713333333
09-10-2019	11.59	4.634	2.065	24.41	0.05095	0.717575758
10-10-2019	11.57	6.46	2.254	24.32	0.05378	0.721818182
11-10-2019	11.57	3.666	2.443	24.23	0.05714	0.726060606
12-10-2019	11.59	6.723	2.632	24.14	0.07935	0.73030303
13-10-2019	11.67	2.469	2.822	24.05	0.1055	0.734545455
14-10-2019	11.75	5.908	3.011	23.96	0.06369	0.738787879
15-10-2019	11.99	7.117	3.2	23.87	0.08055	0.743030303
16-10-2019	12.16	2.433	3.389	23.77	0.05653	0.747272727
17-10-2019	11.94	3.538	3.578	23.68	0.08496	0.751515152
18-10-2019	11.95	2.71	3.767	23.59	0.07769	0.755757576
19-10-2019	11.95	5.847	3.956	23.5	0.09767	0.76
20-10-2019	11.88	4.196	4.145	23.41	0.101	0.764242424
21-10-2019	11.92	1.698	4.334	23.32	0.103	0.768484848
22-10-2019	11.92	3.446	4.523	23.23	0.08743	0.772727273
23-10-2019	11.79	4.12	4.712	23.14	0.1026	0.776969697
24-10-2019	11.75	2.553	4.902	23.05	0.1117	0.781212121
25-10-2019	11.74	5.452	5.091	22.96	0.05861	0.785454545
26-10-2019	11.76	0.7698	5.28	22.87	0.07077	0.78969697
27-10-2019	11.76	6.714	5.469	22.77	0.06943	0.793939394
28-10-2019	11.55	7.19	5.658	22.68	0.06914	0.798181818
29-10-2019	11.2	8.085	5.847	22.59	0.0718	0.802424242
30-10-2019	10.83	7.137	6.036	22.5	0.1406	0.806666667
31-10-2019	10.91	7.533	6.225	22.41	0.1066	0.810909091
01-11-2019	10.52	5.151	6.414	22.32	0.04375	0.815151515
02-11-2019	10.55	1.32	6.603	22.23	0.02666	0.819393939
03-11-2019	10.57	2.222	6.792	22.14	0.09991	0.823636364
04-11-2019	10.54	0.9432	6.982	22.05	0.09076	0.827878788
05-11-2019	10.27	0.8456	6.97	21.95	0.06637	0.819444444
06-11-2019	9.924	1.184	6.741	21.84	0.08278	0.798333333
07-11-2019	9.645	3.409	6.513	21.72	0.1187	0.777222222
08-11-2019	9.228	3.161	6.284	21.61	0.1153	0.756111111
09-11-2019	9.145	2.131	6.055	21.5	0.08941	0.735
10-11-2019	9.007	2.626	5.826	21.39	0.05486	0.713888889
11-11-2019	8.648	3.054	5.597	21.28	0.06446	0.692777778
12-11-2019	8.538	0.9368	5.368	21.17	0.05021	0.671666667
13-11-2019	8.422	2.529	5.139	21.06	0.08949	0.650555556
14-11-2019	8.505	1.773	5.16	20.98	0.08343	0.64575
15-11-2019	8.562	0.9428	5.453	20.93	0.05604	0.65725
16-11-2019	8.605	0.1939	5.745	20.88	0.09886	0.66875
17-11-2019	8.548	2.84	6.038	20.83	0.05411	0.68025
18-11-2019	8.486	0.4076	6.33	20.78	0.07034	0.69175
19-11-2019	8.495	0.8118	6.623	20.73	0.04429	0.70325
20-11-2019	8.483	2.286	6.915	20.68	0.1025	0.71475
21-11-2019	8.267	0.5474	7.208	20.63	0.1066	0.72625
22-11-2019	8.353	1.748	7.5	20.58	0.1139	0.73775
23-11-2019	8.291	0.4842	7.793	20.53	0.08653	0.74925
24-11-2019	8.235	0.4639	8.085	20.48	0.05875	0.76075
25-11-2019	8.039	0.7192	8.378	20.43	0.07496	0.77225
26-11-2019	7.805	0.4545	8.67	20.38	0.0549	0.78375
27-11-2019	7.698	0.6301	8.963	20.33	0.05639	0.79525
28-11-2019	7.703	0.7589	9.255	20.28	0.04674	0.80675
29-11-2019	7.616	2.577	9.548	20.23	0.0603	0.81825
30-11-2019	7.34	2.885	9.84	20.18	0.08811	0.82975
01-12-2019	7.49	2.343	10.13	20.13	0.08906	0.84125
02-12-2019	7.263	3.089	10.43	20.08	0.09138	0.85275
03-12-2019	6.658	1.095	10.72	20.03	0.0694	0.86425
04-12-2019	6.678	1.926	10.84	20.26	0.05726	0.869230769
05-12-2019	6.727	2.272	10.77	20.8	0.05653	0.867692308
06-12-2019	6.772	0.8353	10.7	21.33	0.0439	0.866153846
07-12-2019	6.817	2.034	10.63	21.87	0.07242	0.864615385
08-12-2019	6.862	1.038	10.56	22.41	0.03985	0.863076923
09-12-2019	6.907	1.722	10.49	22.95	0.03055	0.861538462
10-12-2019	6.952	2.018	10.42	23.49	0.07848	0.86
11-12-2019	6.998	1.376	10.35	24.03	0.08876	0.858461538
12-12-2019	7.043	1.162	10.28	24.57	0.04764	0.856923077
13-12-2019	7.088	1.324	10.21	25.1	0.0887	0.855384615
14-12-2019	7.133	0.6636	10.14	25.64	0.05447	0.853846154
15-12-2019	7.178	0.9263	10.08	26.18	0.04368	0.852307692
16-12-2019	7.223	0.9903	10.01	26.72	0.08774	0.850769231
17-12-2019	7.219	0.2699	10.12	27	0.1004	0.851904762
18-12-2019	7.252	1.626	10.43	27	0.102	0.855714286
19-12-2019	7.081	1.722	10.74	27	0.08795	0.85952381
20-12-2019	7.092	0.744	11.05	27	0.09122	0.863333333
21-12-2019	7.135	1.331	11.36	27	0.04795	0.867142857
22-12-2019	6.908	0.8368	11.67	27	0.05451	0.870952381
23-12-2019	6.892	0.6514	11.98	27	0.06351	0.874761905
24-12-2019	6.793	1.38	12.28	27	0.05962	0.878571429
25-12-2019	6.965	1.32	12.59	27	0.04754	0.882380952
26-12-2019	7.024	2.004	12.9	27	0.1001	0.886190476
27-12-2019	6.097	1.067	13.21	27	0.07289	0.89
28-12-2019	5.822	1.294	13.52	27	0.06818	0.893809524
29-12-2019	6.11	0.74	13.83	27	0.05215	0.897619048
30-12-2019	6.621	1.561	14.14	27	0.08214	0.901428571
31-12-2019	6.468	2.456	14.45	27	0.07622	0.905238095
01-01-2020	6.45	2.284	14.76	27	0.04537	0.909047619
02-01-2020	6.405	0.5873	15.07	27	0.05159	0.912857143
03-01-2020	6.353	1.025	15.38	27	0.06906	0.916666667
04-01-2020	6.231	2.358	15.69	27	0.0475	0.92047619
05-01-2020	6.065	1.6	16	27	0.03355	0.924285714
