Date	Time	Tair	Rhair	GlobRad	DifRad	Windspeed
01-01-2001	00:00	7	85	0	0	11.3
01-01-2001	01:00	7.1	84	0	0	12.7
01-01-2001	02:00	7.2	83	0	0	14
01-01-2001	03:00	7.4	82	0	0	15.4
01-01-2001	04:00	7.6	81	0	0	15.4
01-01-2001	05:00	7.8	80	0	0	15.4
01-01-2001	06:00	7.9	80	0	0	15.4
01-01-2001	07:00	8.1	79	0	0	15.1
01-01-2001	08:00	8.4	79	0	0	14.7
01-01-2001	09:00	8.6	79	10	10	14.4
01-01-2001	10:00	8.3	74	55	50	14.4
01-01-2001	11:00	8.1	69	107	77	14.4
01-01-2001	12:00	7.8	63	130	65	14.4
01-01-2001	13:00	7	65	105	70	12.7
01-01-2001	14:00	6.3	67	53	38	11
01-01-2001	15:00	5.5	70	10	10	9.3
01-01-2001	16:00	5.3	72	0	0	9.6
01-01-2001	17:00	5.1	74	0	0	10
01-01-2001	18:00	4.9	77	0	0	10.3
01-01-2001	19:00	4.8	79	0	0	9.6
01-01-2001	20:00	4.7	81	0	0	8.9
01-01-2001	21:00	4.6	84	0	0	8.2
01-01-2001	22:00	4.9	84	0	0	8.2
01-01-2001	23:00	5.1	85	0	0	8.2
02-01-2001	00:00	5.4	86	0	0	8.2
02-01-2001	01:00	5.5	83	0	0	8.9
02-01-2001	02:00	5.6	80	0	0	9.6
02-01-2001	03:00	5.7	77	0	0	10.3
02-01-2001	04:00	5.6	74	0	0	12.2
02-01-2001	05:00	5.6	71	0	0	14
02-01-2001	06:00	5.5	69	0	0	15.9
02-01-2001	07:00	4.7	69	0	0	14.7
02-01-2001	08:00	3.9	70	1	1	13.5
02-01-2001	09:00	3.1	72	30	27	12.3
02-01-2001	10:00	3.8	69	84	77	11.6
02-01-2001	11:00	4.4	67	126	68	11
02-01-2001	12:00	5.1	66	136	60	10.3
02-01-2001	13:00	4.9	68	109	61	10
02-01-2001	14:00	4.7	71	55	38	9.6
02-01-2001	15:00	4.5	73	10	10	9.3
02-01-2001	16:00	4.4	75	0	0	8.9
02-01-2001	17:00	4.2	77	0	0	8.6
02-01-2001	18:00	4.1	80	0	0	8.2
02-01-2001	19:00	4.1	81	0	0	8.2
02-01-2001	20:00	4.2	82	0	0	8.2
02-01-2001	21:00	4.2	83	0	0	8.2
02-01-2001	22:00	3.9	84	0	0	9.6
02-01-2001	23:00	3.7	86	0	0	10.9
03-01-2001	00:00	3.4	87	0	0	12.3
03-01-2001	01:00	4.6	89	0	0	12.3
03-01-2001	02:00	5.9	89	0	0	12.3
03-01-2001	03:00	7.1	89	0	0	12.3
03-01-2001	04:00	7	89	0	0	12
03-01-2001	05:00	7	89	0	0	11.6
03-01-2001	06:00	6.9	89	0	0	11.3
03-01-2001	07:00	6.3	87	0	0	11.3
03-01-2001	08:00	5.7	85	1	1	11.3
03-01-2001	09:00	5.1	83	17	17	11.3
03-01-2001	10:00	4.3	83	72	43	12
03-01-2001	11:00	3.5	83	125	73	12.7
03-01-2001	12:00	2.7	82	140	69	13.4
03-01-2001	13:00	3.2	79	109	58	14.6
03-01-2001	14:00	3.6	75	50	44	15.8
03-01-2001	15:00	4.1	72	7	7	17
03-01-2001	16:00	4	74	0	0	16.6
03-01-2001	17:00	3.9	76	0	0	16.3
03-01-2001	18:00	3.8	78	0	0	15.9
03-01-2001	19:00	3.7	78	0	0	15.4
03-01-2001	20:00	3.7	78	0	0	14.9
03-01-2001	21:00	3.6	77	0	0	14.4
03-01-2001	22:00	3.4	78	0	0	14.1
03-01-2001	23:00	3.3	79	0	0	13.7
04-01-2001	00:00	3.1	79	0	0	13.4
04-01-2001	01:00	3	77	0	0	13.4
04-01-2001	02:00	2.9	75	0	0	13.4
04-01-2001	03:00	2.8	75	0	0	13.4
04-01-2001	04:00	2.4	79	0	0	12
04-01-2001	05:00	2	84	0	0	10.7
04-01-2001	06:00	1.6	90	0	0	9.3
04-01-2001	07:00	2.1	84	0	0	8.9
04-01-2001	08:00	2.5	78	1	1	8.6
04-01-2001	09:00	3	74	34	28	8.2
04-01-2001	10:00	3.5	70	92	83	7.9
04-01-2001	11:00	4	68	134	58	7.5
04-01-2001	12:00	4.5	67	142	79	7.2
04-01-2001	13:00	4.3	68	115	62	7.2
04-01-2001	14:00	4	70	59	40	7.2
04-01-2001	15:00	3.8	73	12	12	7.2
04-01-2001	16:00	3.2	76	0	0	6.9
04-01-2001	17:00	2.5	80	0	0	6.5
04-01-2001	18:00	1.9	84	0	0	6.2
04-01-2001	19:00	1.8	82	0	0	5.8
04-01-2001	20:00	1.8	80	0	0	5.5
04-01-2001	21:00	1.7	79	0	0	5.1
04-01-2001	22:00	1.3	78	0	0	5.5
04-01-2001	23:00	0.9	79	0	0	5.8
05-01-2001	00:00	0.5	81	0	0	6.2
05-01-2001	01:00	0.4	79	0	0	5.8
05-01-2001	02:00	0.3	79	0	0	5.5
05-01-2001	03:00	0.2	84	0	0	5.1
05-01-2001	04:00	0	81	0	0	4.8
05-01-2001	05:00	-0.2	84	0	0	4.4
05-01-2001	06:00	-0.4	85	0	0	4.1
05-01-2001	07:00	0.1	84	0	0	4.8
05-01-2001	08:00	0.5	86	2	2	5.5
05-01-2001	09:00	1	89	35	28	6.2
05-01-2001	10:00	1.7	84	93	84	5.8
05-01-2001	11:00	2.3	80	132	60	5.5
05-01-2001	12:00	3	77	137	81	5.1
05-01-2001	13:00	2.6	78	109	59	5.5
05-01-2001	14:00	2.1	79	56	41	5.8
05-01-2001	15:00	1.7	81	11	11	6.2
05-01-2001	16:00	1.8	82	0	0	6.5
05-01-2001	17:00	2	85	0	0	6.9
05-01-2001	18:00	2.1	87	0	0	7.2
05-01-2001	19:00	2.1	86	0	0	8.2
05-01-2001	20:00	2.2	86	0	0	9.3
05-01-2001	21:00	2.2	85	0	0	10.3
05-01-2001	22:00	2.1	87	0	0	10.3
05-01-2001	23:00	1.9	89	0	0	10.3
06-01-2001	00:00	1.8	91	0	0	10.3
06-01-2001	01:00	2.2	91	0	0	9.3
06-01-2001	02:00	2.5	91	0	0	8.2
06-01-2001	03:00	2.9	90	0	0	7.2
06-01-2001	04:00	2.9	90	0	0	7.2
06-01-2001	05:00	2.9	90	0	0	7.2
