Date	Time	Tair	Rhair	GlobRad	DifRad	Windspeed
01-01-2001	00:00	-2.3	90	0	0	5.2
01-01-2001	01:00	-2.4	92	0	0	6.2
01-01-2001	02:00	-2.1	94	0	0	5.8
01-01-2001	03:00	-1.6	95	0	0	5.5
01-01-2001	04:00	-0.9	95	0	0	5.1
01-01-2001	05:00	-0.3	95	0	0	4.8
01-01-2001	06:00	0.6	97	0	0	4.4
01-01-2001	07:00	1.1	98	0	0	4.1
01-01-2001	08:00	1.3	98	0	0	3.8
01-01-2001	09:00	1.4	98	0	0	3.4
01-01-2001	10:00	1.6	98	7	7	3.1
01-01-2001	11:00	1.2	98	14	14	3.3
01-01-2001	12:00	0.7	99	18	18	3.4
01-01-2001	13:00	0.3	100	14	14	3.6
01-01-2001	14:00	0.3	99	8	8	4.3
01-01-2001	15:00	0.2	98	0	0	5
01-01-2001	16:00	0.2	97	0	0	5.7
01-01-2001	17:00	0	93	0	0	6.2
01-01-2001	18:00	-0.3	89	0	0	6.7
01-01-2001	19:00	-0.5	85	0	0	7.2
01-01-2001	20:00	-0.5	83	0	0	7
01-01-2001	21:00	-0.4	81	0	0	6.9
01-01-2001	22:00	-0.4	78	0	0	6.7
01-01-2001	23:00	-0.7	78	0	0	6.2
02-01-2001	00:00	-1	78	0	0	5.6
02-01-2001	01:00	-1.3	78	0	0	5.1
02-01-2001	02:00	-1.8	85	0	0	5.5
02-01-2001	03:00	-2.4	92	0	0	5.8
02-01-2001	04:00	-2.9	100	0	0	6.2
02-01-2001	05:00	-2.7	95	0	0	6
02-01-2001	06:00	-2.6	91	0	0	5.9
02-01-2001	07:00	-2.4	86	0	0	5.7
02-01-2001	08:00	-2.3	86	0	0	5.7
02-01-2001	09:00	-2.1	85	0	0	5.7
02-01-2001	10:00	-2	85	19	19	5.7
02-01-2001	11:00	-1.8	82	41	38	6
02-01-2001	12:00	-1.7	80	51	48	6.4
02-01-2001	13:00	-1.5	78	41	33	6.7
02-01-2001	14:00	-1.9	80	18	18	6.4
02-01-2001	15:00	-2.3	81	0	0	6
02-01-2001	16:00	-2.7	83	0	0	5.7
