Date	Time	Tair	Rhair	GlobRad	Windspeed
1/1/2020	0:00	2.99	96.78	0	4.48
1/1/2020	1:00	2.88	97.47	0	4.28
1/1/2020	2:00	2.92	97.82	0	4.41
1/1/2020	3:00	2.76	94.45	0	4.9
1/1/2020	4:00	2.63	92.1	0	5.69
1/1/2020	5:00	2.1	92	0	5.71
1/1/2020	6:00	1.64	92.77	0	5.73
1/1/2020	7:00	1.59	92.64	0	5.67
1/1/2020	8:00	1.77	92.25	0	5.68
1/1/2020	9:00	1.53	92.63	0	5.87
1/1/2020	10:00	1.29	90.55	0	6.13
1/1/2020	11:00	1.28	93.5	0	6.25
1/1/2020	12:00	1.38	95.49	1.4	6.45
1/1/2020	13:00	1.3	96.32	9.5	6.2
1/1/2020	14:00	1.2	96.73	12.7	5.87
1/1/2020	15:00	0.95	96.94	8	5.72
1/1/2020	16:00	0.93	95.89	0.7	5.93
1/1/2020	17:00	0.83	93.2	0	6.26
1/1/2020	18:00	-0.06	94.6	0	6.52
1/1/2020	19:00	-0.08	95.99	0	4.94
1/1/2020	20:00	-0.27	95.08	0	4.76
1/1/2020	21:00	-0.43	93.13	0	4.86
1/1/2020	22:00	-1.82	91.26	0	4.32
1/1/2020	23:00	-2.11	91.79	0	4.38
2/1/2020	0:00	-2.35	87.92	0	4.27
2/1/2020	1:00	-2.53	89.78	0	4.22
2/1/2020	2:00	-2.89	89.21	0	4.29
2/1/2020	3:00	-3.34	89.58	0	4.39
2/1/2020	4:00	-3.44	86.62	0	4.33
2/1/2020	5:00	-3.74	86.92	0	4.5
2/1/2020	6:00	-3.21	85.27	0	4.24
2/1/2020	7:00	-2.92	88.6	0	3.17
2/1/2020	8:00	-3.02	92.08	0	1.72
2/1/2020	9:00	-2.62	92.03	0	1.29
2/1/2020	10:00	-3.92	89.19	0	2.18
2/1/2020	11:00	-4.55	85.64	0	2.57
2/1/2020	12:00	-5.61	81.86	2.6	4.41
2/1/2020	13:00	-5.57	82.06	17.9	5.65
2/1/2020	14:00	-5.85	79.8	21.8	4.91
2/1/2020	15:00	-6.86	79.14	16.2	3.23
2/1/2020	16:00	-6.63	78.99	1.6	2.04
2/1/2020	17:00	-8.44	79.39	0	2.21
