Date	Tavg	RHmax
01/01/2014	2.1	93.3
02/01/2014	1	95.2
03/01/2014	1.2	95.7
04/01/2014	3.1	95.2
05/01/2014	2.3	94.3
06/01/2014	1.2	95.3
07/01/2014	4.7	95.5
08/01/2014	1.7	96
09/01/2014	-0.4	96.2
10/01/2014	-0.9	94.9
11/01/2014	-8	90.5
12/01/2014	-13.5	86.5
13/01/2014	-17.4	87.2
14/01/2014	-10	92.2
15/01/2014	-7.8	91.3
16/01/2014	-7	90.9
17/01/2014	-7.8	88.5
18/01/2014	-7.9	86.1
19/01/2014	-6.8	84.7
20/01/2014	-6.7	85.6
21/01/2014	-8.4	87
22/01/2014	-11.7	87.8
23/01/2014	-10	86.5
24/01/2014	-9.7	87.7
25/01/2014	-7	89.4
26/01/2014	-7.2	88.8
27/01/2014	-5.1	89.5
28/01/2014	-3	93.1
29/01/2014	-5	92.7
30/01/2014	-6.6	88.1
31/01/2014	-5.4	91.3
01/02/2014	-5.5	93.4
02/02/2014	1.1	93.1
03/02/2014	1.6	95.9
04/02/2014	-0.2	96.1
05/02/2014	-0.9	95
06/02/2014	-1.4	95.1
07/02/2014	0.5	95.8
08/02/2014	-0.1	96.9
09/02/2014	1.4	95.1
10/02/2014	2.4	91.5
11/02/2014	0.9	95
12/02/2014	0.8	94.8
13/02/2014	0.4	95.6
14/02/2014	1.5	93.7
15/02/2014	1.3	96
16/02/2014	1.8	96.6
17/02/2014	-2.2	97.1
18/02/2014	-6.3	94.5
19/02/2014	-7.6	93.8
20/02/2014	-6.2	95.5
21/02/2014	-1.9	96.4
22/02/2014	1.1	96.2
23/02/2014	3.1	92.3
24/02/2014	4.6	93.4
25/02/2014	3.4	92.6
26/02/2014	1	95.1
27/02/2014	2.5	95.1
28/02/2014	1.7	94.9
01/03/2014	0.7	95.7
02/03/2014	0.3	94.8
03/03/2014	0.6	95.6
04/03/2014	1	94.9
05/03/2014	1.5	95.2
06/03/2014	3.7	94
07/03/2014	4.4	94.2
08/03/2014	4.2	74.9
09/03/2014	5.4	87
10/03/2014	4.1	93.6
11/03/2014	2.6	88
12/03/2014	4.4	91.7
13/03/2014	3.2	93.8
14/03/2014	3	92.4
15/03/2014	3	90.3
16/03/2014	0.2	93
17/03/2014	1.5	95.8
18/03/2014	-0.1	81.8
19/03/2014	-3.9	93.1
20/03/2014	0.8	93.1
21/03/2014	5.9	84.1
22/03/2014	3.2	91.7
23/03/2014	1.9	94
24/03/2014	1.1	96
25/03/2014	1.6	91.8
26/03/2014	3.5	55.7
27/03/2014	4.7	81.8
28/03/2014	5.3	82.4
29/03/2014	4	88.2
30/03/2014	5.9	92.8
31/03/2014	4.5	73.8
01/04/2014	1.2	87
02/04/2014	1.3	88.7
03/04/2014	2.8	86.9
04/04/2014	2.4	86.1
05/04/2014	1.4	94.4
06/04/2014	3.8	95.5
07/04/2014	7.6	96.1
08/04/2014	2.9	92.8
09/04/2014	1.6	95.4
10/04/2014	1.7	95.3
11/04/2014	4.8	96.2
12/04/2014	3.1	90.9
13/04/2014	6.4	93.2
14/04/2014	4.3	91.1
15/04/2014	4	78.4
16/04/2014	4.8	87.8
17/04/2014	4.6	94.9
18/04/2014	5.6	88.9
19/04/2014	5.9	93.3
20/04/2014	8	87.5
21/04/2014	10	93.2
22/04/2014	10.2	86.4
23/04/2014	10.1	61
24/04/2014	6.4	77.6
25/04/2014	7.1	84
26/04/2014	8.9	85.8
27/04/2014	10.5	90.9
28/04/2014	10.7	91.6
29/04/2014	6.3	88.6
30/04/2014	3	78.5
01/05/2014	4.1	69
02/05/2014	4.3	79.5
03/05/2014	3.7	82.1
