Date	Tavg	RHmax
01/01/2013	-0.2	99.4
02/01/2013	-6.8	98.8
03/01/2013	1.8	99.4
04/01/2013	1.4	98.8
05/01/2013	-2.8	99
06/01/2013	-2	99
07/01/2013	-0.8	98.8
08/01/2013	-3.4	98.8
09/01/2013	-3.5	98.5
10/01/2013	-1.8	82.7
11/01/2013	-3.9	75.3
12/01/2013	-9.8	95.9
13/01/2013	-13	91.9
14/01/2013	-12.7	86.8
15/01/2013	-9.9	86.3
16/01/2013	-10.6	84.3
17/01/2013	-7.5	86.9
18/01/2013	-7.6	86.5
19/01/2013	-12.2	93.5
20/01/2013	-5.3	91.6
21/01/2013	-7.2	84.4
22/01/2013	-12.5	92.4
23/01/2013	-14.4	90.9
24/01/2013	-10.6	94.2
25/01/2013	-13.9	93.9
26/01/2013	-4.8	97.8
27/01/2013	-4	97.2
28/01/2013	-0.1	99.7
29/01/2013	0.1	99.2
30/01/2013	2.5	99.2
31/01/2013	0.6	97.7
01/02/2013	-6.5	96.2
02/02/2013	-8.7	96.4
03/02/2013	-6.5	95.9
04/02/2013	-3.6	98.5
05/02/2013	-3.9	96.8
06/02/2013	-0.7	91.8
07/02/2013	-2.4	87.2
08/02/2013	-5.5	86.5
09/02/2013	-7.1	90.2
10/02/2013	-5.9	92.1
11/02/2013	-6.2	97.1
12/02/2013	-4.8	87.7
13/02/2013	-4.6	87.9
14/02/2013	-2.9	94.8
15/02/2013	-2.3	95.9
16/02/2013	-1.2	97.9
17/02/2013	0.3	98.7
18/02/2013	-0.2	98.6
19/02/2013	-1.9	90.7
20/02/2013	-5.7	97
21/02/2013	-10.3	94.8
22/02/2013	-5.5	94.4
23/02/2013	0.8	96.5
24/02/2013	0.7	98.4
25/02/2013	-0.5	97.5
26/02/2013	-4.7	97.5
27/02/2013	-4.9	97
28/02/2013	-1.1	94.3
01/03/2013	3.4	74.8
02/03/2013	3.9	80.2
03/03/2013	3.6	78
04/03/2013	1.9	97.1
05/03/2013	-0.6	98
06/03/2013	2.6	98.2
07/03/2013	-0.9	89.8
08/03/2013	-3.4	91.6
09/03/2013	-6.4	90.5
10/03/2013	-7.7	93.9
11/03/2013	-5.7	83.6
12/03/2013	-2.7	90.6
13/03/2013	-5.1	85.5
14/03/2013	-9	93
15/03/2013	-8.5	95.3
16/03/2013	-1	96.7
17/03/2013	-0.8	94.9
18/03/2013	-2.5	78.6
19/03/2013	-5.9	81.2
20/03/2013	-4.7	78.5
21/03/2013	-3.2	65.1
22/03/2013	-6.2	82.4
23/03/2013	-6.8	83.7
24/03/2013	-4.2	77.6
25/03/2013	-2.3	80.9
26/03/2013	-1.6	85.7
27/03/2013	-3.1	94.1
28/03/2013	-3.9	94.5
29/03/2013	-1.8	90.1
30/03/2013	-1.8	83.5
31/03/2013	-1.3	79.2
