Date	Tavg	RHmax
01/01/2005	1.8	98.7
02/01/2005	3.8	95.9
03/01/2005	3	81.8
04/01/2005	3.3	98.4
05/01/2005	4.3	94.3
06/01/2005	5	95.7
07/01/2005	7.5	95.9
08/01/2005	6	98.3
09/01/2005	4.1	92.4
10/01/2005	7.4	98.2
11/01/2005	6.7	96
12/01/2005	6.2	96.6
13/01/2005	5.5	79.9
14/01/2005	-1.2	96.5
15/01/2005	-0.2	96.7
16/01/2005	5.8	98.3
17/01/2005	6.4	98.2
18/01/2005	4.1	97.6
19/01/2005	0.7	98.5
20/01/2005	-0.1	98.6
21/01/2005	-2.2	97.6
22/01/2005	-2	97.7
23/01/2005	-1.9	90.5
24/01/2005	-1.4	85.8
25/01/2005	-4.4	94.3
26/01/2005	-3.4	94.4
27/01/2005	-2.2	97
28/01/2005	-0.9	97.9
29/01/2005	-0.6	98.4
30/01/2005	2	99.4
31/01/2005	4.3	85.2
01/02/2005	3.2	70.9
02/02/2005	0.9	96.6
03/02/2005	-1.6	98.4
04/02/2005	3.4	99
05/02/2005	4.4	99
06/02/2005	1.1	96.2
07/02/2005	-1.7	95.7
08/02/2005	-2.3	95.1
09/02/2005	0.1	97.4
10/02/2005	3.2	98.5
11/02/2005	1.8	84.4
12/02/2005	1	97.4
13/02/2005	-0.1	93.5
14/02/2005	-1	74.2
15/02/2005	-3.3	82.6
16/02/2005	-7.2	92.9
17/02/2005	-2.5	97.4
18/02/2005	1.4	98.5
19/02/2005	0.9	98.8
20/02/2005	0.2	81.6
21/02/2005	0.3	87.7
22/02/2005	-4.1	76.2
23/02/2005	-7.8	78.1
24/02/2005	-6.4	76.8
25/02/2005	-3.6	92.1
26/02/2005	-1.9	89.1
27/02/2005	-4.6	77.8
28/02/2005	-3.1	97.4
01/03/2005	-8.2	89.3
02/03/2005	-11.2	89.2
03/03/2005	-10.6	96.7
04/03/2005	-0.9	96
05/03/2005	-3.4	94.9
06/03/2005	-4.3	95.2
07/03/2005	-0.1	96.6
08/03/2005	0.8	95
09/03/2005	-0.1	96.4
10/03/2005	-1.5	95.9
11/03/2005	1.1	98.5
12/03/2005	-4	92.7
13/03/2005	-6.3	90.9
14/03/2005	-4.7	97
15/03/2005	-5.9	96.8
16/03/2005	-1.9	97.9
17/03/2005	0.6	99.3
18/03/2005	0.2	76.8
19/03/2005	-4.5	88.7
20/03/2005	-3.1	97.1
21/03/2005	-1.5	97.7
22/03/2005	0.2	98.3
23/03/2005	-0.6	98.5
24/03/2005	0.8	99.2
25/03/2005	1	99.9
26/03/2005	5.7	100
27/03/2005	4.9	97
28/03/2005	3.6	96.8
29/03/2005	5.8	92.2
30/03/2005	4	96.2
31/03/2005	2.3	98.2
01/04/2005	3	99.2
02/04/2005	4	98.1
03/04/2005	4.2	97.9
04/04/2005	6	97.6
05/04/2005	5.8	98.1
06/04/2005	4.3	96.6
07/04/2005	4.7	98.6
08/04/2005	3.8	98
09/04/2005	4.3	98.2
10/04/2005	4.5	98.6
11/04/2005	9.6	92.9
12/04/2005	7.7	98.3
13/04/2005	5.2	94.5
14/04/2005	5.2	97.6
15/04/2005	6.9	98.8
16/04/2005	7.7	98
17/04/2005	8.5	93
18/04/2005	7.7	82.4
19/04/2005	6.2	95.5
20/04/2005	5.1	92.9
21/04/2005	6.5	95.4
22/04/2005	5.6	96.1
23/04/2005	5.1	97.5
24/04/2005	5.3	97.8
25/04/2005	7.5	98.6
26/04/2005	7.2	95.4
27/04/2005	7.8	97.4
28/04/2005	9.1	84.5
29/04/2005	7.8	98
30/04/2005	8.3	98.8
01/05/2005	8.8	98.5
02/05/2005	8.4	98.6
03/05/2005	9.6	98.8
04/05/2005	8.7	99.1
05/05/2005	6.9	97.8
06/05/2005	7.7	99
07/05/2005	7.8	94.3
08/05/2005	5.7	98.4
09/05/2005	6.8	95.6
10/05/2005	6.6	98.4
11/05/2005	9.5	99
12/05/2005	10.1	95.6
13/05/2005	11.2	88.9
14/05/2005	11.9	85.1
15/05/2005	11.5	94
16/05/2005	6.5	97.2
17/05/2005	7	92.4
18/05/2005	6.5	97.2
19/05/2005	8.7	86
20/05/2005	8.9	97.7
21/05/2005	9.7	98.5
22/05/2005	11.4	98.6
23/05/2005	12.7	98.7
24/05/2005	10.9	95.6
25/05/2005	10.5	98.5
26/05/2005	11.6	98.8
27/05/2005	14.1	96.7
28/05/2005	8.7	97.1
29/05/2005	11.4	97.4
30/05/2005	11.7	96.1
31/05/2005	9.6	97.2
01/06/2005	10.3	96.2
02/06/2005	8.6	98.1
03/06/2005	10.1	98.2
04/06/2005	12	98.5
05/06/2005	14.1	98.3
06/06/2005	10.6	90.7
07/06/2005	11.2	94.1
08/06/2005	11.1	97.4
09/06/2005	14	97.9
10/06/2005	14.5	66.2
11/06/2005	12.4	78.3
12/06/2005	11	97.6
13/06/2005	10.7	97.9
14/06/2005	11.3	97.2
15/06/2005	14.2	97.9
16/06/2005	14.1	98.2
17/06/2005	13.6	97.6
18/06/2005	14.4	96.7
19/06/2005	15.1	98.4
20/06/2005	15.9	97.5
21/06/2005	15.9	95.8
22/06/2005	18	96.2
23/06/2005	16.3	94.8
24/06/2005	18.6	95.9
25/06/2005	16.7	87.3
26/06/2005	15.8	90.5
27/06/2005	16.1	90
28/06/2005	16.5	77.5
29/06/2005	16.3	92
30/06/2005	16.5	95.7
01/07/2005	15.8	96.7
02/07/2005	17.3	98.1
03/07/2005	17.4	98.1
04/07/2005	20.2	97
05/07/2005	20.6	86.1
06/07/2005	20.6	96.1
07/07/2005	21	97.1
08/07/2005	21.8	97.9
09/07/2005	22.2	97.5
10/07/2005	20.3	97.8
11/07/2005	21.8	92.8
12/07/2005	20.1	96.9
13/07/2005	20.9	97.1
14/07/2005	17.9	73.5
15/07/2005	16.1	98.1
16/07/2005	16.1	98.5
17/07/2005	17.7	96.1
18/07/2005	18.8	98.3
19/07/2005	16.9	97.7
20/07/2005	16.5	98.2
21/07/2005	17.3	97.7
22/07/2005	18.2	96.9
23/07/2005	16.4	84.8
24/07/2005	15.4	97.1
25/07/2005	14	97
26/07/2005	14.8	97.2
27/07/2005	15.9	98.1
28/07/2005	15.1	98.1
29/07/2005	16.4	97.3
30/07/2005	17.2	89.6
