Date	Time	Tair	Rhair	GlobRad	DifRad	Windspeed
01-05-2001	00:00	4.7	85	0	0	2.6
01-05-2001	01:00	4.1	84	0	0	2.6
01-05-2001	02:00	3.8	84	0	0	2.6
01-05-2001	03:00	3.9	82	0	0	2.6
01-05-2001	04:00	4.3	81	3	3	3.3
01-05-2001	05:00	4.8	79	37	37	3.9
01-05-2001	06:00	7.2	75	86	86	4.6
01-05-2001	07:00	9.2	64	182	167	5.1
01-05-2001	08:00	11.2	54	293	242	5.7
01-05-2001	09:00	13.2	46	403	318	6.2
01-05-2001	10:00	14.3	44	577	309	6.2
01-05-2001	11:00	15.4	43	694	262	6.2
01-05-2001	12:00	16.5	41	738	194	6.2
01-05-2001	13:00	16.7	43	696	142	5.5
01-05-2001	14:00	17	45	611	132	4.8
01-05-2001	15:00	17.2	47	491	133	4.1
01-05-2001	16:00	15.8	51	350	125	3.2
01-05-2001	17:00	14.5	54	199	98	2.4
01-05-2001	18:00	13.1	58	70	58	1.5
01-05-2001	19:00	11.5	65	8	8	1.3
01-05-2001	20:00	9.8	71	0	0	1.2
01-05-2001	21:00	8.2	79	0	0	1
01-05-2001	22:00	7.7	80	0	0	1.2
01-05-2001	23:00	7.3	81	0	0	1.3
02-05-2001	00:00	6.8	82	0	0	1.5
02-05-2001	01:00	6.4	84	0	0	1.3
02-05-2001	02:00	5.9	87	0	0	1.2
02-05-2001	03:00	5.5	89	0	0	1
02-05-2001	04:00	7.2	85	4	4	1
02-05-2001	05:00	9	81	51	46	1
02-05-2001	06:00	10.7	77	173	95	1
02-05-2001	07:00	12.5	66	323	135	1.5
02-05-2001	08:00	14.3	58	470	146	2.1
02-05-2001	09:00	16.1	50	592	146	2.6
02-05-2001	10:00	15.9	51	684	143	2.9
02-05-2001	11:00	15.8	53	734	151	3.3
02-05-2001	12:00	15.6	54	738	152	3.6
02-05-2001	13:00	15	57	697	147	3.9
02-05-2001	14:00	14.5	60	613	136	4.3
02-05-2001	15:00	13.9	64	493	135	4.6
02-05-2001	16:00	13.7	65	352	127	4.4
02-05-2001	17:00	13.6	66	202	100	4.3
02-05-2001	18:00	13.4	67	72	60	4.1
02-05-2001	19:00	12.5	70	8	8	3.9
02-05-2001	20:00	11.7	73	0	0	3.8
02-05-2001	21:00	10.8	76	0	0	3.6
02-05-2001	22:00	10.3	78	0	0	3.4
02-05-2001	23:00	9.7	80	0	0	3.3
03-05-2001	00:00	9.2	82	0	0	3.1
03-05-2001	01:00	8.7	81	0	0	2.8
03-05-2001	02:00	8.3	79	0	0	2.4
03-05-2001	03:00	7.8	77	0	0	2.1
03-05-2001	04:00	8.7	75	5	5	2.6
03-05-2001	05:00	9.7	72	54	48	3.1
03-05-2001	06:00	10.6	69	177	96	3.6
03-05-2001	07:00	12.3	64	327	136	4.1
03-05-2001	08:00	14.1	59	473	147	4.6
03-05-2001	09:00	15.8	54	595	148	5.1
03-05-2001	10:00	16.9	49	687	145	5.3
03-05-2001	11:00	17.9	43	738	151	5.5
03-05-2001	12:00	19	39	744	151	5.7
03-05-2001	13:00	18.8	39	708	136	5.7
03-05-2001	14:00	18.5	39	627	122	5.7
03-05-2001	15:00	18.3	38	507	123	5.7
03-05-2001	16:00	17	42	361	131	5.3
03-05-2001	17:00	15.8	46	207	100	5
03-05-2001	18:00	14.5	50	75	62	4.6
