Date	Tavg	RHmax
01/01/2006	-4.5	97.1
02/01/2006	-11.2	95.2
03/01/2006	-11.6	95
04/01/2006	-8.6	94.7
05/01/2006	-6.7	95.7
06/01/2006	-5.6	96.1
07/01/2006	-7.2	95.6
08/01/2006	-6.5	95.6
09/01/2006	-4.5	95.5
10/01/2006	-0.4	98.4
11/01/2006	4.1	95.6
12/01/2006	2.4	86.4
13/01/2006	2.8	86.8
14/01/2006	0.1	95.8
15/01/2006	0	97.6
16/01/2006	-2.7	96.3
17/01/2006	-4.9	90.5
18/01/2006	-2.9	93.5
19/01/2006	-8.8	85.2
20/01/2006	-8.8	89.4
21/01/2006	-10.5	92.5
22/01/2006	-10.9	95.8
23/01/2006	-1.3	92.5
24/01/2006	0.4	96.9
25/01/2006	-2.8	98.1
26/01/2006	-10	98.7
27/01/2006	-11.9	95.1
28/01/2006	-7	99
29/01/2006	-6.4	99
30/01/2006	-1.3	98.6
31/01/2006	-2.2	99.9
01/02/2006	-6.8	99.4
02/02/2006	-3	99.6
03/02/2006	-7.4	98
04/02/2006	-12.5	92.5
05/02/2006	-8.8	92.1
06/02/2006	-5.3	97.6
07/02/2006	-5.5	97.3
08/02/2006	-3.2	95.3
09/02/2006	-4.3	96.1
10/02/2006	-9.9	97
11/02/2006	-16.5	92.2
12/02/2006	-18.8	90.7
13/02/2006	-16.1	92.1
14/02/2006	-12	94.9
15/02/2006	-3.2	97.4
16/02/2006	-1.8	92.5
17/02/2006	-4.5	92
18/02/2006	-6.3	93.3
19/02/2006	-5.6	94.2
20/02/2006	-10.4	93.3
21/02/2006	-11.7	95.8
22/02/2006	-6.5	95.5
23/02/2006	3	97.9
24/02/2006	0.6	100
25/02/2006	-2.1	98.4
26/02/2006	-6.8	95.9
27/02/2006	-7.4	95.5
28/02/2006	-6.1	89.3
01/03/2006	-5.6	95.1
02/03/2006	-5.9	93.1
03/03/2006	-12.2	95.3
04/03/2006	-12.9	91.5
05/03/2006	-11.6	91.7
06/03/2006	-15.5	92.2
07/03/2006	-15.5	93.3
08/03/2006	-14.1	92.4
09/03/2006	-9.5	96.4
10/03/2006	-14.9	90.3
11/03/2006	-11	90.5
12/03/2006	-6.1	95.9
13/03/2006	-12.2	92.4
14/03/2006	-10.7	90.1
15/03/2006	-4.2	94.8
16/03/2006	-4.3	94.7
17/03/2006	-3.7	93.8
18/03/2006	-2	98.3
19/03/2006	-2.5	99.2
20/03/2006	-6.2	94.7
21/03/2006	-6.4	93.5
22/03/2006	-6.9	91.8
23/03/2006	-7	79.1
24/03/2006	-6.8	87.8
25/03/2006	-8.4	92.8
26/03/2006	-6	92.7
27/03/2006	-0.8	99.6
28/03/2006	1.3	99.8
29/03/2006	2.5	99.5
30/03/2006	1.7	98.9
31/03/2006	-0.6	94.1
01/04/2006	-0.4	96.2
02/04/2006	-0.6	96.6
03/04/2006	1.3	97.7
04/04/2006	0.9	97.2
05/04/2006	0.4	97.6
06/04/2006	-0.9	99.1
07/04/2006	2.6	95.9
08/04/2006	2.1	96.7
09/04/2006	1	98.2
10/04/2006	1.1	98.4
11/04/2006	0.7	96.1
12/04/2006	1.4	97.3
13/04/2006	2.2	97.8
14/04/2006	3.7	97
15/04/2006	4	94.6
16/04/2006	3.6	91.7
17/04/2006	4.3	95
18/04/2006	4.4	89.9
19/04/2006	3.7	94.1
20/04/2006	4	91.8
21/04/2006	3.1	97.4
22/04/2006	4.8	94.6
23/04/2006	7.4	83.8
24/04/2006	4.8	96
25/04/2006	5.3	97.1
26/04/2006	7	95.1
27/04/2006	6.6	97.4
28/04/2006	4.7	95.3
29/04/2006	4.5	97.2
30/04/2006	9.3	79
01/05/2006	5.1	93
02/05/2006	4.4	98
03/05/2006	7.7	99
04/05/2006	11.9	96.9
05/05/2006	12.4	96.2
06/05/2006	12	95.4
