Date	Tavg	RHmax
01/01/2013	-2.8	100
02/01/2013	-6.7	98.3
03/01/2013	-5.6	98.8
04/01/2013	-3.3	99.8
05/01/2013	-3.2	100
06/01/2013	-2.7	100
07/01/2013	-1.7	100
08/01/2013	-4	98.8
09/01/2013	-7.5	98
10/01/2013	-5.7	97.3
11/01/2013	-10.4	93.9
12/01/2013	-19.3	89.2
13/01/2013	-20.8	87.8
14/01/2013	-21.3	86.9
15/01/2013	-17.8	87.3
16/01/2013	-18.3	89.1
17/01/2013	-13.2	91.6
18/01/2013	-17.8	90.5
19/01/2013	-17.8	90.1
20/01/2013	-10.4	95.5
21/01/2013	-19.9	90.9
22/01/2013	-22.6	88.6
23/01/2013	-21.4	89.3
24/01/2013	-14.8	91.1
25/01/2013	-19.4	87.5
26/01/2013	-13.5	93.3
27/01/2013	-6.5	96.3
28/01/2013	-4.9	98.6
29/01/2013	0	98.9
30/01/2013	0.8	98.9
31/01/2013	-2.5	97.7
01/02/2013	-15.4	95.4
02/02/2013	-13.3	95.6
03/02/2013	-12.3	95.4
04/02/2013	-6.6	97.7
05/02/2013	-10.3	96.3
06/02/2013	-2.5	97.9
07/02/2013	-7.5	94.6
08/02/2013	-9.7	93.7
09/02/2013	-12.9	91.3
10/02/2013	-10.6	93.7
11/02/2013	-9.3	94.9
12/02/2013	-7.9	95.7
13/02/2013	-7.3	95.7
14/02/2013	-4.7	94.2
15/02/2013	-4.6	97.7
16/02/2013	-4.9	97.8
17/02/2013	-5.5	96.2
18/02/2013	-3.3	98
19/02/2013	-5.7	96.2
20/02/2013	-11.5	94.1
21/02/2013	-16.6	89.6
22/02/2013	-9.2	94.3
23/02/2013	-2	97.2
24/02/2013	-3.8	98.4
25/02/2013	-10.5	96.8
26/02/2013	-9.8	92.3
27/02/2013	-7.5	94.9
28/02/2013	-2.9	96.6
01/03/2013	0.7	88
02/03/2013	0.9	89.1
03/03/2013	-0.1	75.8
04/03/2013	-3.7	95
05/03/2013	-5.4	97.8
06/03/2013	-4	97.4
07/03/2013	-10.1	91.8
08/03/2013	-11.3	91.4
09/03/2013	-7.6	78.1
10/03/2013	-15.3	85.5
11/03/2013	-11.3	79.6
12/03/2013	-4.4	74.9
13/03/2013	-10.2	85
14/03/2013	-13.4	87.1
15/03/2013	-12.1	94.2
16/03/2013	-3.8	95.7
17/03/2013	-4.2	93.1
18/03/2013	-4.7	87.2
19/03/2013	-8.8	80.3
20/03/2013	-5.9	69.3
21/03/2013	-5.3	58.8
22/03/2013	-10	88.8
23/03/2013	-12.2	85.2
24/03/2013	-8.3	89.3
25/03/2013	-5.4	87.3
26/03/2013	-7.6	91.5
27/03/2013	-8.2	91.1
28/03/2013	-7.7	90.3
29/03/2013	-6	88.6
30/03/2013	-4.1	87.8
31/03/2013	-5.7	88.1
01/04/2013	-3.5	87.2
02/04/2013	-1.4	84
03/04/2013	0.6	84.3
04/04/2013	-0.5	90.8
05/04/2013	-1.3	87.3
06/04/2013	-1.1	89.3
07/04/2013	-0.6	69.6
08/04/2013	-1.5	72.5
09/04/2013	-3.7	83.2
10/04/2013	-2.2	85.3
11/04/2013	-0.7	93.8
12/04/2013	1.9	93.9
13/04/2013	1.1	98.5
14/04/2013	1.7	99.2
15/04/2013	5.3	97.6
16/04/2013	5.3	96.9
17/04/2013	7.1	92.7
18/04/2013	5.8	97.5
19/04/2013	4.5	96.4
20/04/2013	3.7	88.6
21/04/2013	5	88
22/04/2013	4.9	83.4
23/04/2013	6.9	94.1
24/04/2013	6.8	67.5
25/04/2013	6.5	80.3
26/04/2013	5.6	97.3
27/04/2013	4.3	86.8
28/04/2013	2.7	92
29/04/2013	3.8	94.3
30/04/2013	5.9	94.4
01/05/2013	4.1	90.8
02/05/2013	5.6	73.3
03/05/2013	3	93.7
04/05/2013	3.7	96.1
05/05/2013	9.1	87.4
06/05/2013	11.1	94.1
07/05/2013	13.3	95.8
08/05/2013	11.9	97.1
09/05/2013	11.3	97.9
10/05/2013	9.5	93.3
11/05/2013	9.7	94.2
12/05/2013	8.1	96.6
13/05/2013	6.7	96.6
14/05/2013	6.3	96.6
15/05/2013	8	90.4
16/05/2013	15	72.3
17/05/2013	14.3	92
18/05/2013	18.4	93.3
19/05/2013	18.5	98.7
20/05/2013	15.5	98.6
21/05/2013	13.3	98.9
22/05/2013	12.4	99.5
23/05/2013	10	96.8
24/05/2013	11.3	98.5
25/05/2013	14.7	96.7
26/05/2013	16.9	86.3
27/05/2013	13.5	95
28/05/2013	14.5	96.8
29/05/2013	18.4	75.1
30/05/2013	18	93.2
31/05/2013	16.9	97.8
01/06/2013	14.9	97.8
02/06/2013	14.4	96.6
03/06/2013	12	92.5
04/06/2013	9.7	90.4
05/06/2013	9.7	95.2
06/06/2013	11.2	96.9
07/06/2013	13.4	96.1
08/06/2013	13.1	89.7
09/06/2013	10.8	93.6
10/06/2013	13.3	83.3
11/06/2013	13.8	84.3
12/06/2013	12.5	96.4
13/06/2013	12.3	97.7
14/06/2013	15	98.3
15/06/2013	13.6	86.5
16/06/2013	12.3	97.5
17/06/2013	15.1	90.4
18/06/2013	15.2	87.2
19/06/2013	15.4	97.5
20/06/2013	17.4	97.9
21/06/2013	16.6	95.5
22/06/2013	15.2	97.4
23/06/2013	14.4	96.6
24/06/2013	12.8	96.1
25/06/2013	15	95.5
26/06/2013	13.3	89.1
27/06/2013	14.9	98.8
28/06/2013	13.8	99.4
29/06/2013	11.7	97.9
