Date	Tavg	RHmax
01/01/2012	1.4	96.7
02/01/2012	2.6	96.6
03/01/2012	3	95.8
04/01/2012	2.8	94.4
05/01/2012	-1.3	90.8
06/01/2012	-1.4	92.5
07/01/2012	-0.4	96.7
08/01/2012	-3.6	96.4
09/01/2012	-6	97.1
10/01/2012	-2	97.5
11/01/2012	3.1	96.7
12/01/2012	4.1	90.5
13/01/2012	3.6	52.6
14/01/2012	0.1	87.8
15/01/2012	-2.6	95.8
16/01/2012	-4.1	96.1
17/01/2012	-4	97.3
18/01/2012	-0.3	97.3
19/01/2012	0.3	94.7
20/01/2012	-6.6	95.7
21/01/2012	-4.1	97.9
22/01/2012	-1.2	92.2
23/01/2012	-5.1	94.4
24/01/2012	-5	94.2
25/01/2012	-5.2	91.1
26/01/2012	-3.2	89.6
27/01/2012	-1.2	84.5
28/01/2012	-2.8	90.1
29/01/2012	-4.1	93.4
30/01/2012	-4.9	91.4
31/01/2012	-5.4	83.1
01/02/2012	-7.9	86.6
02/02/2012	-8.9	89.4
03/02/2012	-13.4	86.4
04/02/2012	-13.5	89.6
05/02/2012	-5.6	94.5
06/02/2012	-2.9	95.1
07/02/2012	-4	93.4
08/02/2012	-4.5	96.1
09/02/2012	-8.4	92.9
10/02/2012	-5.3	93.3
11/02/2012	-7.6	93.5
12/02/2012	-6.8	95.4
13/02/2012	-7.2	96.7
14/02/2012	-3.5	97
15/02/2012	1.3	78.4
16/02/2012	-0.5	98.1
17/02/2012	-1.6	96
18/02/2012	1.5	98.5
19/02/2012	0.7	98.6
20/02/2012	0.3	94.6
21/02/2012	2.6	95.3
22/02/2012	3	98.3
23/02/2012	5.5	98.2
24/02/2012	5.4	98
25/02/2012	4.7	70.6
26/02/2012	-0.2	91.1
27/02/2012	1.2	98.7
28/02/2012	5.6	98.9
29/02/2012	2.8	98.6
01/03/2012	5.3	98.4
02/03/2012	3.1	91.1
03/03/2012	-0.5	93.1
04/03/2012	-0.4	91.2
05/03/2012	-0.5	85.6
06/03/2012	-0.6	89.7
07/03/2012	0.4	98.9
08/03/2012	-0.5	98.9
09/03/2012	3	99
10/03/2012	4.4	98.8
11/03/2012	6	89.4
12/03/2012	10.5	73.1
13/03/2012	10.2	81.2
14/03/2012	3	93.3
15/03/2012	3.5	98.6
16/03/2012	4.1	96.5
17/03/2012	3.7	99.1
18/03/2012	2.3	99.2
19/03/2012	4.2	81.8
20/03/2012	8.7	96.6
21/03/2012	10.8	85.1
22/03/2012	8.9	96
23/03/2012	6.9	96.8
24/03/2012	5.8	97.9
25/03/2012	7.1	97.2
26/03/2012	7.1	96.3
27/03/2012	12.3	96.3
28/03/2012	10.8	62.7
29/03/2012	8.5	69.7
30/03/2012	5.8	92.5
31/03/2012	3.3	85.1
01/04/2012	3.2	90
02/04/2012	1.9	54
03/04/2012	0.7	82.5
04/04/2012	0.9	87.5
05/04/2012	3.3	85.1
06/04/2012	2.6	88.5
07/04/2012	0.5	77.3
08/04/2012	0.3	92.5
09/04/2012	3.1	98
10/04/2012	5.5	97.8
11/04/2012	4.9	97.8
12/04/2012	4.7	97.1
13/04/2012	5.4	97.3
14/04/2012	4.9	95.7
15/04/2012	4.1	97.7
16/04/2012	2.7	96.9
17/04/2012	2.9	96.9
