Date	Tmin	Tmax	Tavg	I
01/12/2005	-0.7	3.4	2	1.2
02/12/2005	-0.1	1.7	0.7	1.4
03/12/2005	0.1	1.4	1	0.5
04/12/2005	0.8	4	2.3	0.5
05/12/2005	1.8	5.9	5	0.5
06/12/2005	4.1	5.6	5	0.7
07/12/2005	2.5	5.8	4.4	1.8
08/12/2005	1.3	4	2.5	1.1
09/12/2005	-1.5	2.1	0.1	2.9
10/12/2005	-1.3	4.4	2.1	0.7
11/12/2005	2	9.2	7.8	0.5
12/12/2005	5.5	8.6	5.5	2.6
13/12/2005	2.1	6.3	4.8	1.5
14/12/2005	4.3	6.7	5.5	0.8
15/12/2005	2.7	8.1	6.3	2.6
16/12/2005	1.3	4.5	1.2	0.8
17/12/2005	-4.2	0.7	-1.3	2.5
18/12/2005	-2.8	1.6	-0.7	2.7
19/12/2005	-8	2.9	-0.1	0.5
20/12/2005	0.8	5.8	3.3	1.2
21/12/2005	-1.5	5.3	1.8	1
22/12/2005	0.4	6.3	4.6	2.4
23/12/2005	-0.7	7.6	3.8	0.9
24/12/2005	-0.7	7.7	5.7	1
25/12/2005	-0.4	2.6	1	2.5
26/12/2005	-1.3	2.2	-0.2	1.8
27/12/2005	-1.7	0.3	-0.6	1.8
28/12/2005	-3.2	-1.4	-2.1	2
29/12/2005	-3.6	-0.9	-2.2	1.3
30/12/2005	-2.4	1.3	-0.3	1.7
31/12/2005	-3	-0.8	-2.5	1.5
01/01/2006	0	4.7	2.8	1.4
02/01/2006	0.7	6.2	3.6	1.3
03/01/2006	1.4	7	4.1	2
04/01/2006	2.6	7.7	7.3	0.3
05/01/2006	4.4	6.2	5.1	1.8
06/01/2006	4.3	6.5	5.4	3
07/01/2006	4.9	9.4	8.2	0.2
08/01/2006	8.1	9.8	7.9	0.7
09/01/2006	4.8	7.4	6.2	2.1
10/01/2006	5.1	10.5	8.7	0.4
11/01/2006	5.7	8	6.8	1.7
12/01/2006	5.6	8	6.6	2.9
13/01/2006	4.1	5.8	4.4	2.9
14/01/2006	3	5.7	3.5	3.3
15/01/2006	-1.2	2.3	0.8	1.3
16/01/2006	-1.1	3.2	2	2.8
17/01/2006	0.8	5.3	3.6	0.6
18/01/2006	3.1	4.8	3.8	0.8
19/01/2006	0.8	4.1	2.2	1.1
20/01/2006	0.5	6.3	4	1.9
21/01/2006	0.6	4.6	2.8	4
22/01/2006	0.6	3.6	1.7	4.8
23/01/2006	-0.1	2.9	0.4	3
24/01/2006	-2.4	0.3	-1	5
25/01/2006	-4.7	-1.5	-2.8	5.3
26/01/2006	-5	0.1	-2.6	4.6
27/01/2006	-4	1.3	-0.5	3.9
28/01/2006	-1.9	0.2	-2.6	3.1
29/01/2006	-9.6	1.2	-2.6	3.5
30/01/2006	-3.3	5.6	3.3	1.7
31/01/2006	2.1	6.5	4.3	4
