Date	Tavg	RHmax
01/01/2015	2.5	99.8
02/01/2015	4	98.5
03/01/2015	0.5	86.5
04/01/2015	-2	85
05/01/2015	-4.5	91.5
06/01/2015	0.4	99
07/01/2015	0.6	99.1
08/01/2015	2.3	99.2
09/01/2015	-3.7	98.3
10/01/2015	-3.2	99.8
11/01/2015	-6.2	95.8
12/01/2015	-5.7	99.6
13/01/2015	0.7	93
14/01/2015	-2.8	98.5
15/01/2015	0.3	99.6
16/01/2015	2.3	99.5
17/01/2015	-0.7	98.6
18/01/2015	-6.4	97.6
19/01/2015	-4	95.8
20/01/2015	-2.7	94.6
21/01/2015	-2.1	95.5
22/01/2015	-4.6	95
23/01/2015	-11.7	99.6
24/01/2015	-0.3	99.6
25/01/2015	-5.9	98.5
26/01/2015	0.8	99.8
27/01/2015	-4.8	98.8
28/01/2015	1.7	97.9
29/01/2015	0.5	98.6
30/01/2015	-1	96.4
31/01/2015	-1.4	93.3
01/02/2015	-3.2	87.2
02/02/2015	-4.6	89.1
03/02/2015	-6.4	93.6
04/02/2015	-11.8	94.7
05/02/2015	-12.7	93.3
06/02/2015	-7.6	96
07/02/2015	-2.3	99.8
08/02/2015	-0.7	82.1
09/02/2015	1.4	93.3
10/02/2015	3.3	95.5
11/02/2015	2.8	90.3
12/02/2015	-0.1	98.7
13/02/2015	0	99.3
14/02/2015	0.4	99.6
15/02/2015	-1.1	91.5
16/02/2015	-2.4	93.8
17/02/2015	0.6	97.4
18/02/2015	3.6	93.5
19/02/2015	3.9	98.4
20/02/2015	3.1	94.4
21/02/2015	0	99.5
22/02/2015	-0.7	97.4
23/02/2015	0.6	97.9
24/02/2015	1.2	98.8
25/02/2015	2.3	98.8
26/02/2015	1.9	99
27/02/2015	0.7	99.7
28/02/2015	0.4	99.7
01/03/2015	1.1	97.7
02/03/2015	2.5	97
03/03/2015	0.6	99.7
04/03/2015	-1.8	99.2
05/03/2015	-0.2	97.1
06/03/2015	4.2	97.3
07/03/2015	5.3	94.6
08/03/2015	6.1	98.4
09/03/2015	3.7	91.2
10/03/2015	5.9	97.4
11/03/2015	4	93.9
12/03/2015	3.3	97
13/03/2015	1.1	97.7
14/03/2015	0.7	93.2
15/03/2015	2.1	96.2
16/03/2015	3.4	82.5
17/03/2015	3.3	96
18/03/2015	2.2	99.8
19/03/2015	1.9	99.8
20/03/2015	2.7	99.8
21/03/2015	-0.8	87.1
22/03/2015	-0.5	96.7
23/03/2015	4.3	95.9
24/03/2015	4.9	79.5
25/03/2015	1	89.6
26/03/2015	-1.1	99.4
27/03/2015	1.4	99.8
28/03/2015	1	99.7
29/03/2015	2.4	99.6
30/03/2015	2.5	99.8
31/03/2015	0.9	99.6
01/04/2015	2.1	98.4
02/04/2015	3.3	71.3
03/04/2015	2.7	92
04/04/2015	2	87.5
05/04/2015	1.3	92.8
06/04/2015	3.8	92.4
07/04/2015	8.3	91.1
08/04/2015	7.9	63.3
09/04/2015	8	74.3
10/04/2015	8.3	92.9
11/04/2015	6.7	99.2
12/04/2015	6.8	94.7
13/04/2015	3.8	92.1
14/04/2015	1.4	96.5
15/04/2015	4.8	94.8
16/04/2015	5.2	92.3
17/04/2015	6.5	78
18/04/2015	5	96.3
19/04/2015	8.5	96.3
20/04/2015	12.7	75.7
21/04/2015	10.1	68.2
22/04/2015	10.1	87.9
23/04/2015	9.5	68.9
24/04/2015	5.6	89
25/04/2015	6.9	95.5
26/04/2015	5.8	92.8
27/04/2015	3.6	99.6
28/04/2015	4.2	98.1
29/04/2015	3.6	97.4
30/04/2015	5.1	98.7
01/05/2015	5.6	98.7
02/05/2015	6.4	84.8
03/05/2015	5.9	81.2
04/05/2015	5.5	98.6
05/05/2015	7.7	99.8
06/05/2015	10.6	98.8
07/05/2015	8.2	94.8
08/05/2015	7.4	86.2
09/05/2015	6.4	94.8
10/05/2015	7.4	96.8
11/05/2015	7.8	97.9
12/05/2015	8.6	97.7
13/05/2015	8.7	98.8
14/05/2015	7.9	79.4
15/05/2015	7.9	86.6
16/05/2015	6.8	98.6
17/05/2015	4.8	98.8
18/05/2015	8.1	99.7
19/05/2015	7	96.7
20/05/2015	8.6	98.1
21/05/2015	8.9	99.3
22/05/2015	9.1	93.5
23/05/2015	10.5	76.6
24/05/2015	7.2	97.7
25/05/2015	9.5	99.1
26/05/2015	8.9	97.1
27/05/2015	11	96.8
28/05/2015	7.6	97.3
29/05/2015	9	92.7
30/05/2015	6.7	98.2
31/05/2015	9.2	96.3
01/06/2015	10	95.8
02/06/2015	7.7	95
03/06/2015	12	84.9
04/06/2015	12	71.7
05/06/2015	12.2	84.7
06/06/2015	11.9	97.5
07/06/2015	11.8	95.6
08/06/2015	11.5	93.8
