Date	Tavg	RHmax
01/01/2012	-2.4	98.4
02/01/2012	-1.5	99.6
03/01/2012	-3.4	98.5
04/01/2012	-0.7	96.4
05/01/2012	-11.1	95.2
06/01/2012	-10.2	95.4
07/01/2012	-5.5	96.2
08/01/2012	-9.8	94.8
09/01/2012	-11.8	94.1
10/01/2012	-10	95.6
11/01/2012	-6.6	97.3
12/01/2012	-2.2	98.1
13/01/2012	0.1	97.2
14/01/2012	-1.9	92.4
15/01/2012	-4.4	96.2
16/01/2012	-8.5	96
17/01/2012	-10.9	92.5
18/01/2012	-8.3	95
19/01/2012	-9.2	94.1
20/01/2012	-14.8	91.8
21/01/2012	-10.9	94.1
22/01/2012	-4.7	95.6
23/01/2012	-9.4	93.8
24/01/2012	-7.4	92.3
25/01/2012	-9.1	91.4
26/01/2012	-5.2	90.4
27/01/2012	-2.7	89.3
28/01/2012	-5.1	90.8
29/01/2012	-5.7	90.1
30/01/2012	-5.8	85.9
31/01/2012	-13.5	88.4
01/02/2012	-13.3	88.2
02/02/2012	-12.9	90.1
03/02/2012	-21.1	88.8
04/02/2012	-17.7	84.4
05/02/2012	-12	89.1
06/02/2012	-3.7	96.5
07/02/2012	-5.3	95.9
08/02/2012	-7	96.5
09/02/2012	-8.2	92.9
10/02/2012	-7.6	93.1
11/02/2012	-8.5	94.2
12/02/2012	-12.2	92.9
13/02/2012	-8.1	96.3
14/02/2012	-4.3	95.7
15/02/2012	-0.4	86.7
16/02/2012	-3.3	96.8
17/02/2012	-7.1	96.2
18/02/2012	0	96.2
19/02/2012	-1	97.3
20/02/2012	-5.2	93.2
21/02/2012	-2.8	97.7
22/02/2012	0.8	96.3
23/02/2012	0.7	98.1
24/02/2012	0.9	98.1
25/02/2012	2	69.9
26/02/2012	-3.8	84.6
27/02/2012	-2.5	96.1
28/02/2012	-1.7	98.8
29/02/2012	-3.5	98.6
01/03/2012	1	98.8
02/03/2012	0.7	84.8
03/03/2012	-5.8	91.1
04/03/2012	-3.2	91
05/03/2012	-2.2	80.4
06/03/2012	-2.1	80.7
07/03/2012	-1.2	94.8
08/03/2012	-1.3	96.9
09/03/2012	1.4	96.9
10/03/2012	2.3	97.5
11/03/2012	2.5	84.4
12/03/2012	4.5	93.8
13/03/2012	6.2	84.6
14/03/2012	3	84.3
15/03/2012	0.9	95.7
16/03/2012	2.6	97.5
17/03/2012	3.3	95.4
18/03/2012	1.9	98.2
19/03/2012	1.1	75.5
20/03/2012	2.3	96.8
21/03/2012	5	93.3
22/03/2012	5.1	94.2
23/03/2012	5	92.8
24/03/2012	5.1	95.5
25/03/2012	7.7	88.8
26/03/2012	6	94.1
27/03/2012	9.1	95.8
28/03/2012	5.8	88.1
29/03/2012	4.2	84.8
30/03/2012	3.5	87.3
31/03/2012	1.5	84.8
01/04/2012	0.1	88.3
02/04/2012	-1.1	72.2
03/04/2012	-0.8	85.2
04/04/2012	0.4	84.1
05/04/2012	1.1	93.6
06/04/2012	0.3	95.7
07/04/2012	-1	78.6
08/04/2012	0.1	83.5
09/04/2012	0.5	96.5
10/04/2012	2.5	96.5
11/04/2012	4.3	92.5
12/04/2012	5.1	94.9
13/04/2012	4.6	63.7
14/04/2012	3.3	84.7
15/04/2012	2.5	96.6
16/04/2012	1.3	97.5
17/04/2012	0.4	97.2
18/04/2012	0.8	94.9
19/04/2012	5.5	92.2
20/04/2012	4.7	84.8
21/04/2012	2	95
22/04/2012	2.1	97.5
23/04/2012	4.2	95.4
24/04/2012	4.9	97.5
25/04/2012	6.6	96.6
26/04/2012	5.9	95.2
27/04/2012	7.9	93.9
28/04/2012	7.1	94
29/04/2012	6.4	91.2
30/04/2012	7.3	88
01/05/2012	9.1	90.2
02/05/2012	10.6	88
03/05/2012	6.7	93.1
04/05/2012	2.6	96.5
05/05/2012	3.4	96.6
06/05/2012	4.3	77.3
07/05/2012	4.7	87.9
08/05/2012	6.3	88.4
09/05/2012	8.7	94.4
10/05/2012	8.1	96.6
11/05/2012	6.4	95.6
12/05/2012	6.9	77.6
13/05/2012	5.8	88.7
14/05/2012	8.8	84.4
15/05/2012	9.1	82.5
16/05/2012	9	91.7
17/05/2012	8.1	95.6
18/05/2012	9.2	88.3
19/05/2012	8.8	93
20/05/2012	11.2	94.5
21/05/2012	12.9	87
22/05/2012	17	86.3
23/05/2012	18.7	88.9
24/05/2012	19.8	81.4
25/05/2012	20.4	83.5
26/05/2012	18.7	80.9
27/05/2012	18.8	72.2
28/05/2012	12	75.6
29/05/2012	8.5	73.6
30/05/2012	9.5	81.3
31/05/2012	8.6	82.5
01/06/2012	7.4	56.5
02/06/2012	7.5	63.4
03/06/2012	8.5	83.5
04/06/2012	9.3	94.5
05/06/2012	9.3	94.8
06/06/2012	10.7	93.4
07/06/2012	12.7	91.9
08/06/2012	13.3	92.5
09/06/2012	12.2	83.7
10/06/2012	14.1	88.1
11/06/2012	13.5	89.2
12/06/2012	12.6	93.9
13/06/2012	12.3	94.3
14/06/2012	11	94.4
15/06/2012	11.4	92.8
16/06/2012	11.1	93.8
17/06/2012	13.2	95.5
18/06/2012	13	95.4
19/06/2012	13	95.4
20/06/2012	12.8	90.3
21/06/2012	15.8	91.8
22/06/2012	16.8	78.6
23/06/2012	13.2	95.3
24/06/2012	12.8	94.5
25/06/2012	13.8	96.7
26/06/2012	15.3	72.9
27/06/2012	14	76.2
28/06/2012	14.2	81.5
29/06/2012	12.7	93.6
30/06/2012	15.1	93.9
01/07/2012	13.9	92.1
02/07/2012	13.9	96.3
03/07/2012	14.7	96.1
04/07/2012	16.2	95.2
05/07/2012	19.3	90.7
06/07/2012	18.7	91.5
07/07/2012	16.2	97.4
08/07/2012	16.9	97.9
09/07/2012	14.4	98.2
10/07/2012	14.5	97.6
11/07/2012	14.1	97.6
12/07/2012	12.4	97.3
13/07/2012	13.2	97.6
14/07/2012	14.9	97.8
15/07/2012	14	96.8
16/07/2012	13.6	94.6
17/07/2012	13.7	96.9
18/07/2012	12.8	94.9
19/07/2012	12.4	97
20/07/2012	10.6	97.6
21/07/2012	12.1	94
22/07/2012	12.3	96.9
23/07/2012	14.2	96.9
24/07/2012	17.4	96.8
25/07/2012	17.5	97
26/07/2012	15.4	96.6
27/07/2012	16	95.6
28/07/2012	14.5	98.4
29/07/2012	15.3	98.9
30/07/2012	14.9	97.3
31/07/2012	12.8	97
01/08/2012	14.5	97.7
02/08/2012	13.5	97.5
03/08/2012	16.6	98.5
04/08/2012	15.2	96.9
05/08/2012	14.2	98.2
06/08/2012	13	98.9
07/08/2012	13.3	97.2
08/08/2012	12.7	95.9
09/08/2012	11.6	96.7
10/08/2012	13.6	98
11/08/2012	15.4	97.5
12/08/2012	16.4	98
13/08/2012	15.9	96.4
14/08/2012	16	95
15/08/2012	14.2	97.4
16/08/2012	15.1	95.8
17/08/2012	15.1	95.6
18/08/2012	14.3	97.8
19/08/2012	19.1	98.4
20/08/2012	14.5	97.6
21/08/2012	16.4	98.3
22/08/2012	13.1	97.9
23/08/2012	12.6	100
24/08/2012	11.6	96.9
25/08/2012	12.9	97.8
26/08/2012	11.6	97.2
27/08/2012	9.6	88.8
28/08/2012	9.7	96.1
29/08/2012	13.6	99.2
30/08/2012	13.1	95.9
31/08/2012	12.3	98.4
01/09/2012	11.8	97.6
02/09/2012	14.8	96.1
03/09/2012	12.6	97.4
04/09/2012	14.4	96.8
05/09/2012	12.9	87.4
06/09/2012	7.4	97.3
07/09/2012	8.9	98.7
08/09/2012	8	95
09/09/2012	7.8	96.6
10/09/2012	13.5	96.4
11/09/2012	12.6	96.7
12/09/2012	6.2	97.6
13/09/2012	6.2	98.7
14/09/2012	11	96.4
15/09/2012	10.9	96.4
16/09/2012	11.5	88.7
17/09/2012	10.6	97.5
18/09/2012	8.8	97.5
19/09/2012	6.5	98.4
20/09/2012	4.5	98
21/09/2012	3.5	98.2
22/09/2012	6.3	95.8
23/09/2012	8.2	92
24/09/2012	6.9	97
25/09/2012	6.2	94.1
26/09/2012	6.5	98.2
27/09/2012	7.3	98.9
28/09/2012	7.5	99.1
29/09/2012	8.1	98.7
30/09/2012	7.1	98.2
01/10/2012	10.5	98.6
02/10/2012	9.9	96.2
03/10/2012	9.1	96.6
04/10/2012	7.6	98
05/10/2012	4.6	98.6
06/10/2012	2.1	99.1
07/10/2012	4.2	98.6
08/10/2012	6.3	97.1
09/10/2012	4.6	97
10/10/2012	2.1	96.1
11/10/2012	1	97.2
12/10/2012	2.1	97.2
13/10/2012	3.1	88.6
14/10/2012	2.1	94.3
15/10/2012	3.7	93.3
16/10/2012	2.9	97.6
17/10/2012	5.4	98.7
18/10/2012	7.9	98.7
19/10/2012	5.6	98
