Date	Tavg	RHmax
01/01/2016	-1.1	97.7
02/01/2016	-3.2	95.6
03/01/2016	-5.7	88.6
04/01/2016	-6.8	89.1
05/01/2016	-7.8	90.5
06/01/2016	-12.9	94.6
07/01/2016	-11.4	87.5
08/01/2016	-9.4	88.4
09/01/2016	-8.7	90.2
10/01/2016	-7.2	92.6
11/01/2016	-3.5	93.9
12/01/2016	-2.8	86.6
13/01/2016	-7.9	93
14/01/2016	-14.9	91.6
15/01/2016	-18.2	94.2
16/01/2016	-10.5	95.9
17/01/2016	-16	96.4
18/01/2016	-16.8	95.8
19/01/2016	-11.6	97.6
20/01/2016	-11.9	96.1
21/01/2016	-15.2	96.7
22/01/2016	-12.7	94.1
23/01/2016	-5.9	97.5
24/01/2016	-7.1	96.4
25/01/2016	-3.5	98.4
26/01/2016	2.1	98.1
27/01/2016	1.7	97.3
28/01/2016	3.1	95.8
29/01/2016	3.8	94.8
30/01/2016	2.9	88.9
31/01/2016	1.8	91.3
01/02/2016	-1.6	97.7
02/02/2016	2.1	96.5
03/02/2016	1.1	94
04/02/2016	0.9	82.5
05/02/2016	-2.2	97.7
06/02/2016	1.2	98
07/02/2016	2.9	93.4
08/02/2016	2.3	94.5
09/02/2016	1.3	97.2
10/02/2016	-1.3	97.8
11/02/2016	0.6	80.7
12/02/2016	-1.9	90.5
13/02/2016	-5.3	94.4
14/02/2016	-7.5	92.6
15/02/2016	-6.5	93.3
16/02/2016	-4.8	91.3
17/02/2016	1	91.1
18/02/2016	-2.7	87.8
19/02/2016	-1.7	96.1
20/02/2016	0.1	97
21/02/2016	0.1	97.7
22/02/2016	-2.2	98
23/02/2016	-2.4	96.8
24/02/2016	-1.8	91.9
25/02/2016	-2.2	92.6
26/02/2016	-1.5	90.7
27/02/2016	-1.7	89.9
28/02/2016	-1.7	89.8
29/02/2016	-3.4	96.1
01/03/2016	-0.2	97.5
02/03/2016	-0.6	98.5
03/03/2016	0.5	98.6
04/03/2016	0.6	99.3
05/03/2016	0.5	100
06/03/2016	0.2	97.3
07/03/2016	0.6	96.2
08/03/2016	0.9	96.1
09/03/2016	-0.1	98
10/03/2016	1	98.1
11/03/2016	-1.3	98
12/03/2016	-0.6	98.4
13/03/2016	3	98
14/03/2016	3.7	96.7
15/03/2016	5.9	96.2
16/03/2016	2.7	99
17/03/2016	0	100
18/03/2016	3.7	100
19/03/2016	3.8	95.1
20/03/2016	5.6	79.4
21/03/2016	3.2	91.7
22/03/2016	2.8	95.9
23/03/2016	4.2	79.6
24/03/2016	1	95.1
25/03/2016	4.7	97.6
26/03/2016	3.2	93.1
27/03/2016	5.7	94.5
28/03/2016	6.1	95.3
29/03/2016	5.9	94.6
30/03/2016	3.6	97.7
31/03/2016	1.8	98.4
01/04/2016	3.8	84.2
02/04/2016	5.4	95.6
03/04/2016	5.2	98.2
04/04/2016	6.4	97.9
05/04/2016	6.9	97.6
06/04/2016	7.4	98.3
07/04/2016	5.8	96.9
08/04/2016	4.8	96.4
09/04/2016	4.6	97.8
10/04/2016	5	98.8
11/04/2016	6.2	96.4
12/04/2016	6.5	95.2
13/04/2016	7.6	92.6
14/04/2016	7.4	79.1
15/04/2016	6.6	94.7
16/04/2016	6.3	95.2
17/04/2016	5.5	94
18/04/2016	6.8	95.5
19/04/2016	8.8	78.4
20/04/2016	8.8	74.1
21/04/2016	9	75.2
22/04/2016	6.4	52.6
23/04/2016	3	78.9
24/04/2016	3	97.1
25/04/2016	2.9	98.2
26/04/2016	3.8	81.8
27/04/2016	4.9	83
28/04/2016	4.2	95.5
29/04/2016	6.1	95.2
30/04/2016	3.9	97.1
01/05/2016	6.7	97.4
02/05/2016	7.9	89.7
03/05/2016	8.3	96.2
04/05/2016	8.5	96.6
05/05/2016	9.3	96.9
06/05/2016	10	97.6
07/05/2016	12	90.1
08/05/2016	14.5	89.3
09/05/2016	16.1	90.5
10/05/2016	17.7	73.6
11/05/2016	13.6	82.3
12/05/2016	12.1	96.3
13/05/2016	9.1	96.6
14/05/2016	8.4	75
15/05/2016	10.1	58.8
16/05/2016	10.7	75.2
17/05/2016	10.4	92
18/05/2016	11.6	94.6
19/05/2016	12.7	94
20/05/2016	10.4	96.7
21/05/2016	10.3	98.9
22/05/2016	12.8	97.4
23/05/2016	13.1	97.9
24/05/2016	11.5	94.1
25/05/2016	12.9	70.9
26/05/2016	14	65.1
27/05/2016	15.5	68
28/05/2016	13.7	75.3
29/05/2016	12.8	96.2
30/05/2016	15.5	95
31/05/2016	19.3	93.1
01/06/2016	20	96.5
02/06/2016	20.5	93.5
03/06/2016	21.5	94.6
04/06/2016	17.8	78.7
05/06/2016	16.4	92.3
06/06/2016	15.9	92.8
07/06/2016	16.7	96.4
08/06/2016	14.3	97.2
09/06/2016	11.4	91.6
10/06/2016	12.2	81.8
11/06/2016	12.5	92.8
12/06/2016	13.7	95.3
13/06/2016	14.5	92.8
14/06/2016	15.8	92.7
15/06/2016	13	95.2
16/06/2016	17.3	93.9
17/06/2016	16.4	93.1
18/06/2016	16.4	95
19/06/2016	13.4	96.2
20/06/2016	13.3	97.5
21/06/2016	16.6	97.2
22/06/2016	15	96.4
23/06/2016	15.9	96.7
24/06/2016	16.7	95.7
25/06/2016	18.2	97.7
26/06/2016	16	96.2
27/06/2016	14.5	97
28/06/2016	15.2	97.6
29/06/2016	14	97.5
30/06/2016	14.3	97.5
01/07/2016	12.7	97.3
02/07/2016	12.8	97.8
03/07/2016	13.5	96.6
04/07/2016	12.7	97.5
05/07/2016	13.1	98.1
06/07/2016	15.4	97.4
07/07/2016	15.8	92.2
08/07/2016	15.9	97.1
09/07/2016	16.1	98.1
10/07/2016	15.2	95.6
11/07/2016	16.3	95.4
12/07/2016	14.8	98
13/07/2016	15.2	98
14/07/2016	15.9	98
15/07/2016	17.9	98
16/07/2016	16.7	97.8
17/07/2016	14.4	91.3
18/07/2016	15.2	95.5
19/07/2016	15.4	97.3
20/07/2016	17.9	98.5
21/07/2016	19.7	98.2
22/07/2016	19.6	96
23/07/2016	18.4	97.3
24/07/2016	18.8	98
25/07/2016	17.9	97.7
26/07/2016	17.7	98.2
27/07/2016	15	97.9
28/07/2016	17.3	97.6
29/07/2016	14.6	98.1
30/07/2016	15.8	98.7
31/07/2016	14.6	96.3
01/08/2016	14.6	97.3
02/08/2016	14.3	97.4
03/08/2016	13.6	98
04/08/2016	15.5	98.2
05/08/2016	16.6	98.5
06/08/2016	14.9	98.6
07/08/2016	14.3	98.6
08/08/2016	14.9	97.6
09/08/2016	12.8	93.2
10/08/2016	10.9	92.6
11/08/2016	11.3	96.3
12/08/2016	10.9	99.1
13/08/2016	15.6	94.7
14/08/2016	15.1	97.7
15/08/2016	15	98
16/08/2016	15.3	98
17/08/2016	16.9	98.5
18/08/2016	16.8	96.5
19/08/2016	15.4	97.8
20/08/2016	15.3	98.2
21/08/2016	15.5	99
22/08/2016	14.9	98.6
23/08/2016	15.5	99.1
24/08/2016	15.5	98.8
25/08/2016	17.6	98.6
26/08/2016	17.6	98.8
27/08/2016	15.3	97
28/08/2016	11.6	97.9
29/08/2016	13	98
30/08/2016	12.9	99.3
31/08/2016	15.3	98.8
01/09/2016	16.4	95.3
02/09/2016	14	97.5
03/09/2016	15.2	97.8
04/09/2016	12.1	98.7
05/09/2016	13.1	98.2
06/09/2016	15.6	95.4
07/09/2016	18.6	97.6
08/09/2016	16.8	98.2
09/09/2016	18.2	98.4
10/09/2016	17.1	94.8
11/09/2016	16.4	97.2
12/09/2016	12.5	99.5
13/09/2016	16.6	99
14/09/2016	16.4	99.4
15/09/2016	16.7	99.6
16/09/2016	15.1	99.5
17/09/2016	12.2	98.9
18/09/2016	12	99.8
19/09/2016	13	99.4
20/09/2016	13.4	99.6
21/09/2016	13.7	99.3
22/09/2016	14.1	99.6
23/09/2016	12	99.4
24/09/2016	10.6	100
25/09/2016	15.4	98.7
26/09/2016	14.3	99.2
27/09/2016	10.7	100
28/09/2016	13.8	88
29/09/2016	13.7	99.3
30/09/2016	11.4	74.1
01/10/2016	8.1	100
02/10/2016	8.4	99.6
03/10/2016	6.7	99.9
04/10/2016	5.8	100
05/10/2016	5.8	100
06/10/2016	8.3	78.6
07/10/2016	10.3	71.5
08/10/2016	8.3	70.4
09/10/2016	6.2	93.1
10/10/2016	6.4	96
11/10/2016	5.4	80.8
12/10/2016	3.9	79.6
13/10/2016	3.7	83.3
14/10/2016	1.8	85.3
15/10/2016	4.2	81.4
16/10/2016	6.3	98.7
17/10/2016	6.7	99.5
18/10/2016	7.1	99.5
19/10/2016	7.6	98.8
20/10/2016	6.7	97.4
21/10/2016	4.7	96.7
22/10/2016	3.9	94.4
23/10/2016	4	96.4
24/10/2016	5.4	97.3
25/10/2016	4.6	100
26/10/2016	4.2	100
27/10/2016	7.7	100
28/10/2016	8	98.4
29/10/2016	7.1	79.3
30/10/2016	5.9	89.7
31/10/2016	5.6	99.6
01/11/2016	4.9	99.9
02/11/2016	2.7	93.3
03/11/2016	-1.7	99.5
04/11/2016	-0.3	100
05/11/2016	0.2	100
06/11/2016	-2.5	100
07/11/2016	-5.8	78.3
08/11/2016	-4.9	96.5
09/11/2016	-4.1	98.1
10/11/2016	-3.5	91.6
11/11/2016	-9.1	98.6
12/11/2016	-9.5	100
13/11/2016	0.9	100
14/11/2016	2.1	100
15/11/2016	0.9	100
16/11/2016	2.1	100
17/11/2016	0.3	100
18/11/2016	3.2	100
19/11/2016	1.4	100
20/11/2016	0.8	100
21/11/2016	1.8	100
22/11/2016	2.1	100
23/11/2016	6.2	100
24/11/2016	3.1	97.7
25/11/2016	4.7	100
26/11/2016	6.6	86.5
27/11/2016	3.4	67.6
28/11/2016	-2.6	91.2
29/11/2016	-2.4	94.2
