Date	Tavg	RHmax
01/01/2015	5.5	97.5
02/01/2015	5.9	95
03/01/2015	3.3	81.6
04/01/2015	1.1	85.4
05/01/2015	-2	91.1
06/01/2015	3.2	97.8
07/01/2015	1.9	98.4
08/01/2015	4.8	96.7
09/01/2015	-0.1	96.4
10/01/2015	1.7	98.6
11/01/2015	-3.3	94.1
12/01/2015	1.5	98.3
13/01/2015	3.6	87.5
14/01/2015	2	84.4
15/01/2015	3.3	97.8
16/01/2015	4.6	96.2
17/01/2015	3.5	79.7
18/01/2015	1.4	96.6
19/01/2015	-1.5	96.9
20/01/2015	-0.7	95.2
21/01/2015	-1	94.8
22/01/2015	-3.3	95.8
23/01/2015	-5.2	96.4
24/01/2015	0.6	98
25/01/2015	-2.5	98
26/01/2015	3.1	98.9
27/01/2015	0.5	98.4
28/01/2015	3.6	96.7
29/01/2015	1.9	97.3
30/01/2015	-0.2	95.5
31/01/2015	-0.7	95.1
01/02/2015	-2.1	90.8
02/02/2015	-2.9	84.7
03/02/2015	-5	91.9
04/02/2015	-7.8	91.4
05/02/2015	-6.4	93.7
06/02/2015	-4.1	95.7
07/02/2015	0.4	97.8
08/02/2015	0.4	92.1
09/02/2015	4	92.8
10/02/2015	4.5	87.8
11/02/2015	0.9	96.4
12/02/2015	2.3	97.3
13/02/2015	2.2	98.1
14/02/2015	2.5	95
15/02/2015	0.7	94
16/02/2015	-0.3	93.8
17/02/2015	2.8	95.2
18/02/2015	5.6	95.2
19/02/2015	5.1	96.5
20/02/2015	4.2	94
21/02/2015	1.3	96.8
22/02/2015	0.4	97.1
23/02/2015	2.1	96.5
24/02/2015	3.3	97
25/02/2015	4	94.9
26/02/2015	2.9	98
27/02/2015	2.8	97.4
28/02/2015	2.7	94.8
01/03/2015	2.6	96.8
02/03/2015	3.5	94.3
03/03/2015	2.3	96
04/03/2015	0	96.2
05/03/2015	1	95.4
06/03/2015	5.9	97.1
07/03/2015	5.4	97.1
08/03/2015	5.4	96.9
09/03/2015	3.2	98.2
10/03/2015	7.2	96.4
11/03/2015	5.6	91.3
12/03/2015	3.3	96.5
13/03/2015	1.1	97
14/03/2015	1.5	83.8
15/03/2015	3	74.6
16/03/2015	4.6	82.9
17/03/2015	4.5	96.2
18/03/2015	3.8	96.9
19/03/2015	2.6	98.2
20/03/2015	3.7	98.1
21/03/2015	0.7	89.4
22/03/2015	1.1	93.9
23/03/2015	5.2	93.7
24/03/2015	5.6	94.4
25/03/2015	2.6	93.6
26/03/2015	-0.2	97.8
27/03/2015	1.6	98
28/03/2015	1.2	97.7
29/03/2015	4.2	97.8
30/03/2015	3.6	97.4
31/03/2015	2	97.1
01/04/2015	3.7	97.1
02/04/2015	4.7	79.7
03/04/2015	3.8	90.2
04/04/2015	2.8	90
05/04/2015	1.9	91.7
06/04/2015	3.8	95.5
07/04/2015	10.1	97.3
08/04/2015	9.6	64.3
09/04/2015	7.2	94
10/04/2015	6.4	97.7
11/04/2015	6.2	98.3
12/04/2015	7.4	95.1
13/04/2015	6.6	89.4
14/04/2015	4.3	96.3
15/04/2015	5.9	93.5
16/04/2015	7.6	81.7
17/04/2015	8.1	81
18/04/2015	6.9	94.9
19/04/2015	10.1	87.8
20/04/2015	11.8	73.3
21/04/2015	10	90.8
22/04/2015	10.1	93.7
23/04/2015	11.6	69.3
24/04/2015	8	88
25/04/2015	7.6	96
26/04/2015	6.5	96
27/04/2015	3.7	97.8
28/04/2015	4.8	97.4
29/04/2015	5.7	96.2
30/04/2015	6.9	95.7
01/05/2015	6.8	97.3
02/05/2015	8.1	95.3
03/05/2015	9	69.2
04/05/2015	7.4	95.3
05/05/2015	9.6	96.8
06/05/2015	10	97.1
07/05/2015	9.5	94.9
08/05/2015	8.9	74.4
09/05/2015	6	94.1
10/05/2015	8.4	95.5
11/05/2015	9.3	95.7
12/05/2015	9.1	96.7
13/05/2015	10.9	88.8
14/05/2015	10.3	86
15/05/2015	9.3	92.6
16/05/2015	8.3	97
17/05/2015	8.6	91.2
18/05/2015	8	97.8
19/05/2015	8.8	94.8
20/05/2015	9.3	95.3
21/05/2015	9.1	97.8
22/05/2015	9.7	95.3
23/05/2015	12.4	76.6
24/05/2015	8.1	96.2
25/05/2015	10.5	96.2
26/05/2015	9.9	97.8
27/05/2015	11.5	96.7
28/05/2015	8.7	97.3
29/05/2015	10.1	89.7
30/05/2015	8.3	96.1
31/05/2015	10.6	95
01/06/2015	10.9	96.9
02/06/2015	9.1	95.8
03/06/2015	13.2	84.2
04/06/2015	13.3	70.7
05/06/2015	11.8	87.6
06/06/2015	13.2	96.6
07/06/2015	13.6	85.5
08/06/2015	13.2	91.1
09/06/2015	12.4	96.6
10/06/2015	14.4	94.8
11/06/2015	16	93.5
12/06/2015	15.2	96.4
13/06/2015	13.6	96.9
14/06/2015	14.1	97.2
15/06/2015	13.2	70.8
16/06/2015	14.1	70.7
17/06/2015	11	96.1
18/06/2015	12.2	97.1
19/06/2015	14.2	93.5
20/06/2015	17.1	95.1
21/06/2015	14.8	96
22/06/2015	14.6	94
23/06/2015	16.3	94.5
24/06/2015	15.3	95.3
25/06/2015	13.8	94.5
26/06/2015	14.8	95.4
27/06/2015	14.1	96.9
28/06/2015	14.8	95.2
29/06/2015	15.3	97
30/06/2015	17.8	97.7
01/07/2015	17.5	96.3
02/07/2015	17.8	97.1
03/07/2015	17.7	95.8
04/07/2015	16.9	97.2
05/07/2015	19.8	96
06/07/2015	17.7	96.8
07/07/2015	16.5	94.7
08/07/2015	15	96.7
09/07/2015	14.4	85.4
10/07/2015	16.1	68.8
11/07/2015	15.4	92.3
12/07/2015	16.7	94.8
13/07/2015	16.2	95.9
14/07/2015	15.5	95.9
15/07/2015	16.3	97.5
16/07/2015	16.2	92.5
17/07/2015	15.2	85.4
18/07/2015	15.3	97.3
19/07/2015	16	84.9
20/07/2015	16.1	96.4
21/07/2015	14	95.1
22/07/2015	16.9	83.3
23/07/2015	16.3	82
24/07/2015	14.3	92.2
25/07/2015	12.4	97
26/07/2015	12.1	95.8
27/07/2015	14.3	96.3
28/07/2015	14.6	94.9
29/07/2015	14.1	96.7
30/07/2015	16.3	97.3
31/07/2015	15.4	96.8
01/08/2015	13.8	97
02/08/2015	14.1	95.8
03/08/2015	13.7	97.4
04/08/2015	15.1	96.8
05/08/2015	16.8	97.3
06/08/2015	15.8	96.8
07/08/2015	16.1	97.4
08/08/2015	16.7	96.9
09/08/2015	14.3	97.8
10/08/2015	16.4	95.2
11/08/2015	15.4	96.8
12/08/2015	15.4	97.9
13/08/2015	15	97.8
14/08/2015	17.1	97.2
15/08/2015	19.1	81.9
16/08/2015	18.5	76.9
17/08/2015	18.1	89.7
18/08/2015	17.4	87.2
19/08/2015	17.6	93.4
20/08/2015	16.6	96.2
21/08/2015	15.3	97.3
22/08/2015	15.5	97.3
23/08/2015	17.6	96
24/08/2015	16.8	94.7
25/08/2015	16.3	96.8
26/08/2015	16.1	97.1
27/08/2015	16.2	96.9
