Date	T	E0	N	S	U
2019-10-04	12.8	2.595	1.12	24.87	0.05541
2019-10-05	12.32	7.141	1.309	24.77	0.04937
2019-10-06	12.03	8.36	1.498	24.68	0.06434
2019-10-07	11.8	8.68	1.687	24.59	0.0476
2019-10-08	11.62	7.357	1.876	24.5	0.05944
2019-10-09	11.59	4.634	2.065	24.41	0.05095
2019-10-10	11.57	6.46	2.254	24.32	0.05378
2019-10-11	11.57	3.666	2.443	24.23	0.05714
2019-10-12	11.59	6.723	2.632	24.14	0.07935
2019-10-13	11.67	2.469	2.822	24.05	0.1055
2019-10-14	11.75	5.908	3.011	23.96	0.06369
2019-10-15	11.99	7.117	3.2	23.87	0.08055
2019-10-16	12.16	2.433	3.389	23.77	0.05653
2019-10-17	11.94	3.538	3.578	23.68	0.08496
2019-10-18	11.95	2.71	3.767	23.59	0.07769
2019-10-19	11.95	5.847	3.956	23.5	0.09767
2019-10-20	11.88	4.196	4.145	23.41	0.101
2019-10-21	11.92	1.698	4.334	23.32	0.103
2019-10-22	11.92	3.446	4.523	23.23	0.08743
2019-10-23	11.79	4.12	4.712	23.14	0.1026
2019-10-24	11.75	2.553	4.902	23.05	0.1117
2019-10-25	11.74	5.452	5.091	22.96	0.05861
2019-10-26	11.76	0.7698	5.28	22.87	0.07077
2019-10-27	11.76	6.714	5.469	22.77	0.06943
2019-10-28	11.55	7.19	5.658	22.68	0.06914
2019-10-29	11.2	8.085	5.847	22.59	0.0718
2019-10-30	10.83	7.137	6.036	22.5	0.1406
2019-10-31	10.91	7.533	6.225	22.41	0.1066
2019-11-01	10.52	5.151	6.414	22.32	0.04375
2019-11-02	10.55	1.32	6.603	22.23	0.02666
2019-11-03	10.57	2.222	6.792	22.14	0.09991
2019-11-04	10.54	0.9432	6.982	22.05	0.09076
2019-11-05	10.27	0.8456	6.97	21.95	0.06637
2019-11-06	9.924	1.184	6.741	21.84	0.08278
2019-11-07	9.645	3.409	6.513	21.72	0.1187
2019-11-08	9.228	3.161	6.284	21.61	0.1153
2019-11-09	9.145	2.131	6.055	21.5	0.08941
2019-11-10	9.007	2.626	5.826	21.39	0.05486
2019-11-11	8.648	3.054	5.597	21.28	0.06446
2019-11-12	8.538	0.9368	5.368	21.17	0.05021
2019-11-13	8.422	2.529	5.139	21.06	0.08949
2019-11-14	8.505	1.773	5.16	20.98	0.08343
2019-11-15	8.562	0.9428	5.453	20.93	0.05604
2019-11-16	8.605	0.1939	5.745	20.88	0.09886
2019-11-17	8.548	2.84	6.038	20.83	0.05411
2019-11-18	8.486	0.4076	6.33	20.78	0.07034
2019-11-19	8.495	0.8118	6.623	20.73	0.04429
2019-11-20	8.483	2.286	6.915	20.68	0.1025
2019-11-21	8.267	0.5474	7.208	20.63	0.1066
2019-11-22	8.353	1.748	7.5	20.58	0.1139
2019-11-23	8.291	0.4842	7.793	20.53	0.08653
2019-11-24	8.235	0.4639	8.085	20.48	0.05875
2019-11-25	8.039	0.7192	8.378	20.43	0.07496
2019-11-26	7.805	0.4545	8.67	20.38	0.0549
2019-11-27	7.698	0.6301	8.963	20.33	0.05639
2019-11-28	7.703	0.7589	9.255	20.28	0.04674
2019-11-29	7.616	2.577	9.548	20.23	0.0603
2019-11-30	7.34	2.885	9.84	20.18	0.08811
2019-12-01	7.49	2.343	10.13	20.13	0.08906
2019-12-02	7.263	3.089	10.43	20.08	0.09138
2019-12-03	6.658	1.095	10.72	20.03	0.0694
2019-12-04	6.678	1.926	10.84	20.26	0.05726
2019-12-05	6.727	2.272	10.77	20.8	0.05653
2019-12-06	6.772	0.8353	10.7	21.33	0.0439
2019-12-07	6.817	2.034	10.63	21.87	0.07242
2019-12-08	6.862	1.038	10.56	22.41	0.03985
2019-12-09	6.907	1.722	10.49	22.95	0.03055
2019-12-10	6.952	2.018	10.42	23.49	0.07848
2019-12-11	6.998	1.376	10.35	24.03	0.08876
2019-12-12	7.043	1.162	10.28	24.57	0.04764
2019-12-13	7.088	1.324	10.21	25.1	0.0887
2019-12-14	7.133	0.6636	10.14	25.64	0.05447
2019-12-15	7.178	0.9263	10.08	26.18	0.04368
2019-12-16	7.223	0.9903	10.01	26.72	0.08774
2019-12-17	7.219	0.2699	10.12	27	0.1004
2019-12-18	7.252	1.626	10.43	27	0.102
