Date	Tavg	RHmax
01/01/2005	-2.3	100
02/01/2005	2.2	96
03/01/2005	0.3	82.1
04/01/2005	-1.6	100
05/01/2005	0.7	91.8
06/01/2005	3.2	94.1
07/01/2005	6	89.2
08/01/2005	3.8	99.8
09/01/2005	2.3	83.9
10/01/2005	5.6	99.2
11/01/2005	4.5	96.2
12/01/2005	4.8	95.3
13/01/2005	4.2	82
14/01/2005	-0.6	95.5
15/01/2005	-2.1	97.4
16/01/2005	4.5	97.3
17/01/2005	5.5	96.3
18/01/2005	3	98.5
19/01/2005	-0.8	99.5
20/01/2005	-1.1	99.9
21/01/2005	-4.6	100
22/01/2005	-4.1	99.7
23/01/2005	-5.1	95.9
24/01/2005	-2.7	87.5
25/01/2005	-5.3	95.8
26/01/2005	-5	97.4
27/01/2005	-2.8	98.6
28/01/2005	-1.7	99.5
29/01/2005	-1.8	100
30/01/2005	0.4	100
31/01/2005	2	61
01/02/2005	1.2	70.3
02/02/2005	0.8	98.5
03/02/2005	-4.3	100
04/02/2005	1.2	100
05/02/2005	3.5	98.8
06/02/2005	0.8	96.4
07/02/2005	-2.6	92.9
08/02/2005	-3.6	94.1
09/02/2005	-2	95.3
10/02/2005	1.3	98.1
11/02/2005	-1	89.3
12/02/2005	-1	98.4
13/02/2005	-1.4	90.7
14/02/2005	-2.5	80
15/02/2005	-5.2	93.9
16/02/2005	-9	96.2
17/02/2005	-5.4	97.4
18/02/2005	0.1	99.5
19/02/2005	0.3	98.2
20/02/2005	-1.3	90.1
21/02/2005	-0.8	94.1
22/02/2005	-6.3	88.7
23/02/2005	-9.2	80.3
24/02/2005	-8.4	93.4
25/02/2005	-4.9	95.5
26/02/2005	-3.3	67.3
27/02/2005	-6.5	95.7
28/02/2005	-5.6	97.4
01/03/2005	-10.3	94.3
02/03/2005	-14.7	92.9
03/03/2005	-13.1	95.8
04/03/2005	-4.6	100
05/03/2005	-4.5	97.4
06/03/2005	-5.4	97.7
07/03/2005	-0.2	98.5
08/03/2005	1.4	81.7
09/03/2005	-1.1	85.2
10/03/2005	-0.6	98
11/03/2005	-0.1	100
12/03/2005	-6.6	91
13/03/2005	-10.4	94.5
14/03/2005	-6.4	93.8
15/03/2005	-7.4	97.1
16/03/2005	-3.4	99.2
17/03/2005	-0.9	100
18/03/2005	-3.2	95.8
19/03/2005	-8.5	94.9
20/03/2005	-6.5	95.1
21/03/2005	-3.3	99.2
22/03/2005	-1.3	99.7
23/03/2005	-0.5	99.7
24/03/2005	2.4	100
25/03/2005	1.5	100
26/03/2005	4.1	99.2
27/03/2005	4.9	95.8
28/03/2005	4.4	95
29/03/2005	4.6	85.5
30/03/2005	4.1	94.6
31/03/2005	3.4	99
01/04/2005	2.6	98.9
02/04/2005	4.4	99.4
03/04/2005	4.8	97.8
04/04/2005	4.8	92.2
05/04/2005	5.7	96.9
06/04/2005	3.1	96
07/04/2005	3.6	99.3
08/04/2005	2.9	99.4
09/04/2005	3.7	87.8
10/04/2005	4	93.8
11/04/2005	9.6	93.3
12/04/2005	7.4	93.9
13/04/2005	5	92.9
14/04/2005	4.7	96.5
15/04/2005	5.7	99.2
16/04/2005	5.9	88.3
17/04/2005	5	98.4
18/04/2005	5.1	90.8
19/04/2005	5.1	98.9
20/04/2005	4.5	86.8
21/04/2005	6	71.2
22/04/2005	4.6	91.4
23/04/2005	4.4	98.4
24/04/2005	6.2	96.4
25/04/2005	7.7	95.3
26/04/2005	8.5	85.9
27/04/2005	6.5	98.1
28/04/2005	6.9	93.7
29/04/2005	5.6	94.2
30/04/2005	8.1	97.4
01/05/2005	8.3	97.6
02/05/2005	7.2	97.9
03/05/2005	9.7	99.1
04/05/2005	8	97.4
05/05/2005	6.2	98
06/05/2005	6.8	99.4
07/05/2005	6.3	93.8
08/05/2005	4.3	99.3
09/05/2005	4.2	99.6
10/05/2005	6.1	98.7
11/05/2005	8.9	87.6
12/05/2005	9	93.7
13/05/2005	9	78.5
14/05/2005	10.2	96.3
15/05/2005	11.2	85.9
16/05/2005	3.8	97.3
17/05/2005	5.8	94
18/05/2005	4.5	96.5
19/05/2005	7.3	99.3
20/05/2005	7.9	93.1
21/05/2005	9	96.7
22/05/2005	11.2	93.4
23/05/2005	13.1	97.5
24/05/2005	11.3	97.4
25/05/2005	9.9	96.6
26/05/2005	10.9	99.2
27/05/2005	13	94.4
28/05/2005	8.1	97.9
29/05/2005	10.9	98.1
30/05/2005	10.3	94.1
31/05/2005	8.4	92.6
01/06/2005	9.4	92.4
02/06/2005	8.5	95.7
03/06/2005	9.2	94.1
04/06/2005	10.7	97.9
05/06/2005	12.4	96.8
06/06/2005	8.9	67.9
07/06/2005	10.2	75.6
08/06/2005	11.7	91.6
09/06/2005	15.2	83.2
10/06/2005	12.7	83.9
11/06/2005	12	90.4
12/06/2005	10.6	96.3
13/06/2005	11.2	93.5
14/06/2005	10.9	93.2
15/06/2005	15.3	90.9
16/06/2005	15.7	96.7
17/06/2005	12.9	94.2
18/06/2005	14.3	86.1
19/06/2005	16.2	85.3
20/06/2005	17	90.6
21/06/2005	16.5	93
22/06/2005	17	92.6
23/06/2005	17.7	91.5
24/06/2005	17.9	94.6
25/06/2005	14.8	76.5
26/06/2005	14.2	87.4
27/06/2005	14.8	89.8
28/06/2005	13.7	88
29/06/2005	14.9	80.6
30/06/2005	15.4	94.9
01/07/2005	14.7	97.7
02/07/2005	16.5	98.4
03/07/2005	16.8	97.6
04/07/2005	18.8	96
05/07/2005	19.4	85
06/07/2005	20	83.2
07/07/2005	20.2	94.3
08/07/2005	21.6	95.8
09/07/2005	21.6	91.8
10/07/2005	20.4	94.8
11/07/2005	21.9	89.2
12/07/2005	21.2	90.3
13/07/2005	19.1	97.1
14/07/2005	15.9	88.7
15/07/2005	15.2	97.7
16/07/2005	14.7	97.8
17/07/2005	15.8	96.7
18/07/2005	17.6	98.4
19/07/2005	16.5	98.2
20/07/2005	15	97.4
21/07/2005	15.6	98
22/07/2005	16	98.6
23/07/2005	13.2	91.2
24/07/2005	13.9	93.8
25/07/2005	13.4	98.1
26/07/2005	14.1	98.7
27/07/2005	15.6	97.3
28/07/2005	14.2	97.2
29/07/2005	14.1	98.5
30/07/2005	16.1	96.4
31/07/2005	13.4	98
01/08/2005	14.6	98.6
02/08/2005	13.9	96.2
03/08/2005	14.4	97.4
04/08/2005	14.6	97.8
05/08/2005	13.3	96.3
06/08/2005	11.1	97.8
07/08/2005	12	98
08/08/2005	14	98
09/08/2005	13.3	98.5
10/08/2005	17.9	96.3
11/08/2005	15.9	97.8
12/08/2005	15.9	97.4
13/08/2005	14.6	92.5
14/08/2005	15	93.8
15/08/2005	15.5	98
16/08/2005	15.4	96.5
17/08/2005	13.3	95
18/08/2005	15.9	94.7
19/08/2005	16.8	95.4
20/08/2005	16.1	98.1
21/08/2005	17.7	97.1
22/08/2005	17.6	98.2
23/08/2005	15.4	97.6
24/08/2005	15	97.6
25/08/2005	12	97.4
26/08/2005	12.2	98.1
27/08/2005	10.9	97.6
28/08/2005	11.1	99.1
29/08/2005	16.3	95.4
30/08/2005	13.5	91.2
31/08/2005	11.8	97.9
01/09/2005	13.8	98.3
02/09/2005	12.4	98
03/09/2005	13.1	97.6
04/09/2005	11.9	98.4
05/09/2005	14.4	97.9
06/09/2005	15.6	97.7
07/09/2005	14.7	97.5
08/09/2005	14.8	91.3
09/09/2005	10.5	90
10/09/2005	8.6	97.3
11/09/2005	8.6	99.6
12/09/2005	11.9	97.4
13/09/2005	8.2	98.2
14/09/2005	15.1	93.5
15/09/2005	9	96.1
16/09/2005	4.9	99.5
17/09/2005	5.9	99.2
18/09/2005	12	95.6
19/09/2005	14.1	88.5
20/09/2005	13.2	89.8
21/09/2005	10.3	94.8
22/09/2005	11.3	98.3
23/09/2005	13.2	96.4
24/09/2005	11.9	97
25/09/2005	5.5	99.3
26/09/2005	12.5	98.3
27/09/2005	12.9	95.2
28/09/2005	10.5	96.7
29/09/2005	7.3	99.4
30/09/2005	9.6	97.8
01/10/2005	10.4	96
02/10/2005	9.2	98
03/10/2005	10.3	97.9
04/10/2005	8.7	98.8
05/10/2005	7.6	99.1
06/10/2005	7.8	100
07/10/2005	10.9	97.1
08/10/2005	9.4	98.3
09/10/2005	11.2	93.7
10/10/2005	11.2	89.7
11/10/2005	12.2	97.9
12/10/2005	8.7	98.3
13/10/2005	7.4	99.2
14/10/2005	8.4	96
15/10/2005	3	96.4
16/10/2005	1.3	98.8
17/10/2005	-1.4	99.9
18/10/2005	-1.3	100
19/10/2005	-1.6	100
20/10/2005	-0.4	100
21/10/2005	4.5	99.4
22/10/2005	2.1	99.2
23/10/2005	-0.1	99.7
24/10/2005	-3	100
25/10/2005	-1.5	100
26/10/2005	1.2	100
27/10/2005	-1.2	100
28/10/2005	6	99.9
29/10/2005	9.6	98.3
30/10/2005	9	98.4
31/10/2005	9.3	98.7
01/11/2005	7.3	98.3
02/11/2005	8.1	98.1
03/11/2005	9.1	97.5
04/11/2005	11.1	96.4
05/11/2005	8.6	97.9
06/11/2005	7.4	98.6
07/11/2005	9.5	95.1
08/11/2005	7.7	96.7
09/11/2005	9.3	96.5
10/11/2005	6.2	96
11/11/2005	5	97.9
12/11/2005	8.4	97.2
13/11/2005	5.9	94.3
14/11/2005	7.4	85.9
15/11/2005	4.8	85.6
16/11/2005	-1.4	91.9
17/11/2005	-2.8	98.4
18/11/2005	-1.8	96.9
19/11/2005	-0.9	93.1
20/11/2005	-1.4	95
21/11/2005	-0.3	99.7
22/11/2005	-0.2	100
23/11/2005	-0.6	100
24/11/2005	3.3	100
25/11/2005	1.8	98.4
26/11/2005	0.3	99
27/11/2005	-1.1	99.5
28/11/2005	-4.1	99.9
29/11/2005	-9	97.9
30/11/2005	-8.6	96.8
01/12/2005	-5.5	99.8
02/12/2005	0	100
03/12/2005	-1	100
04/12/2005	-0.6	100
05/12/2005	0.2	100
06/12/2005	0.8	100
07/12/2005	-0.1	99.3
08/12/2005	-1.4	100
09/12/2005	-6.6	99.7
10/12/2005	-3.1	99.6
11/12/2005	2.5	100
12/12/2005	1.8	82.3
13/12/2005	-2.8	98.4
14/12/2005	-4.3	99.6
15/12/2005	-1.2	99.7
16/12/2005	-8.5	98.6
17/12/2005	-8.7	97.5
18/12/2005	-8.5	97.4
19/12/2005	-8	99
20/12/2005	-10.8	97.6
21/12/2005	-7.5	98.8
22/12/2005	-2.3	99.5
23/12/2005	-1.7	99.5
24/12/2005	-0.8	99.8
25/12/2005	-0.2	77.2
26/12/2005	-2.9	76.3
27/12/2005	-8.2	96.1
28/12/2005	-7.9	91.1
29/12/2005	-5.9	95.8
30/12/2005	-4.4	98
31/12/2005	-2.9	96.5
