Date	Tavg	RHmax
01/01/2018	-1.8	100
02/01/2018	-4.8	100
03/01/2018	-4.9	100
04/01/2018	-0.8	99.4
05/01/2018	-4.6	97.7
06/01/2018	-7.6	97.3
07/01/2018	-13	97.3
08/01/2018	-10.7	97.8
09/01/2018	-11.8	97.3
10/01/2018	-17.6	94
11/01/2018	-7.1	99
12/01/2018	-7	98.6
13/01/2018	-5.5	98.2
14/01/2018	-4.6	98.1
15/01/2018	-3.4	99.2
16/01/2018	-2	100
17/01/2018	-2.2	100
18/01/2018	-4.9	96.3
19/01/2018	-4.3	98.6
20/01/2018	-4	97.4
21/01/2018	-8.1	97.9
22/01/2018	-9.6	96.9
23/01/2018	-3.7	100
24/01/2018	0.6	100
25/01/2018	2.9	92.2
26/01/2018	-4.6	100
27/01/2018	-11.8	95.4
28/01/2018	-1.9	100
29/01/2018	-3.3	100
30/01/2018	-9.1	97.5
31/01/2018	-2.2	100
01/02/2018	-1.1	100
02/02/2018	-10.5	90
03/02/2018	-12.5	88.4
04/02/2018	-17.6	86.8
05/02/2018	-11	84.6
06/02/2018	-7.7	90.7
07/02/2018	-7.3	92.4
08/02/2018	-6.5	98.1
09/02/2018	-0.9	98.3
10/02/2018	-2.7	90.8
11/02/2018	-3	88.4
12/02/2018	-2.5	97.8
13/02/2018	-8.8	93.8
14/02/2018	-0.8	97
15/02/2018	-1	82.4
16/02/2018	-2.8	92.7
17/02/2018	-5	97.1
18/02/2018	-4.5	96.8
19/02/2018	-3.9	93.7
20/02/2018	-6.1	94
21/02/2018	-6.7	91.5
22/02/2018	-9.5	92.8
23/02/2018	-6.2	93.8
24/02/2018	-5.6	91
25/02/2018	-9.9	90.2
26/02/2018	-17.3	86.7
27/02/2018	-11.5	78.9
28/02/2018	-14.2	83.5
01/03/2018	-21.2	81.2
02/03/2018	-17.6	78.9
03/03/2018	-9.9	82.5
04/03/2018	-8.4	88.9
05/03/2018	-6.5	87.8
06/03/2018	-6.3	94.6
07/03/2018	-3.2	96
08/03/2018	-2.7	88.1
09/03/2018	-5.4	94.2
10/03/2018	-8.7	92.2
11/03/2018	-5.9	88.3
12/03/2018	-2.2	96.2
13/03/2018	-2	86.7
14/03/2018	-8.4	88.5
15/03/2018	-5.7	84.3
16/03/2018	-11.7	85.6
17/03/2018	-16.3	82.7
18/03/2018	-14.2	81.6
19/03/2018	-2.6	83.8
20/03/2018	-0.7	76
21/03/2018	-0.6	97.3
22/03/2018	-0.9	97.9
23/03/2018	0.3	87
24/03/2018	2.8	93.1
25/03/2018	1.9	87.8
26/03/2018	-3	81.3
27/03/2018	-9.4	74.5
28/03/2018	-9.7	74.5
29/03/2018	-9.1	75.8
30/03/2018	-9	77.4
31/03/2018	-8.3	79.7
01/04/2018	-7.7	80.2
02/04/2018	-7	79.1
03/04/2018	-6.1	94.6
04/04/2018	0.9	98.1
05/04/2018	1.4	98.8
06/04/2018	1.6	98.8
07/04/2018	1.1	88.1
08/04/2018	-0.2	99.1
09/04/2018	0.8	99.7
10/04/2018	2.4	97.6
11/04/2018	0.6	84.3
12/04/2018	0.4	82.4
13/04/2018	1.7	76.2
14/04/2018	3.8	76.1
15/04/2018	4.5	85.5
16/04/2018	5.5	89.4
17/04/2018	5.2	97.1
18/04/2018	7.6	98.8
19/04/2018	7.2	96.1
20/04/2018	6.3	99.8
21/04/2018	7.9	89.6
22/04/2018	6.9	87.2
23/04/2018	5.7	97.9
24/04/2018	5.8	99.4
25/04/2018	5.4	92.3
26/04/2018	6.3	89.2
27/04/2018	5.6	91.6
28/04/2018	3.8	97.3
29/04/2018	5.4	97.2
30/04/2018	7	86.5
01/05/2018	4.2	89.1
02/05/2018	6.7	95.3
03/05/2018	6.9	96.8
04/05/2018	7	98.4
05/05/2018	12.5	93.8
06/05/2018	14.4	88.5
07/05/2018	14.7	77.4
08/05/2018	15.4	83.6
09/05/2018	17.1	78.8
10/05/2018	17.8	81.3
11/05/2018	11.5	98
12/05/2018	11.3	97.8
13/05/2018	16.4	98.7
14/05/2018	18.6	96.3
15/05/2018	17.5	87.8
16/05/2018	15	88.6
17/05/2018	11.5	65.6
18/05/2018	12.5	71.7
19/05/2018	14.7	84.3
20/05/2018	15.8	74.5
21/05/2018	16.6	88.5
22/05/2018	16.6	74.5
23/05/2018	17.2	69
24/05/2018	19.2	72.7
25/05/2018	19.8	76.7
26/05/2018	20.1	64.7
27/05/2018	21.2	62.5
28/05/2018	20.2	55.8
29/05/2018	20.2	83.2
30/05/2018	22.7	68.9
31/05/2018	22	73.5
01/06/2018	20.7	77.1
02/06/2018	21.3	86.4
03/06/2018	22.9	75
04/06/2018	16.3	56.2
05/06/2018	11	61.3
06/06/2018	12.2	78.6
07/06/2018	18.1	65.9
08/06/2018	18.5	73.3
09/06/2018	21	75.1
10/06/2018	20.5	81.7
11/06/2018	14.4	96.5
12/06/2018	15.1	78.5
13/06/2018	13.1	76.3
14/06/2018	13.3	92
15/06/2018	14.4	82.8
16/06/2018	15.2	91.7
17/06/2018	12.3	98
18/06/2018	13.3	99.3
19/06/2018	14.4	89.9
20/06/2018	11.9	78.8
21/06/2018	9.7	92.5
22/06/2018	11	66.1
23/06/2018	14.7	73.4
24/06/2018	15.5	91.3
25/06/2018	20.9	74.6
26/06/2018	22.4	66.9
27/06/2018	21.7	77.9
28/06/2018	18.2	88.9
29/06/2018	14.3	65.1
30/06/2018	14.1	80.5
01/07/2018	17.9	82.3
02/07/2018	19.8	71.3
03/07/2018	20.8	75.7
04/07/2018	20.5	65.4
05/07/2018	21.7	65.4
06/07/2018	19.7	65.3
07/07/2018	17.2	61.9
08/07/2018	18.9	78.1
09/07/2018	15.7	85.1
10/07/2018	19.3	93.8
11/07/2018	21.2	85.7
12/07/2018	19.4	89
13/07/2018	20.5	93.8
14/07/2018	20.6	87.4
15/07/2018	21.3	79.2
16/07/2018	21	82.1
17/07/2018	21.6	82
18/07/2018	21.6	83.8
19/07/2018	21.6	96.7
20/07/2018	22.5	81.5
21/07/2018	20.7	78.3
22/07/2018	20.7	87.3
23/07/2018	21.5	83.1
24/07/2018	22.7	82
25/07/2018	23.5	79.5
26/07/2018	22.5	78.6
27/07/2018	25.6	70.4
28/07/2018	22.6	93.5
29/07/2018	21.8	96.4
30/07/2018	19.1	85.3
31/07/2018	22	94.4
01/08/2018	20.9	94.3
02/08/2018	18.2	92.3
03/08/2018	16.5	97.7
04/08/2018	18.6	98.5
05/08/2018	17.6	94.2
06/08/2018	14.7	84.7
07/08/2018	17.7	91
08/08/2018	17.7	94.1
09/08/2018	19.6	86.3
10/08/2018	14.6	94.9
11/08/2018	14.3	95.4
12/08/2018	11.3	96.4
13/08/2018	13	97.2
14/08/2018	13.7	88.1
15/08/2018	14.4	93.9
16/08/2018	17.1	96
17/08/2018	15.1	97.9
18/08/2018	13.2	96.9
19/08/2018	14.8	93.5
20/08/2018	10.9	93.1
21/08/2018	11.5	95.6
22/08/2018	14.1	95.1
23/08/2018	14.2	96.4
24/08/2018	12.9	96.5
25/08/2018	11.4	98.1
26/08/2018	10.5	95.3
27/08/2018	10.9	90.3
28/08/2018	13.4	89.5
