Date	Tavg	RHmax
01/01/2006	-3.2	98.8
02/01/2006	-11	97.3
03/01/2006	-7.4	99
04/01/2006	-4.7	99.1
05/01/2006	-3.6	98
06/01/2006	-2.7	95.2
07/01/2006	-3.6	95.3
08/01/2006	-3.5	97.7
09/01/2006	-2.7	94.6
10/01/2006	2.8	99.5
11/01/2006	5.5	99.2
12/01/2006	4.2	97
13/01/2006	3.1	94.9
14/01/2006	1.5	98.3
15/01/2006	0.5	98.9
16/01/2006	-1.7	98.8
17/01/2006	-2.4	97.7
18/01/2006	-1.5	96.7
19/01/2006	-5.4	95.7
20/01/2006	-6.4	97.4
21/01/2006	-8.2	97.4
22/01/2006	-9.6	97.2
23/01/2006	0.2	98.6
24/01/2006	1.5	98.4
25/01/2006	-0.6	98.6
26/01/2006	-5	97.3
27/01/2006	-8	98.1
28/01/2006	-8.8	97.3
29/01/2006	-8.6	97.9
30/01/2006	-5	99.4
31/01/2006	-3.6	98.9
01/02/2006	-7	98.4
02/02/2006	-7.3	98.8
03/02/2006	-1.4	98.4
04/02/2006	-6.9	95.7
05/02/2006	-6.3	97.2
06/02/2006	-3.9	99
07/02/2006	-4.3	99.1
08/02/2006	-1.7	99.5
09/02/2006	-2.8	99.1
10/02/2006	-6	96.9
11/02/2006	-13.7	95.7
12/02/2006	-11.3	95.6
13/02/2006	-10.3	97.3
14/02/2006	-8.5	98.6
15/02/2006	-1.6	98.7
16/02/2006	-0.6	99.6
17/02/2006	-3.2	99
18/02/2006	-4.6	97
19/02/2006	-4	94.9
20/02/2006	-6.8	98.5
21/02/2006	-4.4	98.6
22/02/2006	-4.9	97.4
23/02/2006	4.3	97.7
24/02/2006	0.6	98.5
25/02/2006	-1.4	99.3
26/02/2006	-5.1	95.2
27/02/2006	-5.8	93.8
28/02/2006	-3.4	99.1
01/03/2006	-4.8	98.6
02/03/2006	-4.9	98.6
03/03/2006	-9.5	95.5
04/03/2006	-15.8	93.9
05/03/2006	-12	94.7
06/03/2006	-13.4	95.6
07/03/2006	-14.1	95.1
08/03/2006	-7.8	96.8
09/03/2006	-7.3	97.3
10/03/2006	-10.6	94.6
11/03/2006	-7	90.8
12/03/2006	-4.1	93.7
13/03/2006	-10.6	94.3
14/03/2006	-8	93.9
15/03/2006	-2.7	96.5
16/03/2006	-0.8	85.3
17/03/2006	-0.1	96.7
18/03/2006	-3.6	97.9
19/03/2006	-1.5	98.3
20/03/2006	-0.9	81.5
21/03/2006	-6.4	96
22/03/2006	-5.7	96.7
23/03/2006	-7.3	97.8
24/03/2006	-4.1	97.8
25/03/2006	-6	92.9
26/03/2006	-2.7	96.2
27/03/2006	-0.3	99.2
28/03/2006	1.5	100
29/03/2006	1.8	98.8
30/03/2006	2	98.8
31/03/2006	1.4	94.1
01/04/2006	0.9	99.6
02/04/2006	1.3	99.8
03/04/2006	2	99.9
04/04/2006	1.2	100
05/04/2006	1.6	99.1
06/04/2006	0.9	100
07/04/2006	2.8	100
08/04/2006	2.4	99.3
09/04/2006	1.5	99.1
10/04/2006	1.9	97.7
11/04/2006	2.3	98.5
12/04/2006	2.8	99.8
13/04/2006	3.2	100
14/04/2006	3.6	100
15/04/2006	4	98
16/04/2006	4.5	98.8
17/04/2006	5.2	92.1
18/04/2006	2.1	90.5
19/04/2006	6.1	97.5
20/04/2006	4.9	98.8
21/04/2006	6	96.3
22/04/2006	5.4	96.8
23/04/2006	7.3	93.6
24/04/2006	6.5	97.5
25/04/2006	6.9	96.1
26/04/2006	7.7	98.8
27/04/2006	7.8	98.9
28/04/2006	6.7	94.6
29/04/2006	6.6	96.7
30/04/2006	9.2	92.6
01/05/2006	7	96.9
02/05/2006	7.6	96.5
03/05/2006	10.7	95.3
04/05/2006	14.9	94.5
05/05/2006	16.5	75.6
06/05/2006	16	80.8
07/05/2006	16.3	81.6
08/05/2006	17.4	79.2
09/05/2006	17.4	91.1
10/05/2006	16.9	83.4
11/05/2006	15.4	99.8
12/05/2006	12.7	84.8
13/05/2006	11.1	64.4
14/05/2006	9.7	72.2
15/05/2006	8	89.3
16/05/2006	8.4	96.4
17/05/2006	8.5	97.7
18/05/2006	9.6	98.3
19/05/2006	10.4	98.4
20/05/2006	10.8	98.3
21/05/2006	11.7	98.1
22/05/2006	11	97.4
23/05/2006	11.4	98
24/05/2006	9.3	93.9
25/05/2006	10.2	97.2
26/05/2006	10.7	89.8
27/05/2006	10.8	93.2
28/05/2006	10.8	97.1
29/05/2006	11.5	94.5
30/05/2006	12.2	75.6
31/05/2006	11.6	78.8
01/06/2006	12.2	85.9
02/06/2006	13.1	94.7
03/06/2006	15.2	72.2
04/06/2006	12.9	68.2
05/06/2006	13.5	84
06/06/2006	12.9	94.3
07/06/2006	12.5	97.3
08/06/2006	12.4	98
09/06/2006	14.3	96.5
10/06/2006	13	97.6
11/06/2006	15.4	93.7
12/06/2006	17.9	97
13/06/2006	18.3	95.1
14/06/2006	18.3	88
15/06/2006	16.8	84.7
16/06/2006	16.4	96.8
17/06/2006	16.3	98.3
18/06/2006	17.1	91.5
19/06/2006	17.3	97.5
20/06/2006	16.3	97.6
21/06/2006	15.2	93
22/06/2006	13.2	96.5
23/06/2006	15.4	90.6
24/06/2006	14.3	93.2
25/06/2006	15	96.2
26/06/2006	16.1	98.3
27/06/2006	12.7	96.7
28/06/2006	15.1	96.3
29/06/2006	15.6	97.7
30/06/2006	17.1	98.3
01/07/2006	18.4	98
02/07/2006	18	97.7
03/07/2006	18.9	97.3
04/07/2006	20.2	95.1
05/07/2006	20.7	97.7
06/07/2006	20.4	96.4
07/07/2006	20.1	98.4
08/07/2006	19.4	93.4
09/07/2006	17.3	97.9
10/07/2006	18.8	98.2
11/07/2006	16	97.6
12/07/2006	16.7	82.6
13/07/2006	19	87.6
14/07/2006	17.1	85.3
15/07/2006	16.3	97.2
16/07/2006	17.3	98.2
17/07/2006	18.5	98.4
18/07/2006	19.9	93
19/07/2006	18.4	97.3
20/07/2006	20.2	94.2
21/07/2006	20	98
22/07/2006	20.9	98.8
23/07/2006	19.2	96.9
24/07/2006	18.3	98.5
25/07/2006	21.1	97.9
26/07/2006	21.4	98
27/07/2006	21.3	97.5
28/07/2006	20.5	98.1
29/07/2006	20.5	99
30/07/2006	19.3	98
31/07/2006	17.7	98.8
01/08/2006	18.9	96.6
02/08/2006	19.5	95
03/08/2006	20.6	91
04/08/2006	20.2	92.7
05/08/2006	20.4	97.3
06/08/2006	19.9	98.1
07/08/2006	19.8	97.7
08/08/2006	19.1	91.8
09/08/2006	17.6	97.3
10/08/2006	16.9	97.4
11/08/2006	18.5	97.6
12/08/2006	18.5	92.8
13/08/2006	18.2	96.2
14/08/2006	16.8	98.4
15/08/2006	16.4	99.1
16/08/2006	15.9	97.8
17/08/2006	16.1	99.1
18/08/2006	16.6	98.8
19/08/2006	15.1	98.6
20/08/2006	17.2	99.2
21/08/2006	16.9	98.6
22/08/2006	17.6	97.6
23/08/2006	16.5	99.1
24/08/2006	16.8	98.5
25/08/2006	17	99.2
26/08/2006	16.3	99.3
27/08/2006	17.6	98.1
28/08/2006	15	98.2
29/08/2006	14.8	98.1
30/08/2006	14.5	98.7
31/08/2006	14.6	98.9
01/09/2006	13.4	98.8
02/09/2006	16.3	98.7
03/09/2006	15.8	98.9
04/09/2006	16.4	79.1
05/09/2006	17.8	84.1
06/09/2006	13.2	98.4
07/09/2006	12.9	98.3
08/09/2006	13.4	95.3
09/09/2006	14.6	98.7
10/09/2006	12.2	98.7
11/09/2006	14.7	99.2
12/09/2006	16	98.8
13/09/2006	15	99.5
14/09/2006	15.1	99.2
15/09/2006	16.6	93
16/09/2006	12	96.9
17/09/2006	12.6	98.2
18/09/2006	14.6	98.1
19/09/2006	15.1	98.9
20/09/2006	14.8	93.2
21/09/2006	16.6	94
22/09/2006	15.2	99.1
23/09/2006	14.8	98.6
24/09/2006	15.1	98.3
25/09/2006	16.1	98
26/09/2006	15.6	97.8
27/09/2006	15.5	99
28/09/2006	14.9	99.3
29/09/2006	14.6	98.2
30/09/2006	14.5	99.6
01/10/2006	13.9	98.8
02/10/2006	12.6	99.2
03/10/2006	12	99.4
04/10/2006	12.5	99.1
05/10/2006	10.9	99.3
06/10/2006	10.7	99.2
07/10/2006	13.5	99.5
08/10/2006	12.7	93.8
09/10/2006	9.6	98.7
10/10/2006	13.5	98.4
11/10/2006	10.4	95.1
12/10/2006	10.9	93
13/10/2006	8.9	98.6
14/10/2006	7.4	99.4
15/10/2006	7	99.4
16/10/2006	7.8	99.2
17/10/2006	6.1	98.6
18/10/2006	6.2	98.3
19/10/2006	9.7	98
20/10/2006	10.2	98.9
21/10/2006	10.5	99.3
22/10/2006	10.8	99.4
23/10/2006	11.9	99.2
24/10/2006	7.2	99.5
25/10/2006	4.2	99.4
26/10/2006	6	99.6
27/10/2006	7.5	99.6
28/10/2006	2.6	78.2
29/10/2006	2.2	91.4
30/10/2006	6.1	98.6
31/10/2006	3.3	98.9
01/11/2006	-1.6	94.9
02/11/2006	-2.2	97.6
03/11/2006	-1.5	97.3
04/11/2006	3.6	98.8
05/11/2006	5.9	94.3
06/11/2006	10.5	86.6
07/11/2006	9.4	90.7
08/11/2006	1.5	98.3
09/11/2006	0.5	98
10/11/2006	1.3	97.5
11/11/2006	6.8	98
12/11/2006	-0.3	98.1
13/11/2006	0.4	98.4
14/11/2006	3.9	99.2
