date	smin	smax	smean	tmean
01/01/2009 	19.45682   	27.80541   	23.11790   	 1.00957576
02/01/2009 	21.07670   	29.26177   	24.36820   	 1.33732089
03/01/2009 	20.58519   	29.11183   	24.19034   	 1.53706930
04/01/2009 	19.81887   	27.87844   	23.88458   	 1.53029430
05/01/2009 	19.94893   	30.56175   	25.75046   	 1.44553595
06/01/2009 	20.72832   	28.02898   	24.07834   	 0.67279818
07/01/2009 	22.45976   	28.05882   	24.45972   	 0.85338281
08/01/2009 	22.49961   	28.03626   	24.56115   	 0.67182845
09/01/2009 	21.82003   	27.38417   	24.07840   	 0.47111720
10/01/2009 	20.98824   	28.96690   	24.30200   	 0.03448818
11/01/2009 	22.69567   	28.31303   	24.00610   	 0.52526652
12/01/2009 	23.20011   	28.87866   	24.96334   	 1.56843668
13/01/2009 	24.28882   	29.54355   	26.53885   	 2.42330556
14/01/2009 	23.83605   	28.12464   	25.41444   	 2.46905133
15/01/2009 	22.86605   	26.97074   	24.36792   	 2.21258802
16/01/2009 	23.00703   	25.74318   	24.34881   	 2.18075502
17/01/2009 	21.44379   	26.04105   	23.46970   	 2.26981934
18/01/2009 	24.03375   	28.57495   	25.36321   	 2.89282096
19/01/2009 	22.69746   	29.80049   	26.75389   	 2.92541468
20/01/2009 	26.77672   	29.87245   	28.45177   	 2.95738407
21/01/2009 	27.36511   	29.75071   	28.33505   	 2.78118417
22/01/2009 	26.48709   	29.48761   	28.61946   	 2.64359122
23/01/2009 	26.51379   	29.78535   	28.71485   	 2.65702519
24/01/2009 	27.03276   	29.42417   	28.35234   	 2.85457839
25/01/2009 	26.49760   	28.68772   	27.49518   	 2.77867625
26/01/2009 	26.57626   	27.57192   	27.02522   	 2.54037905
27/01/2009 	26.49866   	27.29750   	26.98981   	 2.07446667
28/01/2009 	24.44838   	27.06085   	25.60268   	 1.63844432
29/01/2009 	21.73506   	25.21197   	24.24243   	 1.15349560
30/01/2009 	19.47032   	24.85720   	22.68457   	 0.62279222
31/01/2009 	16.05261   	24.44932   	21.76821   	 0.54295923
01/02/2009 	16.06788   	23.81596   	21.31243   	 0.03388795
02/02/2009 	18.13922   	23.91042   	21.88083   	-0.19778898
03/02/2009 	20.67639   	24.60268   	23.26663   	 0.55252646
04/02/2009 	20.17216   	25.01681   	23.25565   	 0.67833102
05/02/2009 	20.10902   	25.26768   	23.43519   	 0.84633589
06/02/2009 	22.08919   	25.81881   	23.97903   	 1.35445152
07/02/2009 	21.78806   	25.87430   	23.81007   	 1.47800242
08/02/2009 	21.00433   	25.76634   	23.63282   	 1.38094484
09/02/2009 	20.67050   	25.00594   	22.84401   	 1.38686210
10/02/2009 	20.91850   	26.01669   	23.76483   	 1.62082407
11/02/2009 	23.23109   	30.12050   	25.90485   	 1.89093154
12/02/2009 	23.62489   	30.24541   	26.67635   	 2.07876288
13/02/2009 	23.43987   	29.85020   	26.52448   	 2.22863895
14/02/2009 	21.68981   	29.71057   	26.48497   	 2.07931534
15/02/2009 	20.63554   	28.88830   	24.61509   	 2.03836208
16/02/2009 	22.14625   	29.63223   	24.95552   	 2.42087855
17/02/2009 	21.37504   	29.50357   	25.40812   	 2.80456933
18/02/2009 	19.59839   	27.86960   	23.42168   	 2.64953758
19/02/2009 	19.48844   	23.01510   	21.30722   	 2.56403046
20/02/2009 	19.59813   	22.47028   	21.27182   	 2.88039041
21/02/2009 	17.72024   	22.98055   	20.83785   	 3.05268863
22/02/2009 	18.44232   	23.10908   	21.27420   	 3.34156325
23/02/2009 	19.46335   	27.52300   	22.36771   	 4.16569184
24/02/2009 	18.33369   	27.82779   	22.56194   	 4.07504348
25/02/2009 	16.73953   	27.25416   	21.17414   	 4.12919293
26/02/2009 	17.57232   	21.84813   	19.93321   	 4.32046229
27/02/2009 	17.34878   	29.41885   	22.09470   	 4.93529348
28/02/2009 	17.19093   	29.06162   	22.04294   	 5.30753417
01/03/2009 	17.94613   	27.37978   	22.43424   	 5.24928605
02/03/2009 	19.65495   	26.92634   	22.75980   	 5.23913432
03/03/2009 	18.67530   	25.66005   	21.80736   	 5.21683202
04/03/2009 	18.97766   	21.79132   	20.76757   	 4.92435001
05/03/2009 	19.01716   	23.60332   	21.01964   	 4.85777543
06/03/2009 	18.40923   	22.55954   	20.64252   	 4.85845141
07/03/2009 	19.15144   	22.77469   	20.43774   	 4.71314745
08/03/2009 	19.30824   	24.10126   	21.71261   	 4.97883524
09/03/2009 	20.85530   	25.53794   	23.23025   	 4.82004032
10/03/2009 	18.81909   	24.59947   	21.72804   	 4.86606224
11/03/2009 	20.07864   	23.59930   	22.20522   	 4.85739320
12/03/2009 	18.42395   	23.79812   	21.69424   	 5.08385482
13/03/2009 	18.24050   	23.79229   	21.45253   	 5.36929879
14/03/2009 	18.81565   	25.49791   	21.72570   	 5.67449553
15/03/2009 	19.25101   	24.69541   	21.91558   	 5.95753435
16/03/2009 	17.76091   	27.27589   	22.16861   	 6.20777630
17/03/2009 	17.59203   	26.89594   	21.80646   	 6.43153193
18/03/2009 	17.10332   	25.31966   	20.76042   	 6.50835490
19/03/2009 	16.31926   	22.40417   	19.62122   	 6.56973578
20/03/2009 	15.45498   	20.03479   	18.00371   	 6.46492959
21/03/2009 	15.25002   	18.80766   	16.98297   	 6.49240337
22/03/2009 	16.91286   	25.38988   	19.56631   	 6.53050380
23/03/2009 	16.54038   	25.52466   	19.90973   	 6.58095931
24/03/2009 	16.16704   	27.09647   	20.43842   	 6.48069788
25/03/2009 	16.15841   	27.45582   	21.08928   	 6.32155996
26/03/2009 	17.02186   	24.70991   	19.87197   	 6.41604543
27/03/2009 	17.74781   	22.97438   	20.04493   	 6.37558868
28/03/2009 	15.38651   	24.10132   	19.01483   	 6.34231909
29/03/2009 	16.28882   	22.38105   	19.66640   	 6.28029718
30/03/2009 	17.89879   	24.89370   	20.52132   	 6.08299352
31/03/2009 	17.29844   	25.11661   	20.66850   	 6.42509754
01/04/2009 	18.07733   	24.97548   	21.65532   	 6.84558073
02/04/2009 	17.78122   	23.34102   	20.71583   	 7.40248128
03/04/2009 	17.88785   	21.26914   	19.37791   	 7.98231959
04/04/2009 	17.88002   	22.12176   	19.29517   	 8.21188127
05/04/2009 	16.48738   	22.79348   	20.06819   	 8.36606923
06/04/2009 	14.60195   	22.71353   	18.98252   	 8.70274293
07/04/2009 	14.27779   	23.06912   	18.96475   	 8.97010789
08/04/2009 	15.08885   	22.85900   	20.35959   	 8.65167105
09/04/2009 	16.95528   	22.55658   	20.48589   	 8.66069657
10/04/2009 	17.02102   	23.36293   	20.23281   	 9.14758666
11/04/2009 	16.93374   	23.20286   	20.70527   	 9.58280869
12/04/2009 	18.03596   	24.01776   	21.52715   	 9.94264855
13/04/2009 	20.37059   	24.94031   	22.78220   	10.14557451
14/04/2009 	21.86012   	25.37125   	23.53054   	10.35879209
15/04/2009 	22.40977   	25.25265   	23.62572   	10.72606132
16/04/2009 	22.61177   	23.96425   	23.22777   	11.20239389
17/04/2009 	18.15149   	23.54856   	21.71186   	11.30932490
18/04/2009 	18.13965   	24.37533   	20.88047   	10.99222316
19/04/2009 	19.58180   	23.32045   	21.24219   	11.04953738
20/04/2009 	19.54543   	24.18811   	21.87241   	11.50172629
21/04/2009 	20.47552   	24.22605   	22.67408   	11.75941894
22/04/2009 	22.23947   	26.97979   	23.95663   	11.78613484
23/04/2009 	22.33504   	28.34150   	24.63016   	11.78189452
24/04/2009 	22.82314   	28.44520   	25.26716   	12.01213513
25/04/2009 	23.80021   	27.42973   	25.17810   	12.19233642
26/04/2009 	23.44695   	28.76961   	25.51746   	12.39283254
27/04/2009 	24.09365   	29.12944   	26.17787   	12.46889011
28/04/2009 	23.91990   	28.34920   	26.04209   	12.44669829
29/04/2009 	24.06067   	28.72161   	26.11063   	12.51448303
30/04/2009 	24.34129   	28.48472   	26.31942   	12.80643485
01/05/2009 	24.09345   	28.46620   	26.30541   	13.38485696
02/05/2009 	23.58731   	28.37807   	25.98069   	13.70334222
03/05/2009 	23.38274   	29.16292   	25.92335   	13.65498143
04/05/2009 	23.92174   	29.10780   	25.99130   	13.08503590
05/05/2009 	23.12002   	28.53015   	24.65858   	12.77643081
06/05/2009 	20.43021   	24.96024   	23.71294   	12.71156275
07/05/2009 	20.49216   	25.35782   	23.06059   	12.75426100
08/05/2009 	20.11083   	26.17043   	23.28439   	12.76000853
09/05/2009 	20.94583   	25.90113   	23.50444   	12.68597780
10/05/2009 	21.63611   	25.30527   	23.18179   	13.00381974
11/05/2009 	22.00086   	28.38457   	25.03584   	12.75577138
12/05/2009 	23.43083   	29.70014   	26.09244   	12.30257426
13/05/2009 	24.13838   	29.89966   	26.15457   	12.48018036
14/05/2009 	25.19634   	28.23847   	26.29389   	12.50977731
15/05/2009 	24.83182   	26.39817   	25.59895   	12.74897591
16/05/2009 	24.99213   	26.36933   	25.71399   	13.08156796
17/05/2009 	22.44215   	26.59466   	25.27720   	13.30914255
