date	smin	smax	smean	tmean
01/01/2009  	17.824547   	21.05739    	19.50681    	 1.813215797
02/01/2009  	17.482811   	21.91876    	19.19154    	 1.726942562
03/01/2009  	16.477766   	22.57556    	19.23715    	 1.528396500
04/01/2009  	18.385015   	21.88660    	19.91966    	 1.513120624
05/01/2009  	17.615694   	20.62105    	19.27483    	 1.652776867
06/01/2009  	20.024532   	24.16149    	22.24920    	 1.212667430
07/01/2009  	18.934582   	22.78548    	20.93630    	 0.861472912
08/01/2009  	18.295427   	22.03047    	20.34542    	 0.809408947
09/01/2009  	18.460756   	22.59150    	20.64880    	 0.616507423
10/01/2009  	18.641861   	22.33332    	20.56409    	 0.468540896
11/01/2009  	19.097845   	23.43715    	21.70610    	 0.597658464
12/01/2009  	20.287300   	25.88331    	22.62559    	 0.843954360
13/01/2009  	22.137331   	26.84040    	23.82623    	 1.516080716
14/01/2009  	21.542599   	26.56366    	23.79697    	 1.751697707
15/01/2009  	19.481716   	26.00018    	22.71341    	 1.658591568
16/01/2009  	20.019676   	24.90518    	23.10081    	 1.843395464
17/01/2009  	22.408028   	24.66253    	23.58606    	 2.101985914
18/01/2009  	22.626944   	24.56788    	23.55201    	 2.547925035
19/01/2009  	22.619577   	26.02406    	24.34499    	 2.818800062
20/01/2009  	24.781055   	27.74360    	26.34789    	 2.996479253
21/01/2009  	24.553482   	27.84021    	26.24024    	 2.921214312
22/01/2009  	24.945065   	28.87815    	27.09609    	 2.716156522
23/01/2009  	27.062086   	28.74652    	28.13573    	 2.587757453
24/01/2009  	26.344614   	27.67645    	26.84122    	 2.769870738
25/01/2009  	26.130159   	27.44222    	26.53879    	 2.818871583
26/01/2009  	25.555397   	27.51088    	26.66343    	 2.661438743
27/01/2009  	24.602449   	27.17443    	26.24445    	 2.443186288
28/01/2009  	23.574358   	26.59432    	25.34982    	 2.155613783
29/01/2009  	22.929373   	25.90539    	24.69245    	 1.928957264
30/01/2009  	20.713753   	24.96215    	23.41256    	 1.573300816
31/01/2009  	21.702911   	24.82185    	23.42551    	 1.278242712
01/02/2009  	21.731874   	24.11940    	23.15500    	 0.869968052
02/02/2009  	22.640217   	23.83018    	23.14144    	 0.459561346
03/02/2009  	23.331093   	24.43738    	23.78444    	 0.587183444
04/02/2009  	23.654129   	24.45611    	23.98620    	 0.720275104
05/02/2009  	23.486872   	24.62221    	24.05832    	 0.807991998
06/02/2009  	23.521603   	24.81280    	24.17358    	 1.039442030
