date	smin	smax	smean	tmean
01/01/2009 	14.405106  	17.932446  	16.419317  	-0.22009997
02/01/2009 	16.433794  	18.761501  	17.663033  	 0.28451899
03/01/2009 	16.676701  	21.940170  	19.159501  	 0.34521848
04/01/2009 	19.769629  	25.999027  	22.360326  	 1.68271765
05/01/2009 	15.553686  	25.376772  	19.748713  	 0.88685365
06/01/2009 	14.718607  	20.141008  	17.039321  	-0.52325928
07/01/2009 	15.924485  	22.379393  	19.341511  	-0.08118333
08/01/2009 	18.190609  	22.069473  	20.022656  	 0.23323247
09/01/2009 	18.813116  	20.387793  	19.378491  	 0.01202376
10/01/2009 	18.043245  	20.243505  	19.061343  	-0.46247056
11/01/2009 	18.238295  	23.599501  	21.384041  	 0.11182069
12/01/2009 	22.108452  	24.736807  	23.436314  	 1.12865217
13/01/2009 	22.081738  	24.532970  	23.358323  	 1.62122082
14/01/2009 	22.204048  	24.213440  	23.091847  	 1.94854925
15/01/2009 	19.199436  	23.949493  	21.752906  	 1.76345492
16/01/2009 	15.776919  	24.480982  	19.078562  	 1.36740862
17/01/2009 	19.348949  	24.533270  	23.132427  	 2.10444270
18/01/2009 	22.665537  	24.873499  	23.788964  	 2.77802027
19/01/2009 	22.091410  	25.597265  	23.002625  	 2.81260488
20/01/2009 	25.513468  	27.217524  	26.294073  	 3.01280109
21/01/2009 	25.230564  	26.238947  	25.598918  	 2.76115071
22/01/2009 	25.314674  	28.164658  	26.696892  	 2.65200552
23/01/2009 	24.836401  	28.607479  	26.527909  	 2.72103725
24/01/2009 	25.476522  	27.687618  	26.720265  	 2.99792844
25/01/2009 	25.942333  	27.402254  	26.493156  	 2.83526775
26/01/2009 	21.922415  	26.808941  	25.563229  	 2.39456908
27/01/2009 	19.892273  	24.639038  	22.326206  	 1.55753933
28/01/2009 	17.702240  	24.878588  	20.696571  	 1.21722202
29/01/2009 	16.185057  	22.258801  	18.470781  	 0.95595470
30/01/2009 	15.934071  	22.292461  	17.972173  	 0.69771270
31/01/2009 	19.909859  	22.718132  	21.152713  	 0.49722467
01/02/2009 	18.282631  	21.809961  	20.588505  	-0.42000995
02/02/2009 	19.850418  	22.889431  	21.663195  	-0.04789534
03/02/2009 	22.855003  	23.158014  	22.990728  	 0.47495585
04/02/2009 	21.131868  	23.206766  	22.276476  	 0.64879858
05/02/2009 	21.448009  	23.243290  	22.790804  	 0.89386598
06/02/2009 	22.553534  	23.747013  	23.215897  	 1.37797026
07/02/2009 	21.945808  	23.391178  	22.653290  	 1.70173256
08/02/2009 	21.907135  	23.712622  	22.801185  	 1.47824147
09/02/2009 	21.358482  	23.056559  	22.450586  	 1.54258495
10/02/2009 	17.669670  	23.241610  	21.094513  	 1.58152679
11/02/2009 	15.328446  	24.050091  	20.286932  	 1.83675613
12/02/2009 	20.408962  	24.698994  	22.738708  	 2.09223266
13/02/2009 	21.848188  	25.189600  	23.564711  	 2.30434174
14/02/2009 	16.362150  	24.698956  	19.908100  	 1.65650740
15/02/2009 	15.588135  	20.975197  	19.295510  	 1.81978640
16/02/2009 	20.444935  	23.622004  	22.181706  	 2.76065335
17/02/2009 	16.154459  	23.296898  	19.892726  	 3.10914599
18/02/2009 	14.499905  	18.155439  	16.115520  	 2.44336127
19/02/2009 	14.396908  	19.130573  	16.216821  	 2.38064996
20/02/2009 	17.377918  	20.896330  	19.450553  	 3.12626629
21/02/2009 	16.282476  	20.924093  	18.663619  	 3.34764772
22/02/2009 	17.018209  	21.376932  	18.933045  	 3.80194537
23/02/2009 	17.800858  	23.740715  	21.279485  	 4.18964637
24/02/2009 	14.571065  	22.858028  	17.481175  	 4.24578509
25/02/2009 	13.076362  	18.289515  	15.993622  	 4.31554716
26/02/2009 	15.962760  	18.867893  	17.592827  	 4.66111979
27/02/2009 	16.898521  	21.554922  	18.713568  	 5.05388957
28/02/2009 	15.287360  	21.812229  	18.766358  	 5.52325874
01/03/2009 	15.224401  	19.702505  	17.203267  	 5.28402998
02/03/2009 	15.399384  	20.950874  	18.060093  	 5.39568562
03/03/2009 	15.679237  	18.929602  	17.196815  	 5.26635634
04/03/2009 	17.917225  	20.342253  	18.748487  	 4.93715534
05/03/2009 	17.525530  	21.006111  	19.299609  	 4.91815346
06/03/2009 	14.892061  	20.090136  	17.918158  	 4.84334569
07/03/2009 	15.546359  	18.590551  	17.057047  	 4.57166828
08/03/2009 	15.203889  	20.861082  	18.329261  	 5.17428775
09/03/2009 	18.079937  	21.223001  	19.336148  	 4.96415068
10/03/2009 	18.508602  	21.175949  	19.683117  	 4.97505794
11/03/2009 	19.828346  	20.921515  	20.466607  	 4.89964403
12/03/2009 	16.746893  	20.889584  	19.613325  	 5.41362585
13/03/2009 	17.027239  	21.082598  	19.993901  	 5.71335674
14/03/2009 	13.934137  	20.147280  	17.418763  	 5.89461454
15/03/2009 	18.462330  	22.409370  	20.494680  	 6.05362172
16/03/2009 	12.871338  	22.133871  	17.322992  	 6.34067321
17/03/2009 	13.533926  	18.948427  	15.724548  	 6.63575919
18/03/2009 	10.246241  	15.798163  	12.990986  	 6.37802065
19/03/2009 	 9.462896  	14.083972  	11.314580  	 6.28216562
20/03/2009 	 8.102391  	11.587382  	 9.240910  	 5.65828073
21/03/2009 	 7.640605  	13.657576  	10.039911  	 6.09271108
22/03/2009 	10.711061  	17.238575  	14.352841  	 6.71100683
23/03/2009 	14.197886  	19.557228  	16.931063  	 6.72161561
24/03/2009 	16.870352  	24.594639  	19.973093  	 6.48085064
25/03/2009 	14.360124  	23.580141  	17.471993  	 6.48892874
26/03/2009 	14.833694  	20.441866  	16.513065  	 6.65445845
27/03/2009 	15.206009  	16.807009  	15.969122  	 6.50506501
28/03/2009 	15.053588  	16.562948  	15.478694  	 6.55713109
29/03/2009 	15.179621  	17.778124  	16.634897  	 6.38770666
30/03/2009 	14.101748  	17.183245  	16.502659  	 6.21677259
31/03/2009 	13.988086  	16.996296  	15.566142  	 6.55116289
01/04/2009 	13.521785  	17.196234  	15.301272  	 6.85221768
02/04/2009 	 8.251240  	14.892398  	10.964261  	 7.54913224
03/04/2009 	 8.113155  	14.254213  	 9.851948  	 8.17883913
04/04/2009 	 9.579948  	15.120319  	11.822316  	 8.45197697
05/04/2009 	11.402566  	16.562849  	13.544438  	 8.64605091
06/04/2009 	10.247552  	16.696056  	13.073401  	 8.96541774
07/04/2009 	 9.553261  	17.439371  	13.007202  	 9.47876944
08/04/2009 	11.866382  	21.301065  	18.232594  	 8.86287608
09/04/2009 	18.910717  	21.276392  	19.902241  	 8.77265463
10/04/2009 	17.260370  	20.074121  	18.915721  	 9.65098735
11/04/2009 	16.558079  	19.484785  	18.562062  	10.57280562
12/04/2009 	15.571692  	19.431587  	17.856459  	10.99912435
13/04/2009 	16.047344  	19.573795  	17.412871  	10.99668944
14/04/2009 	16.371264  	19.096937  	17.236752  	11.18302542
15/04/2009 	16.367317  	18.774433  	17.117534  	11.31261983
16/04/2009 	16.469398  	19.484129  	17.360581  	11.52995368
17/04/2009 	16.792522  	19.298300  	17.556560  	11.30154637
18/04/2009 	16.823662  	19.748764  	18.935487  	10.30593258
19/04/2009 	17.089289  	19.848269  	18.194341  	10.69281771
20/04/2009 	16.931086  	20.049658  	17.770959  	11.78897897
21/04/2009 	16.935320  	19.727180  	17.689961  	12.29718240
22/04/2009 	17.248497  	20.195261  	18.549452  	12.10824265
23/04/2009 	18.733284  	20.987078  	19.723042  	11.91684896
24/04/2009 	18.989363  	21.373091  	19.833470  	12.35004024
25/04/2009 	18.378571  	20.531155  	19.176593  	12.42909803
26/04/2009 	18.439781  	20.144108  	19.426577  	12.94534252
27/04/2009 	18.935068  	21.416533  	20.322875  	13.06345413
28/04/2009 	19.499233  	21.725752  	20.382759  	12.78988902
29/04/2009 	19.915546  	21.546762  	20.798582  	12.72644601
30/04/2009 	20.247755  	21.682148  	20.979126  	12.91650935
01/05/2009 	20.559114  	21.608997  	21.088000  	13.45221239
02/05/2009 	20.685995  	22.426544  	21.379114  	13.79740439
03/05/2009 	20.874619  	23.491817  	21.787977  	13.57223791
04/05/2009 	22.335732  	23.566381  	23.134942  	12.19623212
05/05/2009 	21.055185  	23.500845  	22.215919  	12.29753834
06/05/2009 	18.823656  	23.000969  	20.783605  	12.68967992
07/05/2009 	19.470215  	21.195787  	20.404975  	12.86206798
08/05/2009 	20.142517  	22.513315  	21.048931  	12.92455671
09/05/2009 	20.825748  	22.774296  	21.747625  	12.67272051
10/05/2009 	20.972567  	22.302675  	21.623406  	13.15384058
11/05/2009 	20.444792  	21.249014  	20.872076  	12.40899442
12/05/2009 	20.408276  	21.052126  	20.778135  	12.07354295
13/05/2009 	20.919643  	21.526863  	21.161951  	12.68385001
14/05/2009 	21.105536  	22.254995  	21.442753  	12.85354547
15/05/2009 	21.554102  	23.076241  	22.144434  	13.19972134
16/05/2009 	22.182741  	25.438353  	23.953851  	13.32267127
17/05/2009 	23.576427  	25.386717  	24.605855  	13.60466866
18/05/2009 	24.933384  	25.253506  	25.055404  	13.34094091
19/05/2009 	23.043497  	25.219826  	24.631853  	13.37734179
