Scenario	oceanFileName	initialDate	steps	starfishInitAbundance	starfishInitBiomass	musselInitAbundance	musselInitBiomass	stscale_vmax	stN2	stB2	mN2	mB2	sizem2	sizes2	OC	realdate
7	data/BR_.txt	22/09/2009	57	3.13	26.20578618	5096.328219	3666.498053	30	3.13	36.62	1255.16	1379.74	1.099254278	11.69968051	gesloten	8
10	data/BRz.txt	23/09/2009	55	82.89	843.3790985	11276.7875	6525.546096	30	82.89	1336.44	175.83	117.31	0.667178525	16.12305465	gesloten	8
4	data/BSn.txt	21/09/2009	50	36.45	474.6947052	4095.537119	9319.833717	50	36.45	554.94	328.99	1176.22	3.575245448	15.22469136	gesloten	8
5	data/BSp.txt	21/09/2009	59	24.78	175.1539256	1716.069473	2136.565825	40	24.78	361.12	158.8	267.13	1.682178841	14.57304278	gesloten	8
6	data/DB_.txt	22/08/2009	97	19.46	27.66481492	5405.810957	2806.049232	50	19.46	149.69	1238.82	2139.58	1.727111283	7.692189106	gesloten	8
1	data/GS_.txt	21/08/2009	100	1.27	1.90499999	4334.996273	1478.314254	60	1.27	30.83	1182.1	2917.78	2.468302174	24.27559055	gesloten	2008
8	data/IN_.txt	22/09/2009	58	26.01	149.3387237	2024.214719	2711.814968	40	26.01	229.38	473.9	676.33	1.427157628	8.818915802	gesloten	8
14	data/LW_.txt	30/09/2009	64	5.4	29.99567047	299.6116833	152.1859652	40	5.4	36.7	525.2	487.06	0.927380046	6.796296296	gesloten	8
12	data/ST_.txt	29/09/2009	65	0.19	1.254	74.85839031	91.21105579	40	0.19	1.41	35.27	65.65	1.861355259	7.421052632	gesloten	8
2	data/STp.txt	21/08/2009	99	104.72	242.0690663	7074.229797	2651.899159	50	104.72	979.78	1397.2	2502.76	1.791268251	9.35618793	gesloten	2008
22	data/STp.txt	28/11/2010	124	13	123.1427649	302	789	50	13	118	202	517	2.561753205	8.7552	gesloten	28/11/2007
23	data/TS_.txt	21/08/2010	113	4	13.38695646	10600	4410	50	4	27	0	0	0	6.8	gesloten	21/08/2007
21	data/TXw.txt	27/11/2009	106	2	37.10934744	40	402	50	2	84	146	1407	9.656862745	45.14545455	gesloten	27/11/2006
15	data/VJG.txt	30/09/2009	63	1.69	12.37782236	9459.412698	7183.238263	50	1.69	27.17	852.35	1137.87	1.334979762	16.07692308	gesloten	8
19	data/VJG.txt	23/09/2009	55	19	14.22075963	322	2549	50	19	25	205	1735	8.445070568	1.329667244	gesloten	8
9	data/WK_.txt	22/09/2009	57	21.86	162.7947881	1139.20007	409.6864981	40	21.86	260.93	51.6	32.41	0.628100775	11.93641354	gesloten	8
20	data/WM_.txt	21/09/2009	50	82	664.4122571	3333	4269	50	82	1032	0	0	0	12.57155608	gesloten	8
16	data/ZW_.txt	30/09/2009	64	0.34	1.419128875	2521.396856	964.78414	40	0.34	3.91	1328.09	907.12	0.683026	11.5	gesloten	8
13	data/Zwo.txt	29/09/2009	64	0.59	0.6962	3955.004031	1434.584731	50	0.59	3.01	2596.5	1475.94	0.568434431	5.101694915	gesloten	8
17	data/ZWw.txt	30/09/2009	63	60.5	225.4504311	2404.383694	1900.721382	50	60.5	384.32	672.42	809.86	1.204396062	6.352396694	gesloten	8
